id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,256,1,2048,inf,32,False,16,64,DLMT,False,False,True,False,True,30,1,256,1,1,2,11,1,inf,False,inf,inf
2,1,256,2048,0.208864797713572,1,False,1,128,DLMT,True,False,False,True,True,21,1,32,35,32,15,4,1,0.0002787404468940488,True,0.20895714285714284,0.20904948800071368
3,256,512,256,inf,1,False,256,64,DLMT,False,True,True,True,False,1,32,1,1,1,1,24,28,inf,False,inf,inf
4,1024,2048,2048,0.19803491905189222,8,False,512,1,DLMT,False,False,True,True,True,18,1,512,35,1,29,1,30,0.0002651791939386626,True,0.19812277142857143,0.19821062380525065
5,1,2048,1,0.09546502408025463,8,False,1,64,DLMT,False,True,True,True,False,2,1,512,35,8,1,14,9,5.3457609068745796e-05,True,0.09548273428571429,0.09550044449117394
6,128,2048,1,0.2412945814230095,1,False,512,128,DLMT,True,False,False,True,True,30,1,16,35,1,23,19,1,3.049943458826862e-05,True,0.24130468571428573,0.24131479000556197
7,2048,1,512,0.26800428031660206,1,False,512,512,DLMT,False,True,False,False,True,9,1,128,35,1,19,6,1,0.00012791290404180208,True,0.2680466571428572,0.2680890339691123
8,128,512,1,inf,32,False,512,128,DLMT,True,True,False,False,True,17,1,1,1,1,1,30,3,inf,False,inf,inf
9,2048,512,512,0.2150805841818906,8,False,128,64,DLMT,False,True,False,False,True,24,1,512,35,1,26,1,30,0.00039848493070629367,True,0.21521259999999998,0.21534461581810935
10,2048,128,1,0.17193775232391695,32,False,64,256,DLMT,False,False,False,True,False,2,1,512,35,1,20,1,17,7.707160730814836e-05,True,0.1719632857142857,0.17198881910465447
11,64,2048,512,0.11803940448870724,8,False,32,1,DLMT,False,False,False,False,True,11,1,128,35,8,2,30,1,7.786280975444776e-05,True,0.1180652,0.11809099551129275
12,128,2048,128,0.14855961144383154,32,False,1,128,DLMT,True,True,True,False,False,15,1,32,35,1,30,1,18,3.27373468312715e-05,True,0.1485704571428571,0.14858130284188267
13,1,128,2048,0.17007230495082895,8,False,16,32,DLMT,True,True,True,False,False,1,1,1,35,1,10,7,1,5.392931125320307e-05,True,0.1700901714285714,0.17010803790631387
14,1024,1,2048,inf,1,False,1,16,DLMT,True,True,False,True,True,5,32,32,1,1,30,12,1,inf,False,inf,inf
15,2048,2048,1,0.24163206114236685,1,False,32,64,DLMT,False,True,True,True,True,10,8,32,35,1,3,28,1,6.518673960559887e-05,True,0.24165365714285716,0.24167525314334748
16,2048,2048,2048,0.09804581868124117,1,False,256,512,DLMT,True,False,True,True,True,1,8,1,35,8,1,5,4,0.00013705947268635317,True,0.0980912257142857,0.09813663274733024
17,64,1024,1,0.12263883633676245,1,False,64,64,DLMT,True,True,True,True,False,30,1,64,35,1,2,1,3,3.00749539840523e-05,True,0.12264880000000003,0.12265876366323761
18,512,1,1024,0.14822092848419588,8,False,64,512,DLMT,True,False,False,True,False,18,8,1,35,1,1,18,25,0.00011853963773474861,True,0.1482602,0.14829947151580414
19,2048,2048,64,0.17006192455521071,1,False,512,1,DLMT,True,False,True,False,False,20,32,32,35,1,2,13,1,2.6358997224739618e-05,True,0.17007065714285713,0.17007938973050354
20,1,2048,2048,0.24183240929858887,1,False,64,32,DLMT,False,False,True,False,True,15,32,64,35,1,19,1,27,0.00010354835210900003,True,0.24186671428571427,0.24190101927283966
21,1,1,256,0.09471366787552506,1,False,32,64,DLMT,True,False,True,False,True,8,8,1,35,8,30,1,18,3.7638028532811396e-05,True,0.09472613714285714,0.09473860641018923
22,1,2048,128,0.16617738162923432,8,False,512,32,DLMT,False,True,False,True,False,28,8,128,35,1,29,1,2,0.0003089736320564008,True,0.16627974285714286,0.1663821040850514
23,1,1,2048,0.1346911383895602,1,False,64,512,DLMT,False,False,False,False,True,9,1,1,35,1,1,26,9,0.00012264934586379172,True,0.13473177142857146,0.1347724044675827
24,1,256,256,0.10201017080703985,1,False,256,256,DLMT,True,True,True,False,True,26,1,128,35,8,1,20,25,4.84697759812595e-05,True,0.10202622857142858,0.10204228633581731
