id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,16,4,1,256,1,512,inf,2,False,256,RS,512,False,False,False,True,1,16,1,True,1,29,512,8,1,16,4,inf,2,inf,1,False,1,4,1,inf,14,1
2,4,16,2048,256,8,64,3.618324683671883,256,False,1,RS,2048,False,True,True,True,2,32,1,False,16,23,64,2,10,7,2,3.6184760000000002,2,0.00024413930449645882,32,True,1,3,1024,3.6186273163281175,29,1
3,64,64,1,128,1,512,inf,1,False,64,RS,512,False,True,True,True,4,1,4,True,1,7,1024,16,1,1,2,inf,8,inf,1,False,1,20,1024,inf,1,27
4,1,64,2,8,4,2048,3.353123840839135,2,False,128,RS,8,False,False,True,True,1,4,23,False,1,30,256,16,10,1,4,3.353345,1,0.0003568262882692601,1,True,1,21,128,3.353566159160865,1,19
5,8,32,8,32,8,32,2.6487069162693877,512,False,512,RS,8,True,False,False,False,4,8,17,True,1,13,16,16,10,1,1,2.649414,4,0.0011408347820784138,2,True,1,20,1024,2.6501210837306126,1,3
6,64,8,64,64,4,256,2.247713492573972,16,False,16,RS,64,False,True,False,True,1,8,1,True,4,21,4,8,10,21,8,2.248011,32,0.0004800093749084701,2,True,1,26,128,2.248308507426028,11,1
7,4,1,32,64,4,1024,3.563796414878779,8,False,2048,RS,1,False,False,True,True,8,16,1,False,1,3,512,8,10,25,1,3.564144,2,0.0005608065620158636,32,True,11,1,512,3.5644915851212216,16,1
8,8,32,1,256,2,256,inf,128,False,128,RS,128,True,True,True,False,1,32,1,False,4,25,1,16,1,10,8,inf,1,inf,8,False,14,1,512,inf,1,9
9,4,64,128,512,1,1,inf,256,False,1024,RS,128,True,False,False,True,1,2,1,True,1,25,128,1,1,21,4,inf,16,inf,8,False,5,1,1,inf,1,10
10,256,2,1,1,16,1,1.9606990014574037,64,False,2048,RS,4,False,False,True,False,4,16,1,False,2,1,1024,32,10,26,1,1.9611919999999998,2,0.0007954219006288396,1,True,1,10,512,1.961684998542596,1,5
11,8,64,4,512,64,64,4.493348689155128,4,False,1024,RS,8,False,False,True,False,8,4,24,False,1,5,512,1,10,1,2,4.493666,2,0.0005119609360096809,32,True,1,19,32,4.493983310844873,2,1
12,256,8,1,256,16,1024,1.8630254096906966,1024,False,2048,RS,256,True,True,False,False,16,1,1,True,1,16,16,4,10,9,2,1.8631630000000001,32,0.00022199324314039812,1,True,25,1,2048,1.8633005903093036,11,1
13,32,128,2,64,1,16,2.9261226595626555,2,False,128,RS,2,False,False,True,False,1,2,29,False,1,19,64,32,10,1,2,2.9265220000000003,1,0.0006443104841611552,32,True,19,1,16,2.926921340437345,6,1
14,16,16,2048,16,32,1024,6.284412704530734,256,False,1,RS,1,False,False,False,False,8,8,1,True,16,26,128,4,10,12,4,6.284655000000001,2,0.0003909283821876978,2,True,15,1,256,6.284897295469268,1,24
15,16,16,1,512,16,1,1.8784674108272532,32,False,32,RS,4,True,True,True,False,8,16,1,True,1,5,1024,1,10,1,16,1.8785960000000004,2,0.00020747047982789364,1,True,29,1,1024,1.8787245891727475,27,1
16,32,512,256,2048,4,1,2.6753852187699745,1,False,2048,RS,256,False,False,False,False,16,256,1,True,8,12,1,2,10,2,32,2.675924,2,0.0008692893649413825,32,True,27,1,1,2.676462781230026,1,9
17,2,1,2,4,64,4,2.7513377843784137,8,False,2048,RS,1,True,True,False,True,1,2,28,True,16,12,64,4,10,1,1,2.7517430000000003,8,0.0006537897215466159,2,True,15,1,512,2.752148215621587,1,17
18,64,8,2,2048,2,64,inf,8,False,32,RS,1024,False,True,True,True,1,32,19,True,16,19,32,4,1,1,4,inf,4,inf,8,False,6,1,1024,inf,15,1
