id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,1,16,1,1024,6.537014256074848,128,False,1,DLMT,512,False,False,False,True,1,1,False,21,6,2,10,1,8,6.537713999999999,0.001128992471188423,True,False,8,8,1,6.538413743925151,20
2,2048,4,8,1024,1.947397479609492,1,False,256,DLMT,8,False,True,True,False,1,20,False,21,28,4,10,1,4,2.1311609999999996,0.2964907926209514,True,True,8,8,2048,2.314924520390507,13
3,256,128,1,8,4.931407299794759,1024,False,1024,DLMT,4,True,True,True,False,3,5,False,1,24,32,10,1,1,4.932048,0.0010337291714952424,True,False,1,4,2048,4.932688700205241,16
4,4,1,2048,1,5.548064939971369,512,False,1,DLMT,1,True,True,False,True,26,1,True,1,24,2,10,2,32,5.549829000000001,0.002846199044339612,True,False,32,1,16,5.551593060028632,6
5,1,4,2,2048,22.11937124661033,64,False,16,DLMT,512,True,True,True,True,1,18,True,10,22,4,10,1,32,22.121389999999998,0.003257130639074804,True,False,1,8,1,22.123408753389665,1
6,8,128,256,2048,7.299900237655866,1024,False,1024,DLMT,512,True,False,True,True,1,1,False,14,2,2,10,11,8,7.300085,0.00029810233142339173,True,False,8,16,1,7.300269762344135,9
7,4,1024,128,256,2.5210158045335436,512,False,1,DLMT,256,False,True,False,False,7,30,True,1,2,16,10,1,1,2.5879760000000003,0.10803603123032617,True,True,16,8,512,2.654936195466457,20
8,256,16,2,16,2.898311436346826,256,False,16,DLMT,64,False,False,False,True,21,8,False,1,28,1,10,1,32,2.932132,0.054567335797159805,True,True,4,4,1,2.9659525636531745,19
9,1,64,4,64,6.212890345178696,1024,False,1,DLMT,16,False,True,True,False,28,1,True,1,27,2,10,29,1,6.2137459999999995,0.0013805448199896617,True,False,1,32,1,6.214601654821303,30
10,2,2,2048,8,6.2878490154158975,64,False,512,DLMT,1,True,False,True,False,1,9,True,29,2,8,10,1,2,6.28835,0.0008083068724191757,True,False,2,2,512,6.288850984584103,3
11,1,1024,128,1,6.873461462027584,128,False,1024,DLMT,256,False,False,True,True,21,1,True,1,13,32,10,14,1,6.873702,0.00038809277241396545,True,False,2,1,32,6.8739425379724155,27
12,2,1024,32,256,5.2753521600687785,2048,False,1,DLMT,2048,True,True,True,False,17,1,False,1,3,4,10,16,2,5.276041,0.0011113995681122704,True,False,8,2,2048,5.276729839931222,14
13,128,2048,8,1,5.991536460671243,256,False,1,DLMT,1,False,False,False,False,1,1,False,13,10,32,10,19,2,5.9925060000000006,0.0015642902543964148,True,False,2,32,128,5.993475539328758,24
14,8,64,2048,128,4.158727507921261,2048,False,64,DLMT,2048,False,False,False,False,7,17,True,1,17,2,10,1,2,4.159066000000001,0.0005461355143186375,True,False,2,1,1024,4.159404492078741,3
15,64,1,2,1,1.8907850174858525,2048,False,8,DLMT,32,True,False,True,True,30,1,True,1,8,16,10,24,4,2.0950029999999997,0.32949277078716005,True,True,16,1,1,2.299220982514147,7
16,4,2,4,16,6.293543793653077,128,False,1,DLMT,256,False,False,True,True,29,22,False,1,17,1,10,1,1,6.293849999999999,0.0004940445324057522,True,False,16,8,32,6.294156206346921,2
17,1,256,2048,32,2.6675361554764536,64,False,2048,DLMT,2048,False,True,False,True,1,1,True,18,23,4,10,14,32,2.733756,0.1068415219097893,True,True,1,16,64,2.7999758445235465,18
18,2048,1,32,1024,3.1479810002104025,1,False,4,DLMT,1,True,False,True,True,2,27,False,1,12,1,10,1,1,3.2527950000000003,0.16911074520857627,True,True,4,8,2048,3.357608999789598,7
19,1,32,1,1,2.6227683142751026,4,False,1024,DLMT,64,False,True,True,True,1,1,False,3,30,8,10,16,1,2.6981849999999996,0.1216800422624844,True,True,1,32,64,2.7736016857248966,4
20,16,2,1024,4,10.677739260969751,32,False,16,DLMT,2048,False,True,False,False,23,1,True,1,21,2,10,18,1,10.67878,0.0016791664598843844,True,False,2,32,16,10.679820739030248,29
21,1024,2048,8,16,4.997362120824008,1024,False,2048,DLMT,16,False,False,False,False,1,1,True,4,7,8,10,30,4,4.998985,0.002618412687106581,True,False,32,2,16,5.000607879175992,30
22,8,256,8,2048,2.6447987236738153,32,False,256,DLMT,1,True,False,True,True,1,1,False,14,20,4,10,4,32,2.6708679999999996,0.042061124996842364,True,True,2,2,2048,2.696937276326184,2
23,64,1,32,64,5.065590876946405,512,False,4,DLMT,64,False,True,True,False,1,1,True,3,11,8,10,14,4,5.067076,0.0023961519150504772,True,False,32,4,1,5.068561123053596,6
24,1,16,2,4,7.471921954074712,512,False,512,DLMT,128,False,False,False,False,1,26,False,7,10,4,10,1,4,7.472269,0.0005599366035544778,True,False,2,16,2048,7.472616045925288,23
25,64,4,64,8,2.519995632576132,128,False,512,DLMT,64,False,False,True,True,1,1,True,4,27,4,10,24,2,2.556653,0.059144338875331014,True,True,4,4,1024,2.5933103674238676,15
26,2048,1,8,2,9.931426155526765,2048,False,2048,DLMT,32,False,False,True,True,1,5,True,8,16,1,10,1,16,9.93681,0.008686491812003134,True,False,1,32,2,9.942193844473234,28
27,512,1,1,8,8.833967701648438,1024,False,2,DLMT,16,False,True,False,True,5,1,False,1,6,16,10,3,4,8.834094,0.00020377438504414164,True,False,2,1,16,8.834220298351562,15
28,512,32,8,16,2.729221751436497,1024,False,512,DLMT,2048,False,True,True,True,1,1,True,2,8,1,10,4,32,2.818293,0.14371081393200724,True,True,8,8,128,2.9073642485635034,24
29,4,2048,1,32,6.932524391829198,128,False,2048,DLMT,512,True,True,False,True,1,16,True,9,7,1,10,1,8,6.934617999999999,0.0033779040838957685,True,False,2,32,64,6.936711608170799,10
