id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,1,1,128,1,23,15,SIMA,14,1.5727911913713792,512,128,256,171,1,0.11275697142857144,8
2,8,16,64,256,3,5,1,SIMA,16,1.5811373979726222,2048,1,2048,170,8,0.11216177142857145,1
3,1,1,16,16,17,22,1,SIMA,22,1.6095863964129136,2048,1024,64,170,8,0.11017934285714284,1
