id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,512,10,64,8,1,0.2121654,15,1,RS,0.21212995964529172,True,False,True,5.718076599696379e-05,True,0.2122008403547083,False
2,8,10,256,8,1,1.0806869999999997,1,17,RS,1.0805505310419594,True,False,False,0.00022018401395191715,False,1.08082346895804,False
3,128,10,16,16,16,1.034445,1,3,RS,1.0342570017503279,True,False,True,0.00030332325990597596,True,1.0346329982496723,False
4,128,1,128,16,32,inf,1,20,RS,inf,False,True,True,inf,True,inf,False
5,16,1,512,1,32,inf,9,1,RS,inf,False,True,False,inf,False,inf,False
6,2,1,8,8,8,inf,1,12,RS,inf,False,True,False,inf,False,inf,False
7,4,10,1,32,1,0.7661848,1,18,RS,0.7652505283282449,True,False,True,0.0015073881252019826,True,0.7671190716717551,False
8,64,10,32,16,4,0.41182379999999996,1,3,RS,0.4114490727435754,True,False,False,0.0006045986768096719,True,0.41219852725642453,False
9,2,1,1,16,2,inf,16,1,RS,inf,False,True,True,inf,True,inf,False
10,1024,1,256,4,32,inf,23,1,RS,inf,False,True,True,inf,True,inf,False
11,16,1,4,4,1,inf,1,26,RS,inf,False,True,False,inf,True,inf,False
12,64,10,1024,16,32,0.9951187999999999,17,1,RS,0.9949386999343439,True,False,True,0.0002905800406084373,False,0.9952989000656558,False
13,2048,1,8,16,16,inf,6,1,RS,inf,False,True,True,inf,False,inf,False
14,1024,10,128,8,2,0.21214070000000002,1,17,RS,0.21211928691133217,True,False,True,3.454866133441259e-05,False,0.21216211308866786,False
15,32,1,16,4,2,inf,1,13,RS,inf,False,True,False,inf,False,inf,False
16,256,10,4,16,4,0.41155400000000003,1,10,RS,0.41123314569439806,True,False,False,0.0005176780853001237,True,0.411874854305602,False
17,16,10,2,1,1,0.4781995,1,27,RS,0.4776725274427121,True,False,False,0.000850236819950783,False,0.4787264725572879,False
18,1,10,16,32,1,0.2097486,1,19,RS,0.20972051952273607,True,False,True,4.530607023346811e-05,True,0.20977668047726394,False
19,128,1,8,1,32,inf,1,30,RS,inf,False,True,False,inf,False,inf,False
20,1,1,32,8,1,inf,1,13,RS,inf,False,True,False,inf,True,inf,False
21,64,10,4,4,1,0.20853510000000003,20,1,RS,0.2085162446778761,True,False,True,3.0421867135338637e-05,True,0.20855395532212395,False
22,256,1,2048,2,4,inf,1,9,RS,inf,False,True,True,inf,False,inf,False
23,32,1,512,4,2,inf,27,1,RS,inf,False,True,False,inf,False,inf,False
24,512,10,2,8,1,0.21358839999999998,21,1,RS,0.21356816162789902,True,False,True,3.2653330611133496e-05,False,0.21360863837210095,False
25,512,1,64,16,8,inf,1,19,RS,inf,False,True,True,inf,False,inf,False
26,1024,1,256,8,8,inf,1,6,RS,inf,False,True,False,inf,True,inf,False
27,1,10,4,16,8,0.2085283,1,28,RS,0.20849577398578556,True,False,True,5.247866233051501e-05,True,0.20856082601421444,False
28,128,10,32,1,4,0.4957949000000001,1,13,RS,0.49536116705998184,True,False,False,0.0006998006073161154,False,0.49622863294001834,False
29,8,1,2,32,2,inf,20,1,RS,inf,False,True,True,inf,True,inf,False
30,16,10,2048,8,32,0.8579806000000001,6,1,RS,0.857768799395975,True,False,True,0.0003417268499840108,True,0.8581924006040252,False
31,1024,1,1024,2,16,inf,12,1,RS,inf,False,True,True,inf,False,inf,False
32,1024,1,2,1,8,inf,1,23,RS,inf,False,True,True,inf,True,inf,False
