id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,256,256,1,4.560298248037304,32,2,256,DLMT,500,10,True,64,64,2048,23,3,1,False,2,1,False,10,0.0008805362002781614,4.560844,True,False,4.561389751962697
2,32,2048,2048,1,6.539531661957866,32,1,8,DLMT,500,10,False,32,2048,32,2,3,12,True,2,1,False,10,0.0002651490147067577,6.539696000000001,True,False,6.5398603380421365
3,64,2048,256,1024,4.516268815966593,128,1,8,DLMT,500,10,True,1024,1024,16,1,1,3,False,22,1,False,10,0.00024069898213327926,4.516418,True,False,4.5165671840334065
4,256,1024,16,8,0.9014377793710313,128,8,8,DLMT,500,10,True,128,32,1,7,1,1,True,1,7,False,10,0.012375414821330227,0.909108,True,True,0.9167782206289687
5,128,256,64,128,2.225956465064213,2,64,8,DLMT,500,10,True,2048,2048,8,1,2,1,True,30,2,False,10,0.010029985094704826,2.232173,True,True,2.238389534935787
6,64,256,256,8,3.5154140284485345,1,64,2048,DLMT,500,10,True,8,1024,1,2,1,28,True,1,1,False,10,0.00013386933928274976,3.515497,True,False,3.5155799715514653
7,32,8,8,1,4.756915828013466,2,8,1,DLMT,500,10,True,4,2,64,1,30,1,True,2,2,False,10,0.00010353743284434173,4.75698,True,False,4.757044171986535
8,2048,1,2048,128,0.3574271129234234,1,4,256,DLMT,500,10,False,16,1,1024,2,30,1,False,1,1,False,10,0.03315432684281193,0.377976,True,True,0.3985248870765766
9,512,2048,32,256,9.754561250674325,2048,64,32,DLMT,500,10,True,1,1024,32,2,1,29,True,1,1,False,10,0.10544251876733603,9.819914,True,True,9.885266749325677
10,2048,32,32,2048,2.9276969676405162,2048,8,32,DLMT,500,10,False,1,2048,256,1,1,1,False,20,5,False,10,0.005803583720426521,2.9312940000000003,True,True,2.9348910323594843
11,8,32,4,1,2.0242310107146744,256,4,1,DLMT,500,10,True,1,2048,4,1,3,5,False,1,6,False,10,0.044951940291827204,2.052092,True,True,2.0799529892853257
12,1024,256,32,128,0.5139372655454176,1,1,1,DLMT,500,10,True,128,512,1,1,4,1,False,2,1,False,10,0.015706377023362212,0.523672,True,True,0.5334067344545824
13,8,1024,512,2048,3.534322537927739,1,2,64,DLMT,500,10,False,1,1,512,1,2,1,True,4,4,False,10,0.0008687744241171369,3.5348610000000003,True,False,3.5353994620722613
14,2048,512,1,1,5.058645017986709,4,512,4,DLMT,500,10,False,2048,16,1,1,1,15,True,4,1,False,10,0.00013711309200808354,5.05873,True,False,5.05881498201329
15,1024,1,1,1024,3.3188735399262086,128,128,32,DLMT,500,10,False,128,1,512,1,3,1,True,7,5,False,10,0.0005057479609450255,3.3191870000000003,True,False,3.319500460073792
