id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,2,1,8,2,2.5623504482114443,1,False,16,RS,256,True,False,True,True,3,1,False,1,20,1,10,15,2,2.593146,0.04968667088867996,True,True,4,16,16,2.6239415517885556,18
2,256,8,256,1,2.5816610710146417,256,False,32,RS,512,True,False,True,True,14,8,False,1,19,4,10,1,4,2.6206009999999997,0.06282710727862612,True,True,8,1,1,2.6595409289853578,12
3,64,2,32,32,2.4587311509346916,2048,False,64,RS,512,True,False,True,False,10,1,False,1,24,4,10,30,1,2.4935770000000006,0.056221568823717524,True,True,1,32,32,2.5284228490653096,29
4,8,2,8,2,2.926496412751265,32,False,128,RS,16,False,True,True,True,1,1,True,14,25,4,10,9,16,2.94449,0.029031512533796856,True,True,8,2,4,2.962483587248735,24
5,32,128,4,2,27.5902199243825,128,False,512,RS,1024,False,False,False,False,1,11,False,17,18,1,10,1,32,27.591729999999995,0.002436411295327943,True,False,2,4,512,27.59324007561749,21
6,2,32,512,128,2.45003198243828,32,False,2048,RS,1024,True,False,False,True,1,1,False,20,15,16,10,5,4,2.547135,0.15666956413100785,True,True,4,4,1,2.6442380175617197,27
7,32,8,16,64,5.941611302415551,64,False,64,RS,1,True,True,False,False,1,8,False,1,3,32,10,1,2,5.941885,0.00044159370466530094,True,False,2,8,512,5.942158697584449,22
8,1,128,2,256,5.8799972276248935,4,False,1,RS,2048,True,True,True,True,1,2,False,8,21,8,10,1,1,5.884513,0.007285912502905835,True,False,1,8,256,5.889028772375107,1
9,4,16,8,2,2.5608088290522177,8,False,256,RS,128,False,True,True,False,2,8,False,1,4,1,10,1,8,2.619125,0.09408944555581139,True,True,2,2,512,2.677441170947782,28
10,1,256,64,512,2.501396081676406,32,False,512,RS,256,True,False,True,True,1,28,False,4,8,8,10,1,2,2.5402060000000004,0.06261734331636877,True,True,2,1,2048,2.579015918323595,18
11,1,64,16,4,2.6312271462432664,4,False,1024,RS,1,False,False,False,False,1,21,False,15,11,2,10,1,32,2.686688,0.0894825722473376,True,True,32,1,4,2.742148853756734,13
12,1,2,16,16,13.285398634843748,2048,False,1,RS,1,True,True,True,True,1,24,True,9,28,2,10,1,16,13.285919999999999,0.0008411896337924341,True,False,8,4,512,13.28644136515625,15
13,2,4,16,2,2.590356699904177,1024,False,1,RS,1,True,True,True,False,24,1,False,1,21,2,10,16,4,2.641274,0.08215183640065513,True,True,16,8,1024,2.692191300095823,8
14,16,2048,1,16,2.8719517864112456,1,False,1,RS,16,True,False,True,True,1,8,False,16,16,1,10,1,16,2.9114470000000003,0.06372302379046373,True,True,16,2,1,2.950942213588755,11
15,64,128,512,2,6.101350139380149,1024,False,256,RS,2048,False,False,True,False,1,1,True,30,7,1,10,15,4,6.101485,0.00021758906222511774,True,False,2,4,32,6.101619860619851,16
16,256,32,2,16,6.005032950940646,512,False,1024,RS,128,False,True,False,False,1,12,False,13,4,4,10,1,2,6.005411,0.0006099581952889193,True,False,2,16,1,6.005789049059353,29
17,16,8,128,512,6.641141752207377,16,False,64,RS,512,False,False,False,True,1,21,False,21,12,2,10,1,4,6.641533,0.0006312535148417222,True,False,16,2,1024,6.641924247792623,25
18,4,2,64,8,15.112175884036755,256,False,4,RS,2048,False,True,True,True,22,1,False,1,26,8,10,7,16,15.11243,0.000409999999999846,True,False,16,4,1,15.112684115963244,22
19,128,4,64,64,4.617699506396237,2048,False,8,RS,128,True,True,False,True,18,1,True,1,16,1,10,24,2,4.619028000000001,0.0021434402254319473,True,False,16,8,128,4.620356493603765,11
20,4,8,64,16,7.304274394083777,512,False,8,RS,1,False,False,True,True,1,1,False,25,8,8,10,28,1,7.304705,0.000694755352624327,True,False,2,1,64,7.305135605916224,22
21,16,128,1,2,6.126660883511685,64,False,256,RS,64,False,False,True,True,9,1,False,1,8,1,10,1,1,6.126769,0.00017443910112126224,True,False,16,1,512,6.126877116488315,29
22,32,256,4,1,6.096307796935844,64,False,2048,RS,512,True,False,False,False,8,26,False,1,8,16,10,1,4,6.096526,0.000352056813596882,True,False,4,1,8,6.096744203064156,15
23,1,512,1,1,2.7039174233518586,32,False,512,RS,16,False,True,True,False,29,13,False,1,27,8,10,1,1,2.740482,0.05899462684007754,True,True,32,1,16,2.7770465766481416,16
24,64,1,256,1,2.1694194233486703,1024,False,512,RS,2048,False,False,False,True,6,12,True,1,2,16,10,1,2,2.2645239999999998,0.15344520638977285,True,True,4,2,1,2.359628576651329,20
25,4,1,8,1,5.6072969159772805,2048,False,2,RS,256,True,True,False,True,1,1,True,1,14,1,10,9,4,5.6085259999999995,0.0019830491673179275,True,False,2,32,256,5.609755084022718,17
26,64,512,32,64,2.545209480883253,512,False,512,RS,512,True,True,True,True,1,28,False,8,12,16,10,1,8,2.615109,0.11277844363618429,True,True,32,4,256,2.6850085191167468,26
27,64,8,256,16,5.52341497306766,512,False,32,RS,1,True,True,False,True,23,2,True,1,26,8,10,1,8,5.5238179999999995,0.0006502584101724434,True,False,4,16,256,5.524221026932339,4
28,256,1,4,1,23.51802139758529,256,False,2048,RS,8,True,True,False,True,4,2,False,1,23,4,10,1,32,23.51881,0.0012723600119467903,True,False,1,32,256,23.519598602414707,10
29,32,64,16,2,2.850227434202177,64,False,128,RS,1024,True,False,True,False,21,3,False,1,14,8,10,1,16,2.9093139999999997,0.09533242881622178,True,True,8,8,16,2.9684005657978223,20
30,256,64,1024,1,2.244731204175755,1,False,512,RS,2048,True,False,False,False,1,22,False,7,17,2,10,1,2,2.323322,0.1268012677223694,True,True,8,1,32,2.4019127958242454,28
31,16,2,1,16,2.4348601743811726,128,False,2048,RS,32,True,True,True,False,1,1,True,25,22,2,10,2,32,2.5521760000000002,0.18928164877768794,True,True,4,2,2048,2.669491825618828,14
32,2,4,64,4,4.731318040373303,128,False,32,RS,256,True,True,False,True,26,7,True,1,15,32,10,1,2,4.731528,0.0003387565497521862,True,False,8,8,128,4.731737959626697,16
33,4,1024,1,16,5.7291691383553545,2048,False,1024,RS,32,True,True,True,False,1,1,False,18,17,32,10,24,4,5.7300260000000005,0.0013824919529603623,True,False,4,1,1,5.7308828616446466,14
34,4,32,1024,2,2.4004096255525207,512,False,1,RS,1024,True,False,True,False,22,1,True,1,5,8,10,16,4,2.4866459999999995,0.13913692422933605,True,True,32,2,256,2.5728823744474782,1
35,2,4,8,1024,9.522783439215624,32,False,128,RS,1,False,False,False,False,1,1,False,4,17,2,10,29,16,9.523028,0.0003945833245337076,True,False,2,2,1024,9.523272560784376,21
36,512,256,2,4,2.5775076205812866,1,False,256,RS,128,True,False,False,False,9,7,False,1,3,1,10,1,8,2.6402949999999996,0.10130345702393385,True,True,16,4,16,2.7030823794187127,14
37,1,2,1,32,2.507888543920387,512,False,256,RS,128,True,False,True,False,22,23,True,1,7,1,10,1,1,2.581169,0.11823337113099668,True,True,2,16,256,2.6544494560796132,19
38,512,4,32,2,2.2927358875644344,1,False,2048,RS,2048,False,True,False,True,1,1,True,2,8,16,10,26,4,2.352302,0.09610614692099563,True,True,1,4,16,2.4118681124355654,27
39,16,2,16,64,2.3423432281603054,256,False,256,RS,2048,True,True,False,True,12,27,False,1,21,1,10,1,2,2.4155699999999998,0.11814675501256904,True,True,16,4,128,2.488796771839694,5
40,8,2,1,1,6.569300108912043,128,False,4,RS,2048,True,False,True,True,6,14,False,1,3,1,10,1,16,6.56978,0.0007742738533619627,True,False,32,1,1,6.570259891087956,19
41,16,2,128,2,9.765528246502607,64,False,16,RS,512,True,False,True,True,1,1,True,17,14,1,10,28,32,9.766072,0.0008773118031802956,True,False,32,4,2,9.766615753497392,10
42,2048,128,16,64,2.922181274565092,1,False,512,RS,256,False,True,True,False,24,1,False,1,5,4,10,29,32,3.0521599999999998,0.20971243501518932,True,True,4,1,64,3.1821387254349074,10
43,256,32,8,512,23.814236407459823,512,False,1024,RS,256,False,True,False,True,1,21,False,29,27,4,10,1,32,23.814839999999997,0.0009738583059152166,True,False,8,2,1,23.81544359254017,8
44,1024,16,128,64,2.396302264035671,1024,False,128,RS,128,True,True,False,False,23,16,False,1,8,2,10,1,4,2.4457440000000004,0.07977110720053972,True,True,8,4,128,2.4951857359643297,26
45,4,256,512,32,2.26840207789037,1024,False,2048,RS,2048,True,True,False,True,11,19,True,1,21,1,10,1,8,2.372934,0.1686556307509477,True,True,2,1,128,2.4774659221096296,20
46,4,2048,4,16,2.579111824785152,64,False,1,RS,16,True,False,True,True,1,1,True,29,4,16,10,15,1,2.62232,0.06971365203459079,True,True,32,1,32,2.6655281752148485,14
