id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,16,64,4,4,8.257991714891796,16,False,64,RS,256,False,False,False,True,1,1,False,23,17,4,10,20,4,8.263501,0.00888888232569207,True,False,8,8,16,8.269010285108203,16
2,8,1,1,64,2.7407580860314806,1,False,2,RS,256,True,True,False,False,1,27,False,6,7,4,10,1,16,2.7856300000000003,0.0723979890604705,True,True,4,32,64,2.83050191396852,25
3,16,4,4,8,2.502038220131735,64,False,8,RS,128,False,False,True,False,1,5,False,13,25,2,10,1,2,2.5418510000000003,0.06423539685407102,True,True,16,2,64,2.581663779868266,26
4,32,128,16,1,25.36569637972816,128,False,1024,RS,1,False,False,False,True,1,4,False,25,15,1,10,1,16,25.36959,0.006282109518306708,True,False,4,8,128,25.373483620271838,17
5,16,2,256,2,2.6241434392084044,1,False,32,RS,256,True,False,False,False,1,19,True,16,1,16,10,1,1,2.665946,0.06744578225508255,True,True,4,16,128,2.7077485607915954,27
6,256,128,2,8,1.9536903509333359,2048,False,1,RS,8,True,False,False,False,6,1,True,1,13,32,10,18,4,2.104993,0.24411723421544823,True,True,2,1,128,2.2562956490666637,8
7,64,1,8,1,2.4052260060951594,128,False,128,RS,512,False,False,True,True,1,1,False,28,3,1,10,26,4,2.457694,0.08465378257349165,True,True,32,1,2048,2.5101619939048407,10
8,256,128,512,2,7.154716567475311,512,False,1,RS,1,True,False,False,False,1,1,True,6,29,1,10,6,4,7.155893000000001,0.0018980993124701276,True,False,2,1,256,7.157069432524691,22
9,2,8,2,8,2.6054440212208814,32,False,512,RS,32,False,False,False,True,9,9,True,1,25,2,10,1,16,2.625756,0.03277209032088132,True,True,32,4,1,2.6460679787791186,21
10,2,512,8,2,2.485624000972715,4,False,2048,RS,1024,False,False,False,False,10,27,True,1,5,32,10,1,2,2.5334879999999997,0.07722552865471363,True,True,4,8,8,2.5813519990272846,30
11,4,32,1,2,2.5925600564637294,4,False,1024,RS,2,True,False,False,True,1,1,True,17,15,4,10,23,4,2.620716,0.04542783028056703,True,True,8,4,64,2.64887194353627,2
12,2,32,128,64,2.1208557354166624,2048,False,128,RS,128,False,True,False,False,7,29,False,1,29,8,10,1,16,2.296461,0.283327963972849,True,True,2,16,128,2.4720662645833373,9
13,8,32,1,256,5.419493720375039,1,False,1024,RS,1,False,False,False,True,1,1,True,19,15,8,10,26,8,5.420378,0.001426729126358603,True,False,2,8,2048,5.421262279624962,8
14,128,512,64,1,2.497165978391317,512,False,2048,RS,64,False,False,False,True,5,6,False,1,15,2,10,1,1,2.5610020000000007,0.10299537473110137,True,True,4,16,8,2.624838021608684,24
15,16,128,2,2,2.561512630383031,512,False,512,RS,32,False,False,False,False,1,15,True,30,26,8,10,1,2,2.605854,0.07154198937686873,True,True,2,8,32,2.6501953696169687,15
16,8,64,16,1,6.338040915536353,512,False,1024,RS,16,False,False,True,False,1,1,False,15,13,16,10,7,2,6.338684,0.0010375760213113315,True,False,1,1,4,6.339327084463647,25
17,2,16,2,4,7.197878096254928,1,False,1,RS,128,False,True,False,False,18,18,False,1,15,2,10,1,32,7.198072000000001,0.00031285140242610725,True,False,8,8,8,7.198265903745074,6
18,16,2048,64,64,2.5342112436736506,64,False,1,RS,256,False,False,True,False,3,4,True,1,12,4,10,1,2,2.578805,0.07194919933536435,True,True,2,16,1,2.6233987563263494,29
