id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,128,512,1,0.26659485931401394,1,32,512,1,DLMT,False,True,True,False,True,29,32,35,0.26724851211455747,0.000986513565801403,0.2669216857142857,1,30,True,30,1
2,64,1,128,0.2356806024130173,1,32,32,1,DLMT,True,False,False,True,False,25,1,35,0.23575539758698272,0.00011288325195275083,0.235718,3,1,True,1,32
3,128,1,512,0.21448540570488467,1,1,512,16,DLMT,False,True,True,True,False,15,1,35,0.21467842286654387,0.0002913076303672881,0.21458191428571427,5,28,True,1,32
4,1,1,512,0.28276426418630485,1,256,128,32,DLMT,False,False,False,False,True,6,1,35,0.2828628215279809,0.00014874587011931412,0.2828135428571429,16,30,True,1,32
5,64,2048,2048,inf,32,512,512,16,DLMT,False,True,False,True,True,1,1,1,inf,inf,inf,1,11,False,17,1
6,1,512,256,0.1510295615746809,1,128,16,512,DLMT,True,False,False,False,False,21,32,35,0.15125318128246196,0.00033749396487423424,0.15114137142857142,1,28,True,4,1
7,2048,1024,512,0.27069940661924813,1,512,1,32,DLMT,True,False,True,True,False,2,1,35,0.27108470766646625,0.0005815085771561008,0.2708920571428572,17,1,True,29,32
8,256,2048,2048,0.21043314030486193,1,512,1,128,DLMT,True,True,True,False,True,22,1,35,0.21057040255228088,0.0002071605430873456,0.2105017714285714,1,7,True,1,32
9,512,64,2048,inf,1,512,16,16,DLMT,False,True,False,True,False,4,32,1,inf,inf,inf,21,3,False,1,1
10,64,512,1024,0.20576020424258257,1,512,128,64,DLMT,False,False,True,False,False,1,1,35,0.20578745290027456,4.1124539573129966e-05,0.20577382857142856,5,1,True,1,1
11,2048,1024,256,0.14261274993502562,1,1,256,128,DLMT,False,False,True,True,True,14,1,35,0.14264130720783155,4.3099543063062254e-05,0.1426270285714286,1,10,True,30,1
12,1024,2048,2048,0.19883353674179055,8,1,1,1,DLMT,False,False,True,True,False,20,8,35,0.198866691829638,5.003871154477417e-05,0.19885011428571428,30,1,True,2,1
13,512,64,128,0.13699332311353024,32,1,1,1,DLMT,True,False,True,False,False,3,1,35,0.13707210545789827,0.0001189008161520854,0.13703271428571426,1,20,True,23,1
14,1,1,512,0.21773829803511224,1,256,512,256,DLMT,False,True,False,True,False,14,1,35,0.21789130196488776,0.00023091839003670222,0.2178148,24,1,True,28,1
15,2048,256,512,inf,1,128,128,512,DLMT,True,True,True,True,True,2,32,1,inf,inf,inf,11,7,False,1,1
