id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,1024,256,0.12355285982401609,8,64,512,512,DLMT,True,True,False,True,True,2,1,35,0.1235899401759839,5.59628448168955e-05,0.1235714,30,8,True,1,8
2,1,2048,128,0.1968866241501576,32,64,1,512,DLMT,False,False,False,False,False,6,1,35,0.19698663299269956,0.0001509365213239915,0.19693662857142857,28,1,True,28,1
3,1,1,1,0.2138170772538501,1,1,128,512,DLMT,True,True,False,False,True,4,1,35,0.21383869417472132,3.262494350609062e-05,0.2138278857142857,27,1,True,18,1
4,2048,2048,512,0.17669281968678996,8,1,64,16,DLMT,True,True,True,False,False,29,8,35,0.17697615174178144,0.00042761373567599026,0.1768344857142857,28,28,True,1,1
5,512,2048,1024,inf,1,128,1,32,DLMT,False,False,False,True,True,28,32,1,inf,inf,inf,30,1,False,28,1
6,2048,256,64,0.24796639033774504,1,32,256,1,DLMT,False,True,True,True,True,3,1,35,0.2479971525193978,4.6427261519983594e-05,0.24798177142857142,20,1,True,1,1
7,128,256,2048,inf,32,512,1,32,DLMT,False,True,False,False,True,16,1,1,inf,inf,inf,28,28,False,1,1
8,1,2048,1,0.09035757557078183,8,512,256,256,DLMT,True,True,True,True,False,21,1,35,0.09038137871493243,3.5924461111094176e-05,0.09036947714285713,1,26,True,18,8
9,2048,256,64,0.18141335162144576,32,1,1,512,DLMT,True,True,True,True,False,29,1,35,0.18145933409283996,6.939820617572354e-05,0.18143634285714286,21,1,True,1,1
10,512,1,1,0.09515935640027597,1,256,512,256,DLMT,True,False,True,False,True,28,8,35,0.09517963788543833,3.060946152244277e-05,0.09516949714285715,1,28,True,29,8
11,256,1024,256,0.14526946509741903,1,32,1,256,DLMT,True,False,False,False,True,1,32,35,0.14529733490258098,4.206199506170909e-05,0.1452834,1,3,True,8,1
12,1,1024,2048,inf,1,128,16,64,DLMT,True,True,True,True,False,10,32,1,inf,inf,inf,30,1,False,29,1
13,128,1,512,0.10491229449119038,1,512,256,32,DLMT,True,True,True,False,False,19,32,35,0.10492919122309535,2.550108441071543e-05,0.10492074285714287,2,4,True,1,1
14,1,2048,64,0.2563633830971076,1,16,32,512,DLMT,False,False,False,False,False,3,1,35,0.2564002169028924,5.5590749487399655e-05,0.2563818,26,27,True,1,32
15,1,2048,1,0.27726398970774613,1,64,128,1,DLMT,False,False,True,False,True,30,1,35,0.2773401245779683,0.00011490516409062553,0.2773020571428572,28,1,True,8,32
16,2048,512,2048,0.1447629631552992,1,512,512,512,DLMT,False,False,True,True,False,29,8,35,0.1448482939875579,0.00012878400204867523,0.14480562857142856,24,24,True,1,1
17,512,2048,1024,0.24736474189330263,1,64,16,16,DLMT,True,True,False,True,True,11,1,35,0.2476235438209831,0.00039059208849109763,0.24749414285714286,1,5,True,10,32
18,128,2048,2048,0.19754706680959064,1,512,512,64,DLMT,True,False,False,True,True,24,1,35,0.1975820189046951,5.275081196782873e-05,0.19756454285714287,28,8,True,1,1
19,256,64,128,inf,32,16,1,32,DLMT,False,False,True,True,True,4,1,1,inf,inf,inf,1,27,False,3,1
20,1,256,1,inf,1,1,128,32,DLMT,False,True,False,True,False,24,32,1,inf,inf,inf,29,29,False,1,1
21,256,2048,2048,0.14767438774234096,1,1,32,256,DLMT,False,True,True,True,False,7,1,35,0.14771686940051623,6.411466768411713e-05,0.1476956285714286,1,22,True,1,1
22,256,512,1,0.4139604143378134,32,16,512,1,DLMT,False,True,False,False,False,19,1,35,0.41414049994790103,0.0002717909220450966,0.4140504571428572,1,26,True,30,1
23,1,128,1024,0.24676246437424013,1,1,128,32,DLMT,True,False,False,False,False,6,1,35,0.2469126784829028,0.0002267079034118311,0.24683757142857146,1,21,True,27,32
24,1024,1,512,0.15193561631792107,1,16,64,512,DLMT,False,True,True,False,True,24,1,35,0.15199209796779317,8.524389977576053e-05,0.15196385714285712,20,2,True,1,32
25,1,1,256,0.18675539470098318,8,1,512,1,DLMT,True,False,False,True,False,27,8,35,0.18677974815615972,3.6755007988639436e-05,0.18676757142857145,18,1,True,11,1
26,1024,64,1,0.3239085880626815,1,512,64,1,DLMT,False,False,False,True,False,1,1,35,0.32406946908017564,0.00024280674098835776,0.3239890285714286,20,1,True,22,32
27,256,1,1,0.16190722732063817,1,256,1,32,DLMT,True,True,False,False,False,27,1,35,0.1621098012507904,0.0003057310088883984,0.16200851428571428,1,26,True,27,1
28,2048,1,256,0.15902985937506695,1,1,64,64,DLMT,True,False,True,False,False,20,1,35,0.15910511205350444,0.00011357373223180026,0.1590674857142857,26,27,True,1,1
29,1,1,1,0.17666733570848747,1,1,1,1,DLMT,False,False,False,False,False,1,1,35,0.17687529286294112,0.0003138555419687357,0.1767713142857143,1,1,True,1,1
30,1,64,256,0.1556589057731493,8,128,1,128,DLMT,True,False,True,True,True,7,8,35,0.1558926370839935,0.00035275471734938263,0.1557757714285714,1,23,True,29,1
31,256,2048,1024,inf,1,32,16,128,DLMT,True,True,True,True,False,4,32,1,inf,inf,inf,4,1,False,14,1
32,256,512,512,inf,32,512,32,128,DLMT,True,False,True,False,True,8,1,1,inf,inf,inf,29,1,False,27,1
33,1024,1,1,0.0955201850250974,1,256,32,128,DLMT,True,True,True,False,False,30,8,35,0.09554462068918831,3.687908029310455e-05,0.09553240285714286,29,2,True,1,8
34,1,2048,1,0.1664945035237977,1,512,128,128,DLMT,True,True,True,False,False,22,32,35,0.16651183933334518,2.616375433335788e-05,0.16650317142857143,13,1,True,28,1
35,2048,512,1,0.18085487900416272,1,512,1,128,DLMT,True,False,True,True,True,24,1,35,0.18106249242440872,0.0003133367673860182,0.18095868571428572,1,5,True,2,32
36,2048,2048,256,0.20074586383355117,1,1,128,128,DLMT,True,False,True,False,False,13,32,35,0.20122516473787747,0.0007233761468253702,0.20098551428571432,14,29,True,1,1
37,1024,2048,1,0.23657909007481923,1,512,512,128,DLMT,False,False,True,False,False,3,1,35,0.23673673849660928,0.0002379280048884604,0.23665791428571425,1,23,True,11,32
38,256,1,1,0.24405032907970234,1,16,1,128,DLMT,False,True,True,False,True,19,1,35,0.24408607092029774,5.394272094414038e-05,0.24406820000000004,23,29,True,1,1
39,1,2048,1,0.18314035129701098,1,512,128,128,DLMT,True,True,True,True,True,13,1,35,0.1832911344172747,0.00022756667379123977,0.18321574285714284,1,28,True,21,1
40,1,128,2048,0.16985195868601083,1,1,64,128,DLMT,True,False,True,False,False,28,1,35,0.16989518417113209,6.523727493401735e-05,0.16987357142857146,6,1,True,12,1
41,1024,2048,64,0.20932527685087302,1,1,32,128,DLMT,False,True,True,True,False,26,8,35,0.20934695172055554,3.2712401692474945e-05,0.20933611428571428,28,1,True,29,1
42,512,1,64,0.19344768420689126,32,1,512,128,DLMT,False,True,True,True,False,5,1,35,0.19347511579310875,4.140062111335331e-05,0.1934614,12,6,True,1,1
43,1,64,512,inf,1,512,64,128,DLMT,False,False,True,True,True,27,32,1,inf,inf,inf,18,1,False,24,1
44,1,512,512,0.17765072791859518,32,128,1,128,DLMT,False,False,True,False,False,14,1,35,0.17772750065283346,0.00011586784872149405,0.17768911428571432,1,30,True,30,1
45,2048,1,2048,0.23547580435020393,1,16,512,128,DLMT,True,False,True,True,True,28,1,35,0.23551653850693893,6.14772830119425e-05,0.23549617142857143,26,1,True,27,1
