id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,8,2048,1,32,2048,2048,inf,False,DLMT,2,inf,False,1,14,False,inf,False,inf,True
2,2,1,10,4,8,64,2.913623,False,DLMT,1,0.007333382643773557,True,30,1,False,2.9090778058674007,False,2.918168194132599,False
3,2,128,10,2,128,1,1.3890390000000001,False,DLMT,1,0.04133242466877549,True,1,28,True,1.3634213685171905,True,1.4146566314828097,True
4,2,1,1,32,2,1,inf,False,DLMT,2,inf,False,16,1,False,inf,True,inf,False
5,1,128,1,1,32,512,inf,False,DLMT,4,inf,False,9,1,True,inf,True,inf,True
6,1,2048,10,4,2048,4,1.4230630000000002,False,DLMT,32,0.03431671547511502,True,1,30,True,1.4017936702235148,False,1.4443323297764856,False
7,16,128,1,8,16,64,inf,False,DLMT,8,inf,False,20,1,False,inf,False,inf,False
8,4,128,1,128,8,1,inf,False,DLMT,32,inf,False,1,4,False,inf,True,inf,True
9,1,64,1,512,8,2048,inf,False,DLMT,4,inf,False,1,28,False,inf,True,inf,False
10,16,256,1,2048,1,2048,inf,False,DLMT,4,inf,False,30,1,False,inf,True,inf,True
11,32,128,10,8,1,8,2.314645,False,DLMT,1,0.0007093412436902611,True,1,13,False,2.314205353820952,True,2.315084646179048,False
12,1,512,10,16,1,2048,1.0010635999999997,False,DLMT,32,0.28938003703061477,True,23,1,True,0.8217072906003147,True,1.1804199093996848,False
13,32,512,1,1,1,16,inf,False,DLMT,2,inf,False,1,1,False,inf,False,inf,True
14,16,2048,10,64,8,128,3.342219,False,DLMT,1,0.0005301028202151076,True,9,1,False,3.3418904449054203,True,3.34254755509458,False
15,32,1,10,4,2048,2048,2.2306880000000002,False,DLMT,1,0.00013136209498936245,True,16,1,False,2.2306065824260926,False,2.230769417573908,True
16,1,1,10,4,512,32,2.290003,False,DLMT,32,0.0003800013157871635,True,1,1,False,2.289767477072206,True,2.290238522927794,True
17,2,2048,1,2048,64,2048,inf,False,DLMT,8,inf,False,1,8,False,inf,True,inf,False
18,4,512,1,16,512,2048,inf,False,DLMT,16,inf,False,2,1,True,inf,False,inf,False
19,1,4,1,64,1,1,inf,False,DLMT,16,inf,False,12,1,False,inf,False,inf,False
