id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,16,1024,1,1024,4,1,inf,False,DLMT,4,inf,False,1,23,False,inf,False,inf,True
2,1,1,1,32,2048,128,inf,False,DLMT,32,inf,False,1,29,True,inf,False,inf,False
3,8,128,1,64,64,2048,inf,False,DLMT,4,inf,False,1,30,False,inf,True,inf,True
4,8,8,1,1,1,8,inf,False,DLMT,4,inf,False,10,1,True,inf,True,inf,False
5,1,512,1,256,4,1,inf,False,DLMT,8,inf,False,1,9,True,inf,False,inf,True
6,16,512,1,1,8,2048,inf,False,DLMT,2,inf,False,20,1,True,inf,False,inf,True
7,2,1,1,4,4,4,inf,False,DLMT,2,inf,False,27,1,True,inf,True,inf,False
8,1,8,1,2048,8,1,inf,False,DLMT,32,inf,False,13,1,False,inf,True,inf,False
9,1,1,1,64,256,1024,inf,False,DLMT,32,inf,False,30,1,True,inf,True,inf,False
10,32,2048,1,2,4,512,inf,False,DLMT,2,inf,False,8,1,False,inf,True,inf,True
11,16,2048,10,256,8,256,1.4961370000000003,False,DLMT,1,0.05955647119331366,True,1,14,True,1.4592241950127947,True,1.5330498049872059,True
12,2,2048,1,256,64,256,inf,False,DLMT,4,inf,False,1,2,False,inf,False,inf,False
13,8,8,10,8,4,1024,3.5972939999999993,False,DLMT,1,0.02175483495685494,True,1,3,False,3.583810461365135,False,3.6107775386348635,False
14,4,1,1,8,8,1,inf,False,DLMT,4,inf,False,1,30,False,inf,False,inf,False
15,4,256,1,1,128,128,inf,False,DLMT,16,inf,False,1,1,True,inf,True,inf,True
16,32,64,1,1,2,128,inf,False,DLMT,4,inf,False,30,1,False,inf,True,inf,True
17,1,1024,10,2,128,64,1.3440280000000002,False,DLMT,1,0.04964044798347415,True,1,30,True,1.31326109693847,False,1.3747949030615305,True
18,1,2048,1,1,2048,1,inf,False,DLMT,4,inf,False,25,1,False,inf,True,inf,False
19,4,2048,10,2048,1,1,0.9853736,False,DLMT,1,0.2552140218158869,True,27,1,True,0.8271932171040453,False,1.1435539828959547,False
20,4,1024,1,128,1,256,inf,False,DLMT,32,inf,False,21,1,False,inf,True,inf,False
21,32,2048,1,4,2048,8,inf,False,DLMT,4,inf,False,1,10,True,inf,False,inf,True
22,32,2048,10,8,64,16,2.33973,False,DLMT,1,0.00011287160847619126,True,16,1,False,2.339660042737778,False,2.3397999572622217,False
23,8,1,10,4,512,512,2.309195,False,DLMT,16,0.0007757480261011834,True,1,16,False,2.308714195227102,False,2.3096758047728976,True
24,2,128,10,1,32,1,3.2353159999999996,False,DLMT,32,0.05160898898447829,True,1,20,True,3.203329005005159,False,3.2673029949948402,False
25,1,256,1,8,1,128,inf,False,DLMT,2,inf,False,1,19,False,inf,True,inf,True
26,2,2048,10,64,2048,64,2.2436370000000005,False,DLMT,1,0.0001848269460874441,True,10,1,False,2.2435224451769797,False,2.2437515548230214,True
27,2,2048,10,4,128,2048,1.0069992,False,DLMT,16,0.3605639828862002,True,1,24,True,0.7835234345791863,True,1.2304749654208138,False
28,8,64,1,16,1,1,inf,False,DLMT,2,inf,False,5,1,True,inf,True,inf,False
29,4,2,10,2,1,4,2.82954,False,DLMT,32,0.00022244100341441432,True,1,5,False,2.829402132171103,True,2.8296778678288974,True
30,32,1,10,1,1024,2048,2.287656,False,DLMT,1,5.800000000004308e-05,True,5,1,False,2.2876200518881262,True,2.287691948111874,False
31,32,4,1,64,1,1024,inf,False,DLMT,2,inf,False,18,1,True,inf,False,inf,True
32,1,128,1,1,1,2048,inf,False,DLMT,16,inf,False,11,1,False,inf,False,inf,True
33,2,512,1,2048,512,1,inf,False,DLMT,2,inf,False,1,8,False,inf,False,inf,False
34,1,1,10,1,1,1,2.5149060000000003,True,DLMT,1,0.00017459667808980892,True,1,1,False,2.5147977858462633,False,2.5150142141537373,False
35,16,64,10,8,16,1,2.2909599999999997,False,DLMT,1,0.0004283456548162598,True,12,1,False,2.2906945134910353,True,2.291225486508964,True
36,16,512,1,512,64,1024,inf,False,DLMT,4,inf,False,1,16,False,inf,True,inf,True
37,4,128,1,16,1,16,inf,False,DLMT,2,inf,False,1,18,True,inf,False,inf,False
38,1,2048,1,64,8,1,inf,False,DLMT,2,inf,False,1,20,True,inf,True,inf,False
39,32,8,1,1024,2,1,inf,False,DLMT,2,inf,False,30,1,False,inf,False,inf,True
40,1,2048,10,2048,64,2048,1.1329850999999997,False,DLMT,1,0.31389133525201035,True,1,18,True,0.9384368097273581,False,1.3275333902726414,True
41,1,8,10,1,1,8,1.3591090000000001,False,DLMT,16,0.041926260851642874,True,1,27,True,1.3331233118010466,True,1.3850946881989536,True
42,16,2048,1,4,2,256,inf,False,DLMT,2,inf,False,7,1,False,inf,False,inf,False
43,2,512,1,1,16,1,inf,False,DLMT,8,inf,False,1,12,False,inf,False,inf,True
44,32,2048,1,8,256,8,inf,False,DLMT,4,inf,False,20,1,True,inf,False,inf,True
45,16,256,10,512,32,1024,1.544874,False,DLMT,1,0.11110600525624165,True,1,29,True,1.476011049882977,False,1.6137369501170231,True
46,2,128,1,1,4,2048,inf,False,DLMT,32,inf,False,8,1,False,inf,False,inf,True
47,4,1024,1,2048,8,1,inf,False,DLMT,4,inf,False,1,29,True,inf,True,inf,True
48,1,128,1,4,32,4,inf,False,DLMT,4,inf,False,2,1,True,inf,True,inf,False
49,4,16,1,4,1,512,inf,False,DLMT,4,inf,False,1,6,True,inf,True,inf,False
50,32,1,10,64,4,128,1.39805,False,DLMT,1,0.04373220506674685,True,2,1,True,1.370944996547906,True,1.4251550034520941,False
51,4,2048,1,64,64,256,inf,False,DLMT,8,inf,False,4,1,True,inf,False,inf,True
52,32,512,10,1,512,1,3.008791,False,DLMT,2,0.2751533273086117,True,1,21,True,2.8382523346120516,False,3.1793296653879484,False
53,1,1,1,1,128,128,inf,False,DLMT,2,inf,False,24,1,True,inf,False,inf,True
54,2,16,10,4,4,256,1.39269,False,DLMT,16,0.056077068396983835,True,21,1,True,1.3579337115813463,False,1.4274462884186536,False
55,2,1024,10,1,128,2,2.3974269999999995,False,DLMT,1,0.0001291549457047701,True,12,1,False,2.3973469504062543,True,2.3975070495937447,False
56,1,512,1,256,1,1,inf,False,DLMT,32,inf,False,10,1,True,inf,True,inf,True
57,8,2048,1,2048,1,1,inf,False,DLMT,16,inf,False,3,1,False,inf,False,inf,False
58,32,2,1,16,1,2048,inf,False,DLMT,4,inf,False,1,30,False,inf,True,inf,False
59,1,64,1,32,32,256,inf,False,DLMT,32,inf,False,30,1,False,inf,True,inf,False
60,16,1,10,4,4,4,1.3767580000000001,False,DLMT,8,0.0769576944561101,True,1,8,True,1.3290600032784907,False,1.4244559967215096,False
61,8,2048,1,512,1024,2048,inf,False,DLMT,16,inf,False,28,1,True,inf,True,inf,False
62,8,1,1,8,128,1024,inf,False,DLMT,4,inf,False,30,1,True,inf,True,inf,False
63,4,1,1,512,2048,1,inf,False,DLMT,2,inf,False,16,1,False,inf,False,inf,False
64,1,512,10,32,1,2048,2.250928,False,DLMT,1,0.0009029817273898823,True,28,1,False,2.250368336411102,True,2.251487663588898,True
65,2,1,10,4,2048,256,2.2670319999999995,False,DLMT,16,0.0004906485503901663,True,1,28,False,2.2667278984658603,True,2.2673361015341387,True
66,2,1,1,64,64,1,inf,False,DLMT,32,inf,False,1,1,False,inf,False,inf,True
67,2,2048,10,8,2048,128,1.356908,False,DLMT,32,0.03688071794312033,True,1,11,True,1.3340495142310282,True,1.3797664857689718,True
68,1,32,10,2,1,16,2.417257,False,DLMT,16,0.000113582569085175,True,1,26,False,2.417186602087925,True,2.4173273979120755,False
69,1,2048,1,256,128,1024,inf,False,DLMT,4,inf,False,1,28,True,inf,True,inf,True
70,2,2048,10,1,1024,256,1.410504,False,DLMT,1,0.06419931404617962,True,1,6,True,1.3707135840768174,True,1.4502944159231825,False
71,16,256,1,1,64,8,inf,False,DLMT,2,inf,False,30,1,True,inf,False,inf,False
72,32,1,1,16,2,1,inf,False,DLMT,4,inf,False,1,30,False,inf,False,inf,True
73,1,2048,1,2048,1,1,inf,False,DLMT,2,inf,False,27,1,False,inf,False,inf,True
74,1,512,10,1,128,1,2.963257,False,DLMT,32,0.05488560905191815,True,14,1,True,2.929239172164611,True,2.997274827835389,False
75,1,2048,10,8,2048,1,2.2507650000000003,False,DLMT,32,0.0007481343462240053,True,4,1,False,2.250301310048714,True,2.2512286899512866,True
76,2,1024,1,1,128,256,inf,False,DLMT,32,inf,False,1,20,False,inf,False,inf,True
77,2,64,1,256,2,2048,inf,False,DLMT,2,inf,False,30,1,False,inf,True,inf,True
78,32,2048,10,16,1,512,1.2708920000000001,False,DLMT,1,0.09526167674358878,True,9,1,True,1.211849285985321,True,1.3299347140146793,True
79,32,1,1,512,1024,2048,inf,False,DLMT,2,inf,False,1,17,False,inf,True,inf,False
80,1,256,10,16,1,1024,1.3592680000000001,False,DLMT,32,0.08731281953985912,True,1,12,True,1.3051519481926908,False,1.4133840518073095,True
81,8,1,10,64,2048,1024,6.590287000000001,False,DLMT,1,0.00030574662712777573,True,1,30,False,6.590097499759363,False,6.590476500240639,True
82,32,2048,1,8,256,16,inf,False,DLMT,4,inf,False,1,7,False,inf,True,inf,True
83,32,1024,10,128,8,1,1.373257,False,DLMT,1,0.05162750798750607,True,1,1,True,1.3412585270190795,False,1.4052554729809204,True
84,8,1,10,4,16,8,2.3374560000000004,False,DLMT,1,0.0014534042796138665,True,1,13,False,2.3365551872475656,True,2.3383568127524352,True
85,4,512,1,2048,256,1,inf,False,DLMT,16,inf,False,8,1,False,inf,True,inf,True
86,4,4,1,256,1,1,inf,False,DLMT,2,inf,False,1,20,True,inf,True,inf,False
87,16,32,1,32,32,128,inf,False,DLMT,2,inf,False,1,1,False,inf,True,inf,False
