id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
1,False,10,1,1,0.14375149999999998,21,1,DLMT,0.14373760428383917,2.2419857269836478e-05,True,512,1,False,True,False,True,False,0.1437653957161608,False
2,False,10,16,4,0.07140470000000002,30,1,DLMT,0.06415597106515736,0.0116953646883712,True,32,16,True,True,False,False,True,0.07865342893484267,False
3,False,10,1,8,0.06510533,15,1,DLMT,0.058209477739944976,0.011126020540071816,True,8,256,True,True,False,False,False,0.07200118226005503,False
4,True,10,32,1,0.1513066,3,12,DLMT,0.15121559635842993,0.00014682860756677908,True,8,1,False,True,False,False,False,0.1513976036415701,False
5,False,10,1,2048,0.04587574,2,20,DLMT,0.041557845285790075,0.006966649439178062,True,2048,1024,True,True,True,False,True,0.05019363471420992,False
6,True,10,64,4,0.02495201,1,30,DLMT,0.01951503458324591,0.008772215221761264,True,64,512,True,True,False,True,True,0.03038898541675409,False
7,True,10,8,1024,0.12062710000000001,4,1,DLMT,0.12054603258672936,0.00013079713299610086,True,1024,64,False,True,False,False,False,0.12070816741327067,False
8,True,10,2,8,0.06981105,24,1,DLMT,0.06152558310711145,0.013368075671857188,True,2048,2,True,False,False,False,True,0.07809651689288855,False
9,False,10,8,2048,0.34841869999999997,1,14,DLMT,0.3483748273980922,7.078566239006266e-05,True,1,2048,False,False,False,False,False,0.3484625726019077,False
10,True,10,1,128,0.1076031,1,25,DLMT,0.10759341670674025,1.562337991601088e-05,True,128,1,False,False,False,True,True,0.10761278329325974,False
11,False,10,1,64,0.06261044,1,11,DLMT,0.0541069091558805,0.013719908035566419,True,128,16,True,False,False,False,False,0.07111397084411951,False
12,True,10,256,128,0.14475829999999998,26,1,DLMT,0.14469003805312647,0.00011013632461635989,True,1,2048,False,True,False,False,True,0.1448265619468735,False
13,True,10,2,1,0.1276447,30,1,DLMT,0.12760545366042286,6.33214813471714e-05,True,1,1,False,False,True,False,False,0.12768394633957714,False
14,True,10,1024,256,0.035935100000000005,8,6,DLMT,0.02961588669464406,0.010195650135915807,True,1,1024,True,False,False,True,True,0.04225431330535595,False
15,True,10,1,8,0.09337471,1,7,DLMT,0.09335175912385532,3.702978395831944e-05,True,256,512,False,True,True,False,True,0.09339766087614468,False
16,True,10,4,2,0.06336126,1,16,DLMT,0.05844176218271551,0.007937297914429065,True,1,128,True,True,False,False,True,0.06828075781728449,False
17,False,10,2,1,0.1776839,4,8,DLMT,0.177656969995,4.34498561562626e-05,True,16,2048,False,False,False,False,True,0.17771083000500001,False
18,True,10,2048,4,0.42821509999999996,26,1,DLMT,0.4281928659384237,3.58732490861966e-05,True,1024,2048,False,False,False,True,False,0.4282373340615762,False
19,True,10,128,8,0.06052735,8,4,DLMT,0.054835237700282764,0.00918386241101749,True,256,1,True,False,True,False,False,0.06621946229971723,False
20,False,10,128,1,0.08577675,1,28,DLMT,0.08047155086330632,0.008559602546292672,True,1024,2048,True,True,False,False,False,0.09108194913669368,False
21,False,10,16,32,0.06653686,3,1,DLMT,0.06040822158659821,0.009888169627003776,True,1,1,True,False,False,False,True,0.0726654984134018,False
22,True,10,4,64,0.08340054,2,19,DLMT,0.07582086225210065,0.012229329621626853,True,256,2048,True,True,True,True,False,0.09098021774789934,False
23,False,10,64,8,0.1583464,2,18,DLMT,0.15833668996574182,1.5666524822052704e-05,True,8,128,False,True,False,True,False,0.15835611003425817,False
24,False,10,16,512,0.024134759999999998,1,4,DLMT,0.01856979733219356,0.008978714539086316,True,2048,1,True,True,True,True,True,0.029699722667806436,False
25,False,10,16,512,0.13373,26,1,DLMT,0.13370610611773,3.8551264570694086e-05,True,1024,512,False,False,True,False,False,0.13375389388226996,False
26,False,10,4,512,0.2065666,1,30,DLMT,0.20653888580431537,4.471509812132546e-05,True,1,32,False,True,True,True,False,0.2065943141956846,False
27,False,10,2048,16,0.1136749,2,20,DLMT,0.11366598076400593,1.4390621946253318e-05,True,1024,1,False,False,False,False,True,0.11368381923599406,False
28,False,10,32,1,0.2293555,17,1,DLMT,0.22933573981068336,3.188181299737872e-05,True,256,32,False,False,True,True,True,0.22937526018931662,False
29,True,10,1024,1,0.13431169999999998,1,1,DLMT,0.13292120559760456,0.0022434745842108378,True,8,1024,False,False,True,False,True,0.1357021944023954,False
30,True,10,1,32,0.1601227,7,3,DLMT,0.16003905887280664,0.00013494965728004212,True,2048,64,False,False,False,True,False,0.16020634112719337,False
31,False,10,1,1,0.13358810000000002,1,1,DLMT,0.1332286426640129,0.0005799616280410322,True,1,1,False,False,False,False,False,0.13394755733598712,True
