id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,1,1,8,8,8,4,3.812948556229235,4,False,512,DLMT,1024,False,False,True,True,4,1,6,False,16,26,2048,1,10,1,2,3.8138780000000003,4,0.0014995986129628565,1,True,1,13,8,3.8148074437707655,1,29
2,512,4,256,512,1,1024,1.8955313418359414,64,False,128,DLMT,512,False,False,True,False,8,256,1,False,2,26,32,8,10,22,8,1.895607,4,0.00012206965224823868,8,True,1,1,1024,1.8956826581640587,22,1
3,32,4,2,256,8,1,2.5379830589727854,8,False,512,DLMT,512,False,False,True,True,1,2,1,True,1,27,512,8,10,30,2,2.5381709999999997,32,0.0003032309350973832,4,True,1,5,1,2.538358941027214,1,8
4,128,16,4,1,1,512,3.1517040279551254,4,False,256,DLMT,256,True,False,False,False,4,1,1,True,2,20,64,8,10,15,4,3.152181,2,0.0007695641623672423,32,True,1,18,1024,3.152657972044875,1,19
5,1024,2,1,1024,512,2048,6.7102768728903195,1024,False,2048,DLMT,2048,True,False,False,False,1,512,3,True,32,5,512,1,10,1,16,6.710451000000001,32,0.00028094305472820463,2,True,1,23,1024,6.710625127109682,1,16
6,1,1,2,8,8,1,2.5150066374923146,8,False,128,DLMT,16,True,False,True,False,8,256,4,True,16,20,32,1,10,1,4,2.515423,8,0.000671774515741677,16,True,12,1,2048,2.515839362507686,21,1
7,16,2,2,16,2,4,2.2171635203444184,1024,False,512,DLMT,256,True,False,False,False,8,2,1,False,8,27,2048,1,10,3,32,2.2173160000000003,2,0.00024601625962530855,16,True,1,29,1024,2.217468479655582,25,1
8,128,32,2,2048,2,256,3.272549621425533,4,False,2048,DLMT,4,True,True,False,True,16,128,28,True,2,24,128,2,10,1,32,3.272983,32,0.0006992288609603783,1,True,21,1,512,3.273416378574467,1,12
9,8,4,64,32,32,1024,8.955576178147334,4,False,4,DLMT,2048,False,False,True,True,32,1024,1,True,2,2,1,32,10,15,2,8.955746999999999,8,0.0002756102320304179,2,True,1,28,64,8.955917821852664,1,12
10,2,4,4,2,32,32,inf,4,False,512,DLMT,16,False,True,False,True,4,1,1,False,8,23,512,16,1,9,2,inf,8,inf,16,False,1,2,8,inf,1,23
11,16,2,1,1024,1,1,2.2665095862892213,16,False,8,DLMT,2,False,True,False,True,8,2,1,True,16,20,2,4,10,21,1,2.2668259999999996,32,0.000510513467011401,4,True,4,1,1,2.267142413710778,10,1
12,1024,1,32,2048,256,64,4.480669024862552,256,False,4,DLMT,2048,True,True,False,False,32,8,18,True,4,30,1024,2,10,1,4,4.480882,4,0.00034362188521685734,16,True,23,1,1,4.481094975137449,1,6
