id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,16,1,128,False,1,64,16,16,128,4,5.220383082945293,512,4,1,RS,8,False,False,False,1024,8,False,1,1,6,1024,4,10,32,18,1,5.220916,2,False,0.0008598278897545157,True,5.2214489170547065
2,1,2,1024,False,2,8,512,64,1,1,3.0673439824822544,32,8,32,RS,2,True,False,True,32,128,True,26,1,1,8,2,10,128,8,15,3.0998769999999998,4,False,0.052489961716503476,True,3.132410017517745
3,2,32,8,False,2,8,1,256,128,13,5.657157513551273,4,4,4,RS,8,False,False,False,2048,2048,True,1,23,16,1024,1,10,2048,1,27,5.704934999999999,4,True,0.07708594609265688,True,5.752712486448725
4,1,32,32,False,2,64,128,4,1,1,19.023945538324867,1024,1,512,RS,4,True,True,True,1024,512,False,14,1,18,1,2,10,2048,22,30,19.038629999999998,1,True,0.023692448163918984,True,19.05331446167513
5,1,2,8,False,4,4,1024,32,1024,29,4.155221699435574,2,1,1024,RS,8,True,True,False,1,1024,False,8,1,21,1024,2,10,1,1,5,4.155655,1,False,0.0006991029967038086,True,4.156088300564426
6,4,4,512,False,2,16,16,8,16,5,4.409109810812641,1024,512,256,RS,1,True,True,True,2048,2048,False,19,26,1,1024,1,10,16,22,1,4.409282999999999,2,False,0.000279429776509091,True,4.409456189187358
7,8,2,2048,False,1,2,1,4,2,1,2.3145729523610967,1,4,1,RS,2,True,True,True,16,8,True,9,24,1,128,4,10,512,29,29,2.3827640000000003,16,False,0.11002193319515884,True,2.450955047638904
8,1,8,1,False,1,8,8,32,512,1,19.171658323949714,64,16,512,RS,4,False,False,True,1,2048,False,1,12,12,1,8,10,1024,11,30,19.177370000000003,8,False,0.00921542728255174,True,19.183081676050293
9,8,8,512,False,4,2,16,16,512,14,7.7539730176177635,1024,16,4,RS,1,True,False,False,1024,128,True,6,17,1,16,8,10,2048,1,20,7.758154,4,False,0.0067457500694881245,True,7.762334982382237
10,16,1,1024,False,1,16,4,2,128,28,7.91766699177176,1,256,256,RS,4,False,False,True,1024,512,True,1,16,21,512,2,10,2048,1,12,7.919518999999999,16,True,0.0029880978899626126,True,7.921371008228238
11,4,8,1024,False,4,2048,4,256,32,1,3.6166635508135587,8,4,2,RS,2,True,True,False,2048,2,False,5,1,22,2048,8,10,1024,9,8,3.6206900000000006,8,True,0.0064964205528890775,True,3.6247164491864425
12,1,32,16,False,2,8,2,32,1024,16,4.019825280970422,32,16,8,RS,2,False,True,True,1,16,True,1,6,18,64,32,10,128,1,25,4.055027,1,False,0.05679574245487086,True,4.090228719029578
13,1,4,1024,False,4,4,4,2,2048,1,3.7574213114119157,256,16,4,RS,2,True,False,False,1,1,True,18,30,1,8,32,10,2,12,29,3.796746,2,True,0.0634478925103111,True,3.8360706885880846
14,1,1,256,False,1,128,32,32,2048,29,6.931627670850561,1,128,256,RS,1,True,True,True,16,1024,True,22,8,1,1024,16,10,32,1,24,6.937955,4,False,0.010208744535935833,True,6.944282329149439
15,1,16,64,False,2,1,8,128,32,13,3.347904559167822,256,2,1024,RS,2,False,False,False,512,1024,False,1,9,9,256,8,10,512,1,2,3.348525,2,False,0.0010010419571626764,True,3.349145440832178
16,8,1,1024,False,1,1,2,1,256,1,1.5286291812648674,4,8,16,RS,2,True,True,False,32,32,True,28,11,1,256,8,10,16,9,5,1.70899,2,True,0.2910007491742933,True,1.8893508187351327
17,4,4,2048,False,16,2,256,32,2048,1,4.070440117128813,2,16,4,RS,4,False,False,True,16,512,True,21,1,26,32,16,10,2048,21,13,4.366847,4,False,0.478233718281135,True,4.663253882871187
18,4,4,1,False,16,16,128,1,2048,1,15.105784059752292,32,16,4,RS,8,True,True,False,2048,32,True,1,25,5,1024,8,10,128,28,23,15.11333,1,False,0.012174896303459717,True,15.120875940247707
19,1,8,2048,False,1,1,16,2048,2048,1,10.37249577749923,2,2048,256,RS,1,False,True,True,2,1,True,21,1,9,512,4,10,2048,24,14,10.56231,4,True,0.30625321696269553,True,10.75212422250077
20,1,2,4,False,2,8,1,2,8,11,5.5719769178378185,2,1,1,RS,1,True,False,False,8,512,False,3,9,1,2048,1,10,2048,16,1,5.578144,2,True,0.00995019617897053,True,5.5843110821621815
21,4,16,1,False,1,2048,1,2,128,19,9.706006377051505,128,1,1,RS,2,True,True,True,128,8,False,1,23,24,1,1,10,256,1,23,9.711133,4,True,0.008271481185374324,True,9.716259622948495
22,8,8,128,False,4,1,512,1,512,8,4.639084633456281,1024,4,2,RS,1,False,True,True,2048,8,True,3,29,1,1,8,10,1,27,1,4.743290999999999,1,True,0.16813036748011934,True,4.847497366543718
23,8,4,512,False,1,1,32,16,2048,2,4.421178466079691,2,1,4,RS,1,True,False,True,8,8,False,12,1,29,4,2,10,32,9,1,4.421252,4,False,0.00011864231959979665,True,4.421325533920309
24,8,4,2048,False,4,128,2,4,16,6,3.7277282353786583,64,32,256,RS,2,False,True,True,1,256,True,2,1,7,128,16,10,128,1,25,3.746362,1,True,0.030064398147975634,True,3.7649957646213417
