id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,1,2048,512,inf,1,128,256,512,DLMT,True,True,True,False,True,2,1,1,1,12,1,12,inf,False,inf,True,inf
2,2048,512,1024,inf,32,512,64,256,DLMT,False,True,True,True,True,5,1,1,1,17,16,1,inf,False,inf,True,inf
3,1,1,1024,inf,1,1,64,1,DLMT,False,False,True,True,False,11,32,1,1,2,1,3,inf,False,inf,True,inf
4,128,128,2048,inf,8,128,32,1,DLMT,False,True,True,False,False,23,1,1,8,24,25,1,inf,False,inf,True,inf
5,1,1,1,inf,1,512,512,32,DLMT,False,True,True,True,True,25,1,1,8,27,1,30,inf,False,inf,False,inf
6,512,1,1,inf,1,32,16,512,DLMT,True,False,False,False,False,14,32,1,1,1,29,3,inf,False,inf,True,inf
7,2048,64,128,inf,1,32,1,512,DLMT,True,False,False,True,True,25,1,1,32,26,29,1,inf,False,inf,False,inf
8,1,1024,2048,inf,1,1,1,512,DLMT,False,True,False,True,False,5,8,1,1,14,1,21,inf,False,inf,False,inf
9,512,1024,128,inf,32,1,512,1,DLMT,True,True,True,True,False,23,1,1,1,1,21,30,inf,False,inf,True,inf
10,64,1,2048,inf,8,1,512,16,DLMT,True,True,False,False,True,15,1,1,1,1,17,4,inf,False,inf,False,inf
11,1024,64,1,inf,1,1,1,1,DLMT,False,True,False,False,True,16,1,1,32,1,2,13,inf,False,inf,True,inf
12,256,1,128,inf,1,128,1,1,DLMT,False,False,False,False,False,28,1,1,1,6,1,21,inf,False,inf,False,inf
13,1024,1,1024,inf,1,256,512,512,DLMT,True,True,True,True,False,23,1,1,32,1,7,23,inf,False,inf,False,inf
14,1,1,64,inf,32,16,1,1,DLMT,True,False,True,True,True,19,1,1,1,26,1,21,inf,False,inf,False,inf
15,2048,2048,128,inf,8,128,128,1,DLMT,True,False,True,True,True,25,1,1,1,7,1,1,inf,False,inf,False,inf
16,256,1,2048,inf,1,16,16,1,DLMT,True,False,True,True,False,2,1,1,1,29,17,1,inf,False,inf,True,inf
17,128,1,1,inf,32,512,256,32,DLMT,False,False,False,False,False,9,1,1,1,7,6,1,inf,False,inf,True,inf
18,256,2048,2048,inf,1,1,512,1,DLMT,False,False,False,True,True,16,32,1,1,9,25,1,inf,False,inf,True,inf
19,1024,2048,1,inf,1,32,512,16,DLMT,False,True,True,False,False,10,1,1,32,30,1,7,inf,False,inf,False,inf
20,512,2048,1024,inf,1,16,64,512,DLMT,False,False,True,False,True,30,1,1,1,10,20,1,inf,False,inf,False,inf
21,64,2048,2048,inf,8,128,16,1,DLMT,True,True,False,True,False,25,1,1,1,29,1,6,inf,False,inf,False,inf
22,1,2048,1024,inf,1,128,1,512,DLMT,True,False,True,False,True,20,1,1,32,4,1,22,inf,False,inf,True,inf
23,2048,128,2048,inf,1,64,16,1,DLMT,True,False,True,False,True,13,32,1,1,25,1,29,inf,False,inf,False,inf
24,1,512,1,inf,1,128,1,1,DLMT,True,True,True,True,True,30,32,1,1,11,17,1,inf,False,inf,False,inf
25,2048,2048,512,inf,1,512,128,256,DLMT,True,False,False,False,False,26,32,1,1,28,1,30,inf,False,inf,True,inf
26,128,1,2048,inf,1,512,64,1,DLMT,False,False,False,True,True,3,1,1,8,1,29,7,inf,False,inf,True,inf
27,2048,128,1,inf,1,16,16,16,DLMT,False,True,False,True,True,2,1,1,1,1,18,19,inf,False,inf,False,inf
28,1,2048,1,inf,1,64,1,64,DLMT,False,False,True,False,False,6,1,1,8,1,28,18,inf,False,inf,True,inf
