id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
17,4,128,DLMT,1,8,True,4,1,0.0002484028985338457,True,2,128,4,False,2.770030041117478,2048,128,8,2,True,True,False,256,False,1,False,16,False,1,1,1,True,1,8,1,16,4,1,1,False,10,2.770337958882521,4,2.7701839999999995,16,4,1,True,1,32,8,1024,False,1,8,1,1
18,2,128,DLMT,1,1,False,2,512,0.0001274715654568141,True,2048,32,32,True,2.3331199937569695,32,8,64,1,True,True,False,512,True,128,True,2048,True,1,8,32,True,1,4,8,1,12,1,8,False,10,2.3332780062430296,16,2.3331989999999996,4,4,2,True,1024,512,16,1024,True,16,4,8,1
19,16,128,DLMT,16,8,True,2,1,0.00012660568707614306,False,16,512,2,False,3.611262530424088,4,64,1024,128,True,False,True,8,True,1,True,1024,True,12,16,128,True,16,1,1,4,16,1,12,False,10,3.6114194695759108,1,3.6113409999999995,8,1,2,True,2048,1,1,1024,False,1,1,8,16
20,1,1,DLMT,4,16,True,4,64,0.00012702755606558948,False,256,2048,4,True,5.159559268951784,32,8,2048,1,False,True,True,2,True,2,True,16,True,12,16,64,False,1,16,1,1,1,1,4,False,10,5.159716731048214,4,5.159637999999999,16,1,8,True,64,1024,4,2048,True,1,16,1,16
21,32,2048,DLMT,32,32,False,2,4,0.00025342454498336327,True,2,1,2,True,2.2161889287259555,64,64,256,2048,True,True,False,256,True,32,True,1024,True,16,1,128,True,1,1,16,1,12,1,8,False,10,2.216503071274045,4,2.216346,8,16,2,True,256,4,1,1,True,1,4,2,8
22,128,2048,DLMT,1,1,False,16,1,0.000596094791119661,True,32,16,1,True,3.559389543409682,8,32,256,32,True,True,True,2,True,2,True,256,False,1,1,512,True,8,1,1,16,1,1,1,False,10,3.560128456590319,1,3.5597590000000006,8,4,16,True,16,512,4,128,False,16,16,1,1
23,8,32,DLMT,16,1,True,16,2,0.00014695577566060998,True,128,16,8,True,5.003486917540276,1,1,8,2048,True,False,False,2,True,256,True,1024,True,16,12,8,False,1,4,16,1,12,1,12,False,10,5.003669082459722,12,5.003577999999999,8,2,8,True,8,64,1,1,False,12,16,2,1
24,2,32,DLMT,2,2,False,2,64,0.0004588692624266907,False,32,1024,16,True,3.5342625951106705,256,4,8,512,True,False,True,8,False,2048,False,1,True,8,12,1,True,16,1,12,1,4,1,12,False,10,3.5348314048893292,1,3.534547,4,2,1,True,512,512,16,1,False,1,4,4,4
25,2048,4,DLMT,8,2,True,4,256,0.0004268828879212264,False,4,256,1,True,1.7216144201066905,256,4,2048,8,False,False,True,1,False,2,False,1024,True,8,8,2048,False,1,12,1,16,1,1,8,False,10,1.7221435798933094,1,1.721879,1,4,1,True,1,1,16,2048,True,16,16,8,1
26,1,2048,DLMT,32,4,False,32,1,0.0001449965516830563,False,32,2,2,True,3.626316131857566,2,16,256,1,False,True,False,2,False,2,False,2048,False,16,4,32,True,1,8,1,12,4,1,8,False,10,3.6264958681424346,12,3.6264060000000002,1,32,4,True,128,32,8,64,True,1,1,4,4
