id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
1,2,2,1,2048,7.020522124029556,4,False,2048,DLMT,256,False,False,0.0007145523073926676,10,False,32,10,1,8,False,7.0209649999999995,32,False,32,True,1,7.021407875970443,1,7
2,1,2,8,4,7.0215047072237065,1,False,1024,DLMT,1,False,True,0.007214147489482031,30,False,1,10,1,8,False,7.025976,8,True,1,True,64,7.0304472927762935,10,1
3,8,4,256,8,6.985234706562886,1,False,256,DLMT,2048,True,True,0.007435189372167894,1,True,32,10,27,32,False,6.989842999999999,1,True,32,True,8,6.994451293437112,1,23
4,1,1,4,64,6.982526163975926,1024,False,32,DLMT,128,True,True,0.004494769849503006,1,True,8,10,3,1,False,6.985312,8,True,32,True,128,6.988097836024075,1,11
5,32,1,16,2048,7.035046703050742,128,False,1024,DLMT,16,True,True,0.0012073296981356028,23,True,8,10,1,8,False,7.035795,1,False,8,True,1,7.036543296949258,15,1
6,2,1,8,1,6.961438006094337,64,False,32,DLMT,256,True,False,0.0007938009826146464,5,True,1,10,1,8,False,6.96193,32,False,1,True,32,6.962421993905663,1,1
7,2048,256,256,1,7.130506887699087,2048,False,256,DLMT,512,False,True,0.0018072302011642256,30,False,32,10,1,32,False,7.131627,1,False,8,True,256,7.132747112300913,14,1
8,1,1024,16,16,6.958068847472974,4,False,1,DLMT,1,True,False,0.0008537540629479632,12,True,32,10,1,32,False,6.958597999999999,32,False,8,True,1024,6.959127152527024,1,18
9,32,1,16,1,6.992531823118108,2048,False,1,DLMT,2048,True,True,0.0013458915260896047,29,True,32,10,1,1,False,6.993366,8,False,8,True,16,6.9942001768818916,1,8
10,4,1,1,64,7.03776621576536,32,False,1,DLMT,128,True,True,0.00414457054470054,1,False,32,10,24,32,False,7.040335000000001,1,True,1,True,256,7.042903784234642,1,26
11,8,4,128,16,6.996963708543942,512,False,2048,DLMT,2048,False,False,0.0032531584652458687,8,True,1,10,1,32,False,6.99898,8,True,8,True,1,7.000996291456059,11,1
12,2048,2,2048,8,6.995933981671707,1,False,512,DLMT,1,True,False,0.003589926043806444,17,True,8,10,1,32,False,6.998158999999999,32,True,1,True,1,7.000384018328291,12,1
13,256,128,32,2,6.973914525530457,1024,False,1,DLMT,128,False,False,0.001412522566191372,1,True,8,10,9,1,False,6.9747900000000005,32,False,1,True,32,6.975665474469544,1,9
14,256,16,32,8,6.984708738055823,1024,False,1,DLMT,32,False,True,0.00454386014309414,1,False,1,10,1,32,False,6.987525,32,True,32,True,256,6.9903412619441765,30,1
15,2048,2,16,2,7.047346955830034,1,False,1,DLMT,1024,False,True,0.005104984720839057,1,False,1,10,25,8,False,7.050511,1,True,8,True,1024,7.0536750441699665,1,8
16,2,128,1,8,7.00374308729235,512,False,512,DLMT,32,False,True,0.001198642565571626,25,False,32,10,1,1,False,7.004486,32,False,32,True,1,7.00522891270765,1,21
