id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.11605634708238217,8,1,64,64,1,2,7,SIMA,3,1,64,512,0.11602342434618927,4.9688039048545216e-05,1,0.11603988571428572,8
2,True,35,0.11853905321825206,1,64,16,256,16,1,1,SIMA,7,2048,1,128,0.11850414678174798,5.268190255811685e-05,8,0.11852160000000002,8
3,True,35,0.12778057301093795,1,16,16,64,1,15,1,SIMA,7,1024,2048,256,0.12775954127477632,3.17417641576013e-05,8,0.12777005714285714,1
4,True,35,0.30629467821511697,8,512,1,1,15,2,1,SIMA,15,1024,64,1,0.30621657892774007,0.00011786992484800367,1,0.3062556285714285,1
5,False,1,inf,32,16,256,1,25,1,14,SIMA,16,1,512,512,inf,inf,1,inf,1
6,True,35,0.13644136609295726,1,1,512,32,10,1,6,SIMA,3,1024,512,2048,0.13642223390704272,2.887490259723877e-05,1,0.1364318,1
7,True,35,0.20441646901009342,1,32,16,512,1,14,29,SIMA,8,512,256,1024,0.20409758813276363,0.00048126514733649395,1,0.20425702857142852,32
8,True,35,0.22902561954295025,32,32,16,16,1,29,1,SIMA,29,512,256,64,0.22900243759990696,3.4986924671356736e-05,1,0.2290140285714286,1
9,True,35,0.13513604693954917,8,128,128,16,20,1,12,SIMA,7,1,2048,256,0.13511606734616516,3.015383686284584e-05,8,0.13512605714285716,1
10,True,35,0.15145379535677697,8,32,64,512,3,1,5,SIMA,26,2048,512,512,0.15142803321465167,3.88810430699088e-05,1,0.15144091428571432,1
11,True,35,0.13076558797339713,1,1,256,64,1,28,30,SIMA,11,512,1,1024,0.13073355488374575,4.834535623395159e-05,8,0.13074957142857144,1
12,True,35,0.22459647410551964,8,16,64,128,24,14,1,SIMA,18,1,256,1024,0.22457815446590895,2.76485819099752e-05,1,0.2245873142857143,8
13,True,35,0.11224823163649802,8,1,128,128,25,13,1,SIMA,19,1,128,2048,0.11221022550635912,5.7360058634302843e-05,8,0.11222922857142857,1
14,True,35,0.2189844967926027,8,16,64,256,25,12,1,SIMA,18,1,64,1024,0.21887076035025452,0.00017165465092351497,1,0.2189276285714286,1
15,True,35,0.314657714499782,1,1,64,128,25,14,1,SIMA,19,1,128,1024,0.31387537121450376,0.0011807373324170258,32,0.3142665428571429,1
16,True,35,0.11728660243212258,1,16,64,64,24,12,1,SIMA,18,64,128,2048,0.11722111185359171,9.884046102024206e-05,8,0.11725385714285715,1
17,True,35,0.20666624861711408,32,1,256,256,26,14,1,SIMA,19,1,256,2048,0.2066485513828859,2.670922793984921e-05,1,0.2066574,1
18,True,35,0.21734249266582437,1,16,64,64,25,12,1,SIMA,19,1,256,2048,0.21732139304846135,3.184421262256373e-05,1,0.21733194285714286,1
19,True,35,0.20413543509640777,1,1,64,256,24,14,1,SIMA,19,1,256,2048,0.20410742204644935,4.227818465780282e-05,1,0.20412142857142856,1
20,True,35,0.11700718420338833,1,1,64,256,24,13,1,SIMA,20,1,64,2048,0.11697264436804024,5.212861645067164e-05,8,0.11698991428571429,1
21,True,35,0.11674245785991996,1,1,256,256,26,12,1,SIMA,18,1,256,1024,0.11671565642579435,4.0449575563474375e-05,8,0.11672905714285715,8
22,True,35,0.20372182007025832,32,1,64,256,26,14,1,SIMA,18,1,256,2048,0.2035719513583131,0.00022618661971649862,1,0.2036468857142857,1
23,True,35,0.2053499512414485,32,1,64,256,26,13,1,SIMA,20,1,128,1024,0.20533027732998005,2.969249200779154e-05,1,0.20534011428571428,1
24,True,35,0.11769898297088274,1,1,64,64,24,12,1,SIMA,19,1,256,2048,0.11750078845768869,0.00029912145373013957,8,0.11759988571428572,1
25,True,35,0.22438991323087962,1,16,64,64,24,12,1,SIMA,18,1,256,2048,0.224363115340549,4.044422715547797e-05,1,0.2243765142857143,8
26,True,35,0.11975607821068164,1,1,128,64,26,14,1,SIMA,19,64,256,2048,0.11966455036074695,0.00013813673793508808,8,0.1197103142857143,1
