id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,1024,1,128,16,2,inf,23,1,DLMT,inf,False,True,True,inf,False,inf,False
2,1,1,2048,8,2,inf,1,6,DLMT,inf,False,True,False,inf,True,inf,False
3,8,10,256,1,1,0.3714465,15,1,DLMT,0.3609364551235043,True,False,False,0.016957291247425104,True,0.3819565448764957,False
4,2048,10,64,32,4,0.4676106,1,7,DLMT,0.467545380479235,True,False,True,0.00010522756292910974,False,0.467675819520765,False
5,16,1,1,32,2,inf,7,1,DLMT,inf,False,True,True,inf,True,inf,False
6,128,10,1024,8,16,1.01716,8,1,DLMT,1.0168521920398146,True,False,False,0.0004966286338905631,False,1.0174678079601855,False
7,2,10,1,32,4,0.47057399999999994,1,30,DLMT,0.4704235493039063,True,False,False,0.00024274266209300418,False,0.4707244506960936,False
8,1,1,16,16,32,inf,1,1,DLMT,inf,False,True,False,inf,False,inf,False
9,512,1,32,1,8,inf,1,7,DLMT,inf,False,True,False,inf,True,inf,False
10,2048,1,1,16,16,inf,29,1,DLMT,inf,False,True,False,inf,True,inf,False
11,2048,10,2048,1,32,0.7105274,1,30,DLMT,0.7104628953251859,True,False,True,0.0001040742042967309,False,0.7105919046748141,False
12,32,1,128,4,32,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
13,256,10,4,4,32,0.4508642,30,1,DLMT,0.4508477391027165,True,False,False,2.655861442168759e-05,True,0.45088066089728346,False
14,2048,1,2048,2,2,inf,3,1,DLMT,inf,False,True,False,inf,True,inf,False
15,8,1,2048,32,16,inf,20,1,DLMT,inf,False,True,False,inf,True,inf,False
16,1,1,2,32,1,inf,1,22,DLMT,inf,False,True,False,inf,False,inf,False
17,1,10,2048,32,32,1.0429709999999999,23,1,DLMT,1.0428045426230899,True,False,True,0.0002685684270348966,True,1.0431374573769099,False
18,1,1,2,2,16,inf,11,1,DLMT,inf,False,True,True,inf,False,inf,False
19,4,10,16,16,8,0.7347065,1,21,DLMT,0.7346610336934876,True,False,True,7.335700375560974e-05,True,0.7347519663065125,False
20,1,10,256,2,2,0.2138182,1,21,DLMT,0.21377933059830223,True,False,True,6.271331597037708e-05,True,0.2138570694016978,False
21,256,1,1,1,32,inf,1,14,DLMT,inf,False,True,True,inf,False,inf,False
22,8,1,1024,1,8,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
23,256,10,16,8,1,0.21451580000000003,1,30,DLMT,0.2144921050162398,True,False,True,3.823035443204755e-05,True,0.21453949498376026,False
24,128,10,1,2,16,0.7327481,1,1,DLMT,0.7327111553807419,True,False,True,5.960780150280991e-05,True,0.7327850446192581,False
25,16,10,1,4,1,0.9612915,1,11,DLMT,0.961133408461831,True,False,True,0.00025507067648008515,False,0.9614495915381689,False
26,32,10,4,1,4,0.3553182,20,1,DLMT,0.3552252039738634,True,False,False,0.0001500431937809982,False,0.3554111960261365,False
27,1,10,1,1,1,0.2029735,1,1,DLMT,0.202947272708418,True,False,False,4.231607259659096e-05,False,0.202999727291582,True
28,1024,10,512,16,2,0.21584279999999997,1,12,DLMT,0.21579503249698295,True,False,False,7.706983845837447e-05,True,0.215890567503017,False
29,8,10,2048,16,1,0.5165911,1,1,DLMT,0.5165669638572117,True,False,False,3.8942136561816645e-05,True,0.5166152361427883,False
30,1,10,2048,4,16,0.9108360999999998,1,10,DLMT,0.9106163397953444,True,False,False,0.0003545691610955448,False,0.9110558602046552,False
31,8,1,16,32,2,inf,7,1,DLMT,inf,False,True,False,inf,False,inf,False
32,8,10,512,1,32,0.7843722000000001,9,1,DLMT,0.7842876931349524,True,False,False,0.00013634647043469136,False,0.7844567068650478,False
33,4,1,2,8,2,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
