id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,2,1024,1,16,2,512,inf,False,RS,8,inf,False,25,1,False,inf,False,inf,True
2,1,256,1,8,4,512,inf,False,RS,8,inf,False,6,1,False,inf,False,inf,True
3,2,16,10,4,8,8,2.8291340000000003,False,RS,8,0.0004613718673695235,True,20,1,False,2.8288480440085597,False,2.829419955991441,True
4,1,1024,1,128,256,512,inf,False,RS,16,inf,False,11,1,True,inf,False,inf,False
5,4,1024,1,64,256,2048,inf,False,RS,32,inf,False,13,1,False,inf,True,inf,True
6,4,8,10,64,2,64,4.828849999999999,False,RS,1,0.0004517742799230183,True,4,1,False,4.82856999254558,True,4.829130007454419,True
7,4,1,1,16,256,128,inf,False,RS,4,inf,False,1,15,False,inf,True,inf,False
8,2,1024,1,64,32,128,inf,False,RS,4,inf,False,23,1,False,inf,False,inf,False
9,8,2048,1,1024,256,1024,inf,False,RS,16,inf,False,15,1,True,inf,True,inf,False
10,4,256,10,32,32,64,1.3869969999999998,False,RS,1,0.06340713493763929,True,2,1,True,1.347697572752986,False,1.4262964272470136,False
11,1,256,1,32,16,256,inf,False,RS,16,inf,False,13,1,True,inf,True,inf,True
12,8,32,1,64,32,2048,inf,False,RS,8,inf,False,6,1,False,inf,False,inf,False
13,8,1,1,4,16,256,inf,False,RS,4,inf,False,1,2,True,inf,True,inf,False
14,1,256,1,16,16,256,inf,False,RS,8,inf,False,1,4,True,inf,True,inf,True
15,32,256,1,2,256,128,inf,False,RS,2,inf,False,1,7,False,inf,True,inf,False
16,16,16,10,32,1,32,1.3667269999999998,False,RS,1,0.04661736544464951,True,14,1,True,1.3378337884782796,False,1.39562021152172,True
17,32,2048,1,8,2,1,inf,False,RS,2,inf,False,1,5,True,inf,False,inf,True
18,32,256,10,2,8,128,3.3830169999999997,False,RS,1,0.0033840066489296806,True,25,1,False,3.3809196094897076,True,3.385114390510292,False
19,1,256,10,1,32,16,2.287534,False,RS,32,0.00014235167719422868,True,28,1,False,2.2874457711376346,True,2.2876222288623653,True
20,8,4,1,256,4,256,inf,False,RS,8,inf,False,16,1,False,inf,True,inf,True
21,4,1,10,4,128,128,2.255555,False,RS,1,0.0011027715085183867,True,22,1,False,2.2548715076972536,True,2.2562384923027468,True
22,8,512,10,16,8,64,2.7088010000000002,False,RS,1,0.00040036108702023906,True,9,1,False,2.708552858187137,False,2.7090491418128635,True
23,16,1024,1,1,512,16,inf,False,RS,4,inf,False,1,27,True,inf,False,inf,False
24,16,1024,10,64,4,2048,1.0123301999999998,False,RS,1,0.3237043527887136,True,1,12,True,0.8116998502061918,False,1.2129605497938079,True
25,4,1024,1,128,128,2048,inf,False,RS,16,inf,False,23,1,True,inf,False,inf,True
26,32,512,1,8,2,16,inf,False,RS,2,inf,False,29,1,False,inf,True,inf,True
27,32,64,1,1,1,4,inf,False,RS,4,inf,False,12,1,False,inf,False,inf,False
28,4,1024,10,1,1024,2,2.246245,False,RS,8,0.00035282431888964853,True,1,14,False,2.246026321239876,True,2.246463678760124,True
29,2,256,1,16,16,1024,inf,False,RS,8,inf,False,22,1,False,inf,False,inf,True
30,8,16,1,4,1,1024,inf,False,RS,4,inf,False,10,1,True,inf,True,inf,True
31,1,1024,1,4,4,256,inf,False,RS,2,inf,False,10,1,False,inf,False,inf,True
32,4,4,10,2,4,1024,1.326572,False,RS,1,0.08854201350771282,True,1,30,True,1.2716940998776762,False,1.381449900122324,False
33,4,4,1,16,4,16,inf,False,RS,4,inf,False,1,10,False,inf,False,inf,False
34,16,2,10,2,2,1,3.8857039999999996,False,RS,4,9.478396488863913e-05,True,1,25,False,3.8856452533694195,False,3.8857627466305797,False
35,8,128,1,64,4,256,inf,False,RS,2,inf,False,1,9,True,inf,True,inf,False
36,4,1,1,8,2048,2048,inf,False,RS,2,inf,False,3,1,True,inf,True,inf,False
37,8,128,1,1,1,2048,inf,False,RS,4,inf,False,1,12,True,inf,True,inf,True
38,32,128,1,4,4,64,inf,False,RS,4,inf,False,5,1,False,inf,True,inf,False
39,1,2048,10,512,256,2048,1.0125362,False,RS,1,0.3404908447960973,True,1,7,True,0.8015016658501954,True,1.2235707341498046,False
40,8,1,1,1,2,256,inf,False,RS,4,inf,False,16,1,False,inf,True,inf,False
