id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
1,4,128,128,16,7.0037136741441595,128,False,512,RS,1,True,False,0.003659799994535118,18,True,8,10,1,8,False,7.005982,32,True,8,True,64,7.008250325855841,24,1
2,2048,32,64,8,6.970808129306714,2048,False,256,RS,64,False,False,0.0007242244127341243,13,True,1,10,1,1,False,6.971257,1,False,1,True,8,6.9717058706932855,12,1
3,512,64,128,1,7.036771920946324,2048,False,64,RS,512,False,True,0.0029123806413309593,1,False,32,10,21,8,False,7.038577000000001,32,True,8,True,128,7.0403820790536775,1,26
4,256,2,512,64,6.991123929874174,1024,False,1,RS,1024,False,True,0.0007342268041961131,1,False,8,10,4,8,False,6.991579,1,False,8,True,256,6.9920340701258255,15,1
5,2,128,1024,4,6.968560846647688,16,False,512,RS,2048,True,False,0.008054523015051801,28,True,1,10,1,8,False,6.973553,32,True,8,True,4,6.978545153352312,19,1
6,64,16,64,16,6.979736154877862,256,False,256,RS,64,True,False,0.003517041938902497,1,True,32,10,12,8,False,6.981916,1,True,8,True,128,6.984095845122138,11,1
7,32,16,4,8,6.963446663600443,256,False,16,RS,128,True,True,0.0009298822506103422,6,False,8,10,1,8,False,6.964023,8,False,1,True,2048,6.964599336399557,1,4
8,1,16,8,1,6.957109590281353,256,False,2048,RS,1024,True,True,0.004758685637862661,25,False,1,10,1,8,False,6.960058999999999,8,True,32,True,32,6.963008409718646,16,1
9,16,16,1024,32,6.985382848255273,1,False,512,RS,1,False,True,0.014259797649335569,12,True,8,10,1,8,False,6.994220999999999,8,True,32,True,512,7.003059151744725,17,1
10,32,32,2,256,7.012090025294569,32,False,64,RS,128,True,False,0.0014213968481744102,1,True,8,10,25,8,False,7.012971,32,False,1,True,256,7.013851974705432,25,1
11,64,4,16,64,6.982971096623533,512,False,32,RS,256,True,False,0.0008904611165008118,1,False,8,10,2,8,False,6.983523000000001,8,False,1,True,128,6.984074903376468,1,6
12,4,1,32,1024,6.959284484576058,4,False,8,RS,128,False,False,0.0008494992642727712,29,False,32,10,1,1,False,6.959811,1,False,1,True,1024,6.960337515423943,30,1
13,1,64,16,32,6.9954152699675625,64,False,512,RS,1,True,False,0.00097730701419761,13,False,1,10,1,1,False,6.996020999999999,1,False,1,True,256,6.996626730032435,17,1
14,128,4,16,1,6.993124698729625,256,False,1024,RS,64,False,True,0.0030950575115821022,1,False,8,10,14,8,False,6.995043000000001,8,True,32,True,256,6.996961301270376,1,18
15,8,1024,1,1,6.981564069864924,16,False,1024,RS,64,True,True,0.0073732926159213496,2,False,8,10,1,1,False,6.986134,8,True,8,True,256,6.9907039301350755,28,1
16,2,128,8,64,6.959759810348979,32,False,1,RS,1024,True,True,0.0008941498755802354,1,True,8,10,15,1,False,6.9603139999999994,32,False,1,True,128,6.96086818965102,25,1
17,512,512,64,16,6.984293787115059,512,False,1,RS,64,True,True,0.0007247765172796046,11,False,32,10,1,32,False,6.984743,32,False,8,True,512,6.98519221288494,8,1
18,2,2,8,2,6.99667472959224,256,False,512,RS,256,True,False,0.0010782119457694082,1,True,32,10,23,8,False,6.997342999999999,8,False,8,True,1,6.998011270407758,1,9
19,512,512,2,1,6.999774551154813,1024,False,1,RS,32,True,True,0.0024773493899732536,1,False,1,10,18,8,False,7.001310000000001,8,True,32,True,2048,7.002845448845189,7,1
20,512,512,256,32,6.983560753847685,1024,False,2048,RS,512,True,False,0.000994274107075028,1,True,32,10,21,32,False,6.984177,1,False,32,True,64,6.984793246152314,11,1
21,64,16,4,2,6.971331457977044,128,False,128,RS,16,True,True,0.001204498235781113,28,True,1,10,1,8,False,6.972078000000001,32,False,8,True,2,6.972824542022957,1,19
22,1,256,16,1,6.969794491969844,32,False,512,RS,2048,False,False,0.005021834425785206,1,False,1,10,14,8,False,6.972907000000001,32,True,1,True,8,6.976019508030158,1,4
23,64,64,16,512,7.010385915640472,128,False,128,RS,2048,False,False,0.00101821461391978,22,False,1,10,1,1,False,7.011017,32,False,32,True,1024,7.0116480843595275,1,22
24,32,512,128,2,6.95595993182269,128,False,1,RS,256,False,True,0.0010198019415552846,1,False,32,10,25,1,False,6.9565920000000006,32,False,1,True,16,6.957224068177311,1,21
25,16,64,16,1,6.999251107242129,128,False,2048,RS,16,True,True,0.0035397069087709106,1,False,32,10,3,8,False,7.0014449999999995,1,True,32,True,16,7.00363889275787,1,23
26,1024,128,32,128,6.999939228218632,1,False,512,RS,128,False,False,0.0006417795571689322,1,False,8,10,17,1,False,7.000337,1,False,8,True,1024,7.000734771781368,1,11
27,2,128,2,2,7.000995273414877,8,False,128,RS,32,True,False,0.011800234277335418,29,False,8,10,1,8,False,7.008309,8,True,8,True,2048,7.015622726585122,17,1
28,256,2,64,4,6.967588373279034,1,False,2,RS,1024,False,False,0.004186265758405721,1,True,1,10,27,1,False,6.9701830000000005,32,True,32,True,1,6.972777626720967,9,1
29,16,16,2,4,6.998235005831467,256,False,1024,RS,1024,False,False,0.0009067419699119507,4,False,1,10,1,8,False,6.998797000000001,8,False,8,True,16,6.999358994168534,3,1
30,16,8,512,4,6.940678434772156,2048,False,64,RS,512,False,True,0.000602723817349255,2,True,32,10,1,32,False,6.941052000000001,8,False,32,True,128,6.941425565227846,1,23
31,512,4,1,2048,7.002523147501536,1024,False,1,RS,1024,True,False,0.0009129671407011259,1,True,32,10,13,1,False,7.003089,8,False,8,True,2048,7.003654852498464,15,1
32,512,256,64,16,6.969218610974477,1,False,512,RS,128,False,False,0.0007395816384957362,1,True,1,10,4,32,False,6.969677,32,False,8,True,256,6.970135389025523,3,1
33,4,1,256,8,7.00163289276101,512,False,1024,RS,2048,False,True,0.003033433862803024,1,False,1,10,3,1,False,7.003513,1,True,8,True,1024,7.00539310723899,1,29
34,4,1,1024,4,6.981385534193993,4,False,256,RS,2048,True,True,0.004074679005762214,1,True,1,10,17,8,False,6.983911000000001,8,True,1,True,16,6.986436465806008,1,20
35,2,256,2,16,6.960548722447977,32,False,512,RS,1024,False,True,0.003098246116756931,15,True,1,10,1,32,False,6.9624690000000005,8,True,32,True,64,6.964389277552024,27,1
36,2,4,2,32,6.993650041378303,2,False,64,RS,8,False,True,0.005372677172509103,5,True,8,10,1,1,False,6.996980000000001,32,True,8,True,256,7.000309958621698,12,1
37,8,128,2048,4,6.9875122549788395,8,False,1024,RS,1,True,False,0.0010144402397380882,1,False,32,10,19,8,False,6.988140999999999,8,False,8,True,512,6.988769745021158,7,1
38,2,128,16,2,6.966139820219772,64,False,2048,RS,64,True,True,0.0006472781473215129,12,True,8,10,1,8,False,6.966541000000001,8,False,32,True,4,6.96694217978023,1,10
39,16,128,2,1,7.057506221495223,256,False,128,RS,256,False,True,0.0006853531936162174,1,False,32,10,5,32,False,7.057931000000001,32,False,32,True,1024,7.058355778504779,1,13
40,2,32,4,4,6.967812667312756,16,False,32,RS,1,True,True,0.0012541770209982918,1,False,32,10,14,1,False,6.968590000000001,32,False,8,True,2048,6.969367332687246,1,3
41,256,512,4,16,7.032543268451759,512,False,512,RS,128,False,False,0.004768885509214872,19,True,8,10,1,8,False,7.035499,8,True,1,True,32,7.03845473154824,1,7
42,2048,4,16,256,6.969981873313378,1,False,512,RS,32,True,True,0.0008617795541784443,19,False,8,10,1,1,False,6.970515999999999,32,False,1,True,2048,6.97105012668662,1,16
43,16,4,1,4,6.975260607540355,128,False,64,RS,4,True,True,0.0008234858833033687,1,True,8,10,24,8,False,6.975771,8,False,32,True,512,6.9762813924596445,13,1
