id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,False,False,4,1024,4,4,5.846047038215771,False,DLMT,True,8,1,1024,False,10,512,20,1,8,2,0.00020645822822056836,5.846175000000001,True,2,1,4,5.84630296178423,4
2,False,True,1,128,4,4,6.236317523548521,False,DLMT,False,1,30,512,False,10,8,2,1,32,4,0.0029017277611795332,6.238116,True,512,16,1,6.239914476451479,32
3,False,True,4,2048,1,32,4.377946054938123,False,DLMT,True,1,24,256,False,10,64,1,26,2,4,7.735631842313474e-05,4.377993999999999,True,1,2,512,4.3780419450618755,4
4,False,False,1024,512,2,16,6.0560180933242265,False,DLMT,False,19,1,512,False,10,1024,1,30,8,16,0.0009372561016073953,6.056599,True,8,64,16,6.057179906675774,2048
5,False,False,256,4,4,16,5.9325464147292255,False,DLMT,True,1,29,2048,False,10,512,26,1,2,4,0.0001526073392730817,5.932641,True,128,1,1,5.932735585270775,512
6,False,True,8,256,32,4,6.171964164817086,False,DLMT,False,1,4,1024,False,10,32,1,29,2,32,0.00020302709178817186,6.17209,True,1,4,2,6.1722158351829135,1024
7,True,True,64,1024,4,1,7.112650408812612,False,DLMT,False,1,27,2048,True,10,512,1,22,1,16,0.00040431299756498774,7.112900999999999,True,128,64,1,7.113151591187386,256
8,False,False,16,128,2,32,6.097765967533747,False,DLMT,False,21,1,1024,False,10,128,28,1,4,16,0.0003098322126569802,6.097958,True,512,1024,128,6.098150032466253,1
9,True,False,16,128,4,2,6.702448643196205,False,DLMT,False,27,1,1,False,10,128,23,1,2,32,0.00176083502918365,6.703540000000001,True,2048,4,16,6.704631356803797,256
10,True,True,1,1,8,2,5.574344494985167,False,DLMT,True,2,1,1,True,10,128,29,1,2,16,0.0010334142441442392,5.574985,True,2,1,256,5.575625505014833,4
11,True,True,8,32,1,16,4.372548447838042,False,DLMT,True,1,17,512,True,10,8,1,3,4,16,0.0019241073254887854,4.373741000000001,True,512,2,32,4.374933552161959,128
12,False,True,1,2048,1,8,4.49395188894767,False,DLMT,True,2,1,128,True,10,2048,3,1,4,32,0.00021799311915736742,4.494087,True,2,4,16,4.494222111052331,32
13,True,False,8,2048,8,2,6.53716617703874,False,DLMT,True,1,19,1,False,10,128,11,1,1,16,0.00017396551382392657,6.537274000000001,True,128,2,32,6.537381822961262,64
14,False,True,256,512,16,4,6.675344658225556,False,DLMT,True,1,11,2,False,10,1024,1,19,8,8,0.00042811213484304355,6.675610000000001,True,1,128,4,6.675875341774446,256
15,True,True,256,512,1,32,6.896290168361362,False,DLMT,False,1,13,32,False,10,1024,14,1,1,2,0.00018204669730597996,6.896402999999999,True,4,256,1,6.896515831638637,2048
16,True,False,128,2048,32,1,5.867970605618572,False,DLMT,False,1,1,2048,True,10,128,1,26,2,2,0.0012236212649345058,5.868729,True,2048,512,256,5.869487394381428,1
17,True,False,512,256,2,4,6.590062178974896,False,DLMT,True,4,1,16,False,10,2048,1,13,32,4,0.021892432688031708,6.603631,True,2,2048,128,6.617199821025104,2048
18,True,False,64,32,4,4,7.259346059096227,False,DLMT,False,6,1,8,True,10,1,1,29,2,32,0.001001848790986109,7.2599670000000005,True,1,16,16,7.260587940903774,64
19,True,False,256,1,8,16,7.876530000911219,False,DLMT,False,4,1,2048,False,10,256,1,25,1,32,0.0024959849759164437,7.878076999999999,True,4,4,128,7.879623999088779,2048
20,False,True,32,1,2,4,5.852585570427618,False,DLMT,True,7,1,8,True,10,1024,1,30,1,8,0.0004944046925342859,5.852891999999999,True,1,512,4,5.853198429572379,1024
21,True,False,16,4,4,2,5.848160109057646,False,DLMT,True,1,6,16,False,10,32,11,1,2,2,0.0014325557580771656,5.849048000000001,True,1,2,1,5.849935890942356,2
22,False,True,16,2048,8,1,6.110398416801258,False,DLMT,False,1,17,1024,True,10,256,1,7,1,1,0.00011388151737661314,6.110469,True,1,2048,1,6.110539583198742,1
23,True,True,8,2048,1,2,5.828626192808389,False,DLMT,True,1,30,1,False,10,2048,5,1,2,1,0.0010242211675218808,5.829261,True,2048,1,8,5.829895807191611,32
24,True,True,4,8,32,2,7.222583101809967,False,DLMT,True,1,25,256,False,10,2048,17,1,4,1,0.00015795252451278666,7.222681,True,128,16,2,7.2227788981900325,16
25,False,True,1,64,32,4,5.854649913562581,False,DLMT,False,1,1,16,False,10,1024,1,6,2,2,0.00015180250327314853,5.854744000000001,True,16,256,32,5.854838086437421,256
26,False,False,1,1,8,2,5.990132919676367,False,DLMT,False,1,19,1024,True,10,2048,1,1,4,32,0.00011629703349621797,5.990205,True,8,2048,2048,5.990277080323632,2048
27,False,True,4,64,2,16,7.104741919178098,False,DLMT,False,27,1,256,True,10,4,1,11,16,4,0.0004567329635574486,7.105025,True,64,128,32,7.105308080821903,512
