id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,1,128,16,3.783345585911563,8,16,1,DLMT,500,10,False,2048,128,32,4,6,1,True,4,2,False,10,0.0003265823020311659,3.7835480000000006,True,False,3.783750414088438
2,2048,32,16,8,5.300047004247276,1,64,1024,DLMT,500,10,False,1024,256,2048,25,1,1,False,4,1,False,10,0.07235455822544969,5.344892000000001,True,True,5.389736995752726
3,1,128,128,2,0.2137918798388558,1,512,32,DLMT,500,10,True,8,64,2048,3,3,1,False,5,4,False,10,0.019320451983325857,0.22576659999999998,True,True,0.23774132016114416
4,32,256,2,2048,4.2450996352243315,1024,8,1,DLMT,500,10,True,1,2048,512,2,1,4,True,2,2,False,10,0.0011009523150437095,4.245782,True,False,4.246464364775669
5,1,32,16,2,9.22575866177665,128,512,2048,DLMT,500,10,False,1,16,1,1,3,4,True,14,1,False,10,0.0005216857291511551,9.226082000000002,True,False,9.226405338223353
6,32,2048,32,1,8.383480402452431,2048,8,128,DLMT,500,10,True,2048,512,256,3,1,19,False,1,1,False,10,0.00015746745695518493,8.383578000000002,True,False,8.383675597547573
7,1,1,2048,4,0.33761262897088495,1,512,1,DLMT,500,10,False,2,512,128,5,1,3,False,1,4,False,10,0.03194277139573208,0.35741059999999997,True,True,0.377208571029115
8,64,512,16,32,1.5523403831507259,64,16,1,DLMT,500,10,False,128,32,512,1,1,1,False,30,2,False,10,0.01157901640900467,1.559517,True,True,1.5666936168492742
9,8,2048,2048,256,0.2517107665432452,4,4,4,DLMT,500,10,True,16,512,1,3,3,3,True,6,1,False,10,0.03862024090085406,0.2756474,True,True,0.2995840334567548
10,1,1024,1024,512,4.587676290993376,512,2048,256,DLMT,500,10,False,512,512,256,29,3,1,True,1,1,False,10,0.00018184883832448183,4.587789,True,False,4.587901709006624
