id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,8,512,RS,1,8,True,2,2,0.001595536273482996,False,128,8,2,False,4.045569094543834,8,4,2048,512,False,True,True,16,True,64,False,512,True,1,12,1024,True,1,8,1,12,4,1,4,False,10,4.047546905456167,1,4.046558,12,16,1,True,16,128,1,1,False,12,2,8,1
2,4,2048,RS,8,1,True,1,8,0.00012562245022286565,False,64,4,4,True,2.610815139829406,4,256,1,2048,True,False,False,32,False,128,False,128,False,12,12,16,True,1,12,1,8,12,1,8,False,10,2.610970860170594,8,2.610893,16,1,16,True,256,512,8,128,False,1,2,4,16
3,32,2048,RS,4,8,False,2,2048,0.0035758350073792763,False,1,8,32,False,4.344115715226086,1,1,512,4,True,False,True,2,False,64,False,256,True,16,8,8,False,12,1,1,1,12,1,4,False,10,4.348548284773915,12,4.346332,1,1,4,True,1,1,16,1,False,1,2,16,4
4,2,16,RS,4,4,False,32,2,0.0002150372060829858,False,128,128,32,False,3.7542597210079096,64,1,256,128,False,False,True,2,False,4,False,16,True,12,12,1024,False,16,1,1,12,12,1,4,False,10,3.754526278992091,4,3.7543930000000003,16,8,4,True,64,4,4,128,True,1,16,8,8
5,4,64,RS,2,4,True,8,2,0.00033497014792362254,True,32,64,16,False,2.1625673871663467,8,1,4,128,False,False,True,256,True,4,True,2048,True,1,1,2048,True,12,1,8,1,8,1,8,False,10,2.162982612833653,4,2.162775,16,8,2,True,512,16,12,1,True,8,16,4,1
6,2,32,RS,8,2,True,16,64,0.00025126878039265845,True,8,8,16,True,4.387222264858139,2,2,8,64,False,True,True,8,False,8,True,2048,False,8,12,2048,False,1,4,1,4,12,12,1,False,10,4.387533735141861,1,4.387378,1,1,1,True,16,1024,8,128,False,1,8,4,1
7,64,2,RS,4,32,False,4,2048,0.0029876311686685784,False,8,4,8,True,3.5894382810433005,512,1,1024,8,False,True,True,512,False,32,True,32,True,4,4,2048,False,12,1,1,8,16,12,1,False,10,3.5931417189566983,4,3.5912899999999994,4,4,8,True,2048,1,12,16,False,16,2,32,1
8,4,128,RS,8,8,True,8,8,0.0017005951899261153,True,1,2,1,True,5.309749979549323,4,8,128,32,True,True,False,2,False,2,False,2,True,8,4,512,False,1,12,1,8,16,1,4,False,10,5.311858020450678,8,5.310804,8,1,4,True,2048,8,4,512,True,1,2,32,16
9,16,64,RS,32,4,True,32,1024,0.00013935566009311886,False,8,16,2,True,2.812383628054151,8,16,32,1024,True,True,False,32,True,2,False,64,False,8,12,64,False,8,1,1,4,1,12,1,False,10,2.8125563719458495,1,2.8124700000000002,8,4,32,True,128,2048,4,2048,False,1,4,8,8
10,4,2048,RS,2,8,False,8,8,0.00014427751037491136,True,8,1,16,True,2.228472577515796,512,128,32,512,False,False,False,128,True,1,False,4,True,1,1,1,True,8,1,4,1,12,1,4,False,10,2.2286514224842033,12,2.2285619999999997,12,32,4,True,128,1,16,8,True,16,8,2,1
