id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,1,False,1,4,16,32,1,4,1.3892753560083029,4,4,RS,True,True,24,True,512,True,29,1,128,2,10,1024,1,16,1.3931769999999999,1,False,0.006295055281727089,True,1.397078643991697
2,16,512,False,8,16,4,8,256,2,0.752349798362858,32,32,RS,True,False,1,False,64,True,1,23,1,32,10,2048,4,8,0.7593096000000001,25,False,0.011229198806682494,True,0.7662694016371423
3,16,512,False,8,4,1024,16,1024,12,0.826641908294412,1,4,RS,True,False,7,True,16,True,5,1,4,8,10,2048,16,4,0.8352386,1,True,0.013870217180707729,True,0.8438352917055881
4,8,256,False,32,64,16,2,32,20,0.8942462979245589,16,2,RS,True,True,1,False,16,False,22,1,2048,2,10,128,32,4,0.9038275999999998,6,True,0.015458823604660223,True,0.9134089020754408
5,16,128,False,1,128,8,32,2048,1,0.7891186798908782,2,8,RS,True,True,6,True,128,False,17,1,128,8,10,128,2,16,0.7972684999999999,13,True,0.013149218183983393,True,0.8054183201091216
6,16,512,False,32,1024,1,512,4,1,1.2413604933418882,8,512,RS,True,True,9,False,32,False,1,14,2048,8,10,1,16,16,1.245053,14,True,0.005957625449791201,True,1.2487455066581117
7,32,1,False,32,1024,16,256,1,26,0.9648084169826483,4,1,RS,False,True,3,False,1024,True,6,1,2048,32,10,512,8,2,0.9685506,1,True,0.006037775106775661,True,0.9722927830173518
8,1,64,False,16,64,2,32,4,1,0.82186168996807,8,32,RS,True,True,16,False,8,True,1,22,1,4,10,512,2,32,0.8289553,6,True,0.011445090170461745,True,0.8360489100319299
9,2,128,False,1,4,32,8,1,24,0.716233658893507,32,64,RS,False,True,3,True,64,True,28,1,32,2,10,32,16,16,0.7272620000000001,1,False,0.017793529363226396,True,0.7382903411064932
10,2,1024,False,1,4,8,32,128,14,0.8050719840426955,256,64,RS,False,False,8,False,512,True,1,27,32,16,10,1,2,2,0.8114166999999999,1,True,0.010236797048393614,True,0.8177614159573042
11,32,128,False,16,128,32,4,1024,23,0.27259118117550163,1,32,RS,True,False,1,False,128,True,3,1,256,4,10,16,4,16,0.2775558,5,True,0.008010097799652631,True,0.2825204188244984
12,1,128,False,4,8,1,128,256,1,0.7486659157636912,2,2,RS,True,False,2,True,1024,True,1,30,8,16,10,128,4,1,0.7588761,26,True,0.01647348511062549,True,0.7690862842363089
13,1,256,False,1,1,128,16,1024,8,1.5159715531364395,256,2,RS,False,True,1,True,256,False,1,18,4,1,10,2048,32,8,1.5163109999999997,5,False,0.0005476759991089441,True,1.51665044686356
14,2,1024,False,16,2,64,128,1,4,1.8656698482071585,256,2,RS,False,True,19,False,1024,False,1,23,64,32,10,256,16,2,1.865703,1,False,5.348831648123423e-05,True,1.8657361517928412
15,32,1,False,1,32,32,256,64,4,inf,16,1,RS,False,True,1,True,256,False,1,3,1024,2,1,512,1,1,inf,14,False,inf,False,inf
16,4,2048,False,1,128,2,128,1,17,0.7783709247188051,4,4,RS,True,False,1,False,256,False,4,1,128,16,10,128,1,4,0.7872925,7,True,0.014394396237772512,True,0.7962140752811948
17,8,128,False,16,4,32,32,512,1,0.11888043479780565,2,1,RS,True,False,5,True,32,True,6,1,1,4,10,1,16,2,0.1266273,19,True,0.012499075982247644,True,0.13437416520219433
18,16,1024,False,16,4,16,2,64,1,inf,4,256,RS,False,False,21,True,1024,False,1,27,1,8,1,16,2,16,inf,4,False,inf,False,inf
19,1,256,False,4,512,64,2048,128,8,1.0596182511381809,128,8,RS,True,False,1,True,2048,True,11,1,2048,32,10,1,8,4,1.0616180000000002,13,False,0.0032264680379635226,True,1.0636177488618195
20,32,2048,False,16,1,32,8,32,9,0.45254351358800216,16,2,RS,True,False,10,True,64,True,1,20,4,32,10,512,8,16,0.46333910000000006,1,True,0.017417994416407425,True,0.47413468641199796
21,16,64,False,2,512,1,8,32,1,1.010969296033589,16,32,RS,True,False,17,False,64,False,7,1,2048,32,10,16,32,4,1.011145,3,False,0.00028348721311553175,True,1.011320703966411
22,16,2048,False,4,1,2,1,128,1,inf,32,2048,RS,True,False,2,False,64,False,7,1,1,8,1,2,2,2,inf,26,True,inf,False,inf
23,8,4,False,8,2,4,32,32,1,1.521918254774374,16,4,RS,True,True,3,True,1024,True,1,15,1024,16,10,1024,4,32,1.5258489999999998,27,True,0.006342008278140292,True,1.5297797452256257
24,8,2048,False,16,8,128,1,512,2,0.6039358189395259,256,256,RS,True,True,23,False,512,False,1,9,1,1,10,64,2,1,0.6205321,1,True,0.02677704756484554,True,0.6371283810604742
