id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,128,512,512,inf,32,1,64,32,RS,True,False,False,True,True,21,1,1,inf,inf,25,1,15,False,inf,1
2,1024,128,2048,0.11618784104645477,8,256,1,256,RS,True,True,False,False,False,30,1,35,0.11643010181068805,0.0003656276392892703,26,19,1,True,0.11630897142857141,8
3,1,2048,128,inf,32,32,32,128,RS,False,True,True,True,True,10,1,1,inf,inf,15,15,1,False,inf,1
4,1,1024,64,0.20953525642169432,1,32,16,128,RS,False,True,True,True,True,14,8,35,0.20964348643544858,0.00016334417401203633,26,18,1,True,0.20958937142857145,1
5,128,128,128,0.2724749323624337,8,1,128,1,RS,False,True,True,True,True,28,1,35,0.2730658104947091,0.0008917720428038395,1,16,28,True,0.2727703714285714,1
6,512,512,2048,0.123279566541423,1,32,64,16,RS,False,False,True,False,False,12,8,35,0.12330774774429124,4.25319663696058e-05,16,1,12,True,0.12329365714285712,1
7,1024,512,1,0.1713349202444747,8,32,128,32,RS,False,False,True,False,False,21,8,35,0.17158947975552533,0.0003841892985793003,1,23,28,True,0.1714622,1
8,1,2048,128,0.13797331524265524,1,32,128,1,RS,True,True,True,False,False,11,8,35,0.13801285618591616,5.967644734186775e-05,1,6,24,True,0.1379930857142857,1
9,64,128,256,0.20070878327644737,1,16,1,64,RS,False,False,False,False,False,4,32,35,0.20073784529498123,4.38613213458512e-05,16,15,1,True,0.2007233142857143,1
10,2048,1,2048,0.25398626436815575,8,512,256,32,RS,False,True,False,True,False,6,8,35,0.25404962134612996,9.562036329961738e-05,22,24,1,True,0.25401794285714285,1
11,512,1,128,0.09498334530619276,1,64,16,512,RS,True,True,False,True,True,8,1,35,0.09501273469380725,4.4355397159114696e-05,5,1,16,True,0.09499804,8
12,1024,1,256,0.15090090654972366,8,16,128,512,RS,True,True,True,True,True,21,8,35,0.15093343630741918,4.909494341974212e-05,1,17,12,True,0.15091717142857142,1
13,1,1024,512,0.1635864629991162,1,32,64,16,RS,True,True,False,False,False,5,1,35,0.16367033700088376,0.00012658530720427246,21,1,18,True,0.16362839999999998,1
14,2048,256,256,0.19725626195676196,8,16,16,256,RS,False,True,True,False,True,15,1,35,0.1972876237575237,4.733222572240793e-05,13,6,1,True,0.19727194285714283,1
15,1024,1024,64,0.2149311022834844,1,16,128,64,RS,False,False,True,True,True,13,1,35,0.21497621200222988,6.808102016070492e-05,1,15,26,True,0.21495365714285714,1
16,256,1024,1,0.13286518941664616,8,128,64,16,RS,True,False,False,True,False,16,1,35,0.13289161058335386,3.9875663899533324e-05,1,27,22,True,0.1328784,8
17,2048,1024,2048,0.10868403645098382,8,32,16,32,RS,False,True,False,False,True,3,1,35,0.10874876354901619,9.768819200467875e-05,6,8,1,True,0.1087164,8
18,1,256,512,0.1480578183470883,1,16,128,16,RS,False,False,False,True,False,28,1,35,0.14809023879576888,4.89299707829091e-05,19,1,27,True,0.1480740285714286,8
19,2048,512,1024,0.11241138857953491,1,512,32,512,RS,False,False,False,True,True,26,1,35,0.11245569713475083,6.68718787179286e-05,13,9,1,True,0.11243354285714287,8
20,2048,256,1,0.20513954697521444,32,64,16,256,RS,True,True,False,True,False,4,1,35,0.20518211016764268,6.423772176812609e-05,1,4,3,True,0.20516082857142856,1
21,256,512,2048,inf,1,1,1,16,RS,True,True,True,True,True,26,32,1,inf,inf,21,1,30,False,inf,1
22,2048,256,512,0.1366973398129393,1,256,32,128,RS,False,True,False,False,False,13,1,35,0.13673003161563213,4.9339506876090535e-05,1,29,10,True,0.13671368571428572,1
23,128,128,1024,0.11672833523558634,8,16,1,32,RS,True,False,False,True,False,2,1,35,0.11675555047869934,4.107410922928791e-05,20,1,4,True,0.11674194285714284,8
24,64,1024,64,0.17649873510257863,8,64,512,32,RS,False,False,True,False,True,20,1,35,0.17662389346885,0.00018889298125485652,1,15,27,True,0.1765613142857143,1
25,2048,1024,1024,0.17484958279277912,8,256,32,256,RS,False,False,False,True,False,2,8,35,0.17511761720722097,0.0004045260507239135,1,25,27,True,0.17498360000000004,1
26,1,1024,512,inf,32,512,256,512,RS,True,False,False,True,True,14,1,1,inf,inf,8,1,28,False,inf,1
27,128,1024,1024,0.22693982007681038,1,1,16,64,RS,True,False,False,False,True,30,8,35,0.2270866942089039,0.00022166710470009497,25,9,1,True,0.22701325714285714,1
28,1024,1024,1,0.09835898591910402,1,1,1,128,RS,True,False,True,True,True,23,8,35,0.09838182550946742,3.447023513415712e-05,11,28,1,True,0.09837040571428572,8
29,256,256,256,0.19347742429212184,1,256,64,256,RS,False,False,False,False,False,25,32,35,0.1934958899935924,2.786902310773837e-05,27,29,1,True,0.19348665714285712,1
30,1,256,2048,0.1478128318212205,8,16,32,128,RS,False,False,False,False,False,9,1,35,0.14787265389306523,9.028537070458946e-05,18,1,15,True,0.14784274285714286,1
31,256,64,64,0.09414444020750425,1,64,16,128,RS,False,True,True,True,False,14,1,35,0.09427494836392435,0.00019696705445016824,4,14,1,True,0.0942096942857143,8
32,1,2048,256,0.11672974800467364,1,16,32,1,RS,False,True,False,True,True,10,8,35,0.11675328056675494,3.5516090058750486e-05,20,1,23,True,0.11674151428571429,8
33,1,2048,256,0.12327687832512946,8,64,32,16,RS,True,False,True,True,True,5,1,35,0.12332066453201343,6.608353402616812e-05,1,11,29,True,0.12329877142857144,8
34,128,512,512,0.12614906232577106,1,128,512,32,RS,True,True,False,True,False,28,8,35,0.12619733767422892,7.285868905922254e-05,23,1,27,True,0.12617319999999999,8
35,1,1,256,0.20776230728719575,1,128,256,256,RS,True,False,False,False,True,14,8,35,0.20778934985566144,4.081350316765881e-05,2,12,1,True,0.2077758285714286,1
36,1024,512,1024,0.10421103342829219,1,32,128,1,RS,False,True,True,True,False,26,8,35,0.10423193800027922,3.154984394670218e-05,20,19,1,True,0.1042214857142857,8
37,128,2048,1024,0.1443901171294981,32,1,128,128,RS,False,True,False,False,False,19,1,35,0.14441371144193052,3.560928564981004e-05,1,19,19,True,0.1444019142857143,1
38,512,1,1,0.16059741223038818,1,32,256,128,RS,False,False,False,False,False,12,32,35,0.1606699591981832,0.00010949018780005078,16,1,20,True,0.16063368571428568,1
39,2048,512,2048,0.17991979617816864,1,64,512,256,RS,True,False,True,False,False,26,32,35,0.18039848953611706,0.0007224592185369189,12,1,29,True,0.18015914285714285,1
40,1,128,1024,0.1604268074130653,8,64,32,1,RS,True,False,False,True,False,14,1,35,0.1604934783012204,0.00010062182179034623,18,1,27,True,0.16046014285714286,1
41,64,2048,512,0.11478791389791278,1,32,512,16,RS,True,True,False,True,False,6,8,35,0.11492231467351575,0.00020284191894584465,27,20,1,True,0.11485511428571427,8
42,1,512,128,0.10785263845336933,1,128,512,512,RS,False,False,True,True,True,25,1,35,0.10787079011805921,2.7395068824851713e-05,1,28,8,True,0.10786171428571427,8
43,512,64,1,0.09523884665196944,1,16,32,256,RS,True,True,True,True,False,13,1,35,0.09525834191945914,2.9422876841544384e-05,1,4,18,True,0.09524859428571429,8
44,512,1024,512,0.2063343432808329,8,1,128,1,RS,True,False,False,True,True,21,8,35,0.20638114243345285,7.063076741847305e-05,28,14,1,True,0.20635774285714287,1
45,1024,1,512,0.2568734654214093,8,1,1,16,RS,False,True,False,False,True,26,1,35,0.25694413457859067,0.00010665613638497944,6,1,25,True,0.2569088,1
46,256,1024,256,0.0950639350377527,1,64,256,64,RS,True,False,True,True,False,9,1,35,0.09508310496224731,2.893185886082869e-05,20,19,1,True,0.09507352000000001,8
47,128,512,256,0.21344698115609217,8,128,256,64,RS,False,False,False,True,False,19,1,35,0.21373827598676498,0.00043963140962234354,25,1,28,True,0.21359262857142858,1
48,1,512,128,0.14981115064461237,1,16,64,128,RS,True,True,True,False,True,27,8,35,0.1499100493553876,0.00014926107520525617,21,1,7,True,0.14986059999999998,1
49,128,128,128,0.13612158832397506,8,16,1,32,RS,True,True,False,False,False,22,1,35,0.1361458402474535,3.6601773125334346e-05,29,1,3,True,0.13613371428571427,1
50,1024,256,1,0.20343665740614109,1,1,16,256,RS,False,False,True,True,True,25,8,35,0.20356997116528747,0.00020120135918719553,16,6,1,True,0.20350331428571428,1
51,2048,1,64,inf,32,32,1,128,RS,True,True,False,True,True,2,1,1,inf,inf,18,3,1,False,inf,1
52,256,1,64,0.10089491480979289,8,64,512,16,RS,False,False,True,True,True,1,1,35,0.10091657090449284,3.268406589250024e-05,24,20,1,True,0.10090574285714286,8
53,2048,64,2048,0.27888472822368227,1,1,1,128,RS,False,False,True,True,True,20,1,35,0.2789663574906034,0.00012319748208399815,6,23,1,True,0.2789255428571428,32
54,128,1,2048,0.14699632418931155,1,256,512,1,RS,False,False,False,True,True,29,8,35,0.1470417900964027,6.861859092409386e-05,1,17,19,True,0.14701905714285712,1
55,256,512,128,0.09206825629618581,8,1,512,128,RS,True,False,True,False,True,12,1,35,0.09212753227524278,8.946119012608565e-05,28,1,15,True,0.0920978942857143,8
56,1,64,256,0.10173911172867499,1,1,16,128,RS,False,False,True,True,True,27,1,35,0.10176111684275359,3.321081702317597e-05,1,4,12,True,0.10175011428571429,8
57,1024,1,128,0.23548996836184144,8,16,32,256,RS,False,False,False,True,True,2,8,35,0.23566060306672998,0.00025752731576930997,19,1,30,True,0.2355752857142857,1
58,1,512,64,0.1957258291862981,32,32,256,32,RS,True,False,False,False,False,2,1,35,0.19575897081370186,5.001839661564546e-05,6,29,1,True,0.19574239999999998,1
59,1024,2048,512,0.2438881842160704,1,64,64,256,RS,True,False,True,True,False,1,1,35,0.2441766729267868,0.0004353963242652331,1,1,26,True,0.2440324285714286,32
60,1024,2048,512,0.13426070162147843,1,128,512,256,RS,False,False,False,True,False,6,1,35,0.13449581266423585,0.00035483705257138804,1,28,7,True,0.13437825714285714,8
61,512,512,128,0.17865048468612182,8,64,256,16,RS,False,True,True,True,False,1,1,35,0.1787899153138781,0.00021043313155761205,1,28,17,True,0.17872019999999997,1
62,2048,2048,512,0.18932911156202792,1,1,128,64,RS,True,False,False,True,False,14,1,35,0.1893900312951149,9.194199591179552e-05,1,26,15,True,0.1893595714285714,1
63,256,1024,64,0.09157701637042055,8,1,256,32,RS,True,True,True,True,False,14,1,35,0.09159809220100802,3.18083128654588e-05,16,1,12,True,0.09158755428571429,8
64,1024,512,128,0.09832885565437718,1,16,128,64,RS,True,True,True,False,True,3,8,35,0.0983849386313371,8.46422099553308e-05,25,11,1,True,0.09835689714285714,8
65,2048,2048,2048,0.1206456903468378,1,256,512,128,RS,True,False,False,True,False,8,8,35,0.12068985251030502,6.665093964155262e-05,8,21,1,True,0.12066777142857141,8
66,1024,256,256,0.19658319935374702,8,32,16,128,RS,True,False,True,True,True,16,1,35,0.19665480064625296,0.00010806294462025539,1,14,17,True,0.196619,1
67,64,2048,128,0.19304078623760546,1,128,512,1,RS,False,False,True,True,False,12,1,35,0.1930718994766803,4.695708853054449e-05,6,24,1,True,0.19305634285714288,1
68,64,512,256,0.12550440264550836,1,1,512,64,RS,True,False,False,True,False,27,1,35,0.12561542592592026,0.00016755986076257847,30,9,1,True,0.1255599142857143,8
69,256,1,1024,0.10524291761320932,1,1,32,256,RS,False,True,True,True,True,26,8,35,0.1053320538153621,0.00013452718714680823,24,11,1,True,0.10528748571428571,8
70,1024,256,1024,0.14330210542811544,8,512,64,64,RS,False,False,False,False,False,24,1,35,0.14346806600045592,0.00025047296648296187,10,1,21,True,0.14338508571428568,1
71,2048,128,2048,0.3411501271773814,8,32,128,16,RS,False,False,True,False,True,16,1,35,0.34129798710833276,0.0002231549036440964,1,20,30,True,0.3412240571428571,1
72,128,1,2048,0.15479684398489768,1,32,128,128,RS,True,False,True,True,True,20,8,35,0.15483355601510224,5.54069619142887e-05,1,29,14,True,0.15481519999999996,1
73,64,1,128,0.14488169646723106,1,1,16,1,RS,True,False,False,False,False,10,1,35,0.14497716067562608,0.00014407761513737517,1,15,17,True,0.14492942857142857,1
74,256,128,2048,inf,1,512,32,16,RS,False,True,False,True,True,30,32,1,inf,inf,3,1,3,False,inf,1
75,512,64,256,0.17698223417891512,1,1,1,32,RS,False,True,True,True,False,13,1,35,0.1770369658210849,8.260273257327261e-05,8,15,1,True,0.17700960000000002,1
76,2048,128,1,0.1215065541440898,1,256,32,512,RS,False,True,False,False,False,1,8,35,0.12156287442733875,8.500036014329467e-05,8,1,21,True,0.12153471428571427,1
77,128,2048,2048,0.11060791644160473,1,256,1,64,RS,False,True,True,True,False,16,8,35,0.11067562641553813,0.00010219004304705694,7,13,1,True,0.11064177142857143,8
78,128,64,1024,0.16612274640533284,1,16,64,1,RS,True,False,True,True,True,17,8,35,0.16614645359466715,3.5779643054994044e-05,1,29,9,True,0.1661346,1
79,2048,1,512,0.258854081507086,8,16,16,1,RS,False,True,False,True,True,15,8,35,0.25891300420719976,8.892801032525159e-05,1,5,17,True,0.2588835428571429,1
80,1,2048,128,0.17465038568112692,1,64,256,64,RS,False,True,True,False,False,25,1,35,0.1747861286045874,0.00020486753111736077,22,6,1,True,0.17471825714285716,1
81,1024,256,1,0.23489641935518557,1,32,1,64,RS,False,True,False,True,True,15,1,35,0.23546535207338581,0.0008586513269217567,12,1,19,True,0.2351808857142857,32
82,2048,64,1,0.08871807627643562,8,1,16,512,RS,True,True,True,False,False,30,1,35,0.08873950658070724,3.234329580722145e-05,1,4,30,True,0.08872879142857143,8
83,128,512,256,0.12643995743461245,8,32,128,128,RS,False,True,False,True,False,24,8,35,0.12647449970824465,5.213229638650828e-05,24,1,8,True,0.12645722857142855,1
84,256,512,256,0.2838073342074865,1,128,32,16,RS,True,False,True,False,True,21,32,35,0.2838974657925135,0.00013602945059277213,27,1,16,True,0.2838524,1
85,1024,512,64,0.3031054881163689,1,32,512,32,RS,True,True,False,True,False,25,1,35,0.30326268331220246,0.00023724398188104724,1,20,20,True,0.3031840857142857,32
86,128,2048,1,0.156526743834789,1,512,32,64,RS,False,True,False,False,True,6,1,35,0.15680337045092527,0.0004174936743991046,1,20,22,True,0.15666505714285714,1
87,256,1,512,inf,32,128,128,64,RS,True,False,False,True,True,7,1,1,inf,inf,15,1,10,False,inf,1
88,512,128,1,0.10089077264789509,1,128,32,16,RS,True,False,True,False,False,26,8,35,0.1009076273521049,2.5437654878433963e-05,18,1,15,True,0.1008992,8
89,1,256,2048,0.11622983434564839,1,128,32,256,RS,False,False,False,True,True,11,1,35,0.11626090851149447,4.6898117972768446e-05,26,21,1,True,0.11624537142857143,8
90,1024,1,1,0.16106997983998697,1,16,16,512,RS,True,True,True,True,True,6,8,35,0.16133979158858444,0.00040720845987763846,16,1,8,True,0.1612048857142857,1
91,1,1,2048,0.10929263827630012,1,128,1,128,RS,False,False,False,True,True,10,1,35,0.10931719029512846,3.7054686558091406e-05,2,10,1,True,0.10930491428571429,8
92,2048,1,256,0.17731704997104497,1,128,128,1,RS,True,True,True,True,True,27,1,35,0.1773654071718122,7.298222316399804e-05,26,1,2,True,0.1773412285714286,1
93,256,128,1,0.1178502190456213,1,512,64,16,RS,True,True,False,False,False,13,1,35,0.11796389524009297,0.00017156372291486462,25,1,25,True,0.11790705714285714,8
94,1024,2048,1,0.2716223444395145,8,64,1,32,RS,False,True,False,False,True,10,8,35,0.27164005556048565,2.6730186253427625e-05,10,19,1,True,0.2716312000000001,1
95,1,512,512,0.09602781388649352,1,512,256,64,RS,False,True,True,True,True,10,1,35,0.09605070611350648,3.454967603734838e-05,1,2,18,True,0.09603926,8
96,1,2048,1024,0.09534459970898486,1,16,32,128,RS,True,True,False,False,True,10,8,35,0.09537416600530084,4.462239338983008e-05,7,29,1,True,0.09535938285714285,8
97,512,1,1024,0.1235101328808724,8,32,128,64,RS,True,False,True,True,False,2,8,35,0.12366369569055619,0.00023176186934358514,1,1,11,True,0.12358691428571429,1
98,1,256,1,0.08706825372874707,1,1,64,512,RS,False,False,True,False,False,28,8,35,0.08709151769982434,3.5110723985351786e-05,12,21,1,True,0.08707988571428571,8
99,128,1,64,0.10055752734037099,1,32,64,1,RS,True,True,False,True,True,1,8,35,0.10058367265962903,3.945934616792332e-05,1,15,1,True,0.10057060000000001,8
100,1,1024,2048,inf,32,1,1,1,RS,True,True,False,True,False,18,1,1,inf,inf,1,19,7,False,inf,1
