id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,512,512,1,32,1.5997385305082934,False,DLMT,1,28,256,35,512,1,27,1,32,0.0001458721833577214,1.599786857142857,True,1,64,64,1.5998351837774207,256
2,64,512,32,1,1.1278117485011896,False,DLMT,11,1,256,35,2048,2,1,8,8,6.285324663249636e-05,1.1278325714285717,True,32,1,64,1.1278533943559539,256
3,16,2048,1,8,1.4778041217421563,False,DLMT,1,17,1024,35,64,1,13,1,8,8.673675867891553e-05,1.4778328571428572,True,16,64,1,1.477861592543558,1
4,1,512,1,8,1.5168691486803825,False,DLMT,17,1,1,35,1,29,1,1,32,0.0001207209634670288,1.5169091428571428,True,256,64,32,1.5169491370339032,256
5,128,128,32,1,1.4830436706681984,False,DLMT,3,1,2048,35,2048,1,17,1,8,0.00023384697595493613,1.4831211428571427,True,1,256,1,1.483198615046087,1024
6,128,512,8,1,1.495555404708408,False,DLMT,24,1,2048,35,1,14,1,1,32,0.00010873671628934419,1.4955914285714285,True,512,64,32,1.4956274524344488,1024
7,16,1,1,1,1.4608663786386789,False,DLMT,29,1,512,35,256,1,2,1,8,4.542767294707918e-05,1.4608814285714287,True,512,1,1,1.4608964785041785,512
8,1,128,1,32,1.607471427727374,False,DLMT,25,1,2048,35,1,1,23,32,1,9.745579845786185e-05,1.6075037142857143,True,16,512,1,1.6075360008440545,1024
9,1,1,32,1,1.4940274108555514,False,DLMT,1,8,512,35,1,14,1,8,1,8.543287136813286e-05,1.494055714285714,True,512,128,512,1.4940840177158767,1
10,256,512,1,8,1.4887129593743131,False,DLMT,29,1,1024,35,2048,1,11,1,1,7.47217969455805e-05,1.4887377142857143,True,1,64,512,1.4887624691971155,1
11,64,64,1,32,1.5781926506104882,False,DLMT,1,19,1,35,1,1,16,1,32,0.00011877469668000077,1.5782319999999999,True,16,1,64,1.5782713493895115,512
12,256,1,1,8,1.505533793662182,False,DLMT,30,1,128,35,512,19,1,8,8,3.4257130942449945e-05,1.5055451428571427,True,32,512,64,1.5055564920521034,1024
13,1,2048,8,8,1.4774706057545506,False,DLMT,1,1,1,35,64,1,3,32,1,6.457774937458437e-05,1.4774919999999998,True,1,128,64,1.477513394245449,2048
14,1,1024,8,1,1.8210074212706446,False,DLMT,1,1,2048,35,256,30,1,1,32,9.402561526804517e-05,1.8210385714285713,True,16,16,512,1.821069721586498,64
15,512,128,32,1,1.4984906391345079,False,DLMT,1,20,256,35,512,1,14,1,32,0.00012225900910004808,1.4985311428571428,True,256,64,64,1.4985716465797778,1
16,1,1,1,32,1.5576628562450692,False,DLMT,9,1,1024,35,2048,10,1,1,32,0.0002595905724523132,1.5577488571428573,True,16,32,256,1.5578348580406454,2048
17,512,2048,8,8,1.4839620624788121,False,DLMT,1,4,256,35,1,9,1,8,1,6.0180680336090974e-05,1.483982,True,128,512,1,1.4840019375211877,512
18,32,64,1,1,1.4729174515323389,False,DLMT,1,30,256,35,1,21,1,1,1,7.841074478639987e-05,1.4729434285714285,True,64,512,16,1.472969405610518,1
19,32,1,8,8,1.4784834637020365,False,DLMT,1,29,1,35,64,1,22,8,8,4.9914212118670085e-05,1.4785000000000001,True,1,32,512,1.4785165362979638,1024
20,512,1024,1,1,1.482959138018826,False,DLMT,22,1,2048,35,1,1,2,32,1,7.245772870426513e-05,1.4829831428571427,True,64,16,512,1.4830071476954594,1
21,256,1,1,8,1.4975107284392621,False,DLMT,1,1,2048,35,1024,30,1,8,1,4.868390338686011e-05,1.497526857142857,True,512,32,32,1.497542985846452,2048
22,32,512,1,32,1.6141046302872297,False,DLMT,1,26,1,35,1024,1,19,1,1,0.0001843798209331601,1.6141657142857142,True,512,512,512,1.6142267982841987,1
23,32,1,32,1,1.504977030200119,False,DLMT,12,1,2048,35,256,1,27,1,1,7.364559368615296e-05,1.5050014285714286,True,32,1,64,1.5050258269427381,1
24,64,1,1,1,1.4820560732709325,False,DLMT,1,16,128,35,2048,30,1,32,1,0.00010068175766508511,1.4820894285714286,True,1,128,128,1.4821227838719246,2048
