id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
38,1,512,512,0.26134861928711195,1,32,256,16,RS,True,False,False,False,True,25,32,30,0.26141938071288795,9.887331962330955e-05,0.26138399999999995,1,21,True,12,1
39,256,1,2048,0.20369038166168824,1,128,256,16,RS,False,False,True,False,False,20,8,30,0.20371788500497845,3.8429791684172626e-05,0.20370413333333334,10,1,True,12,1
40,128,256,128,0.09152336306515267,8,64,32,16,RS,True,True,True,False,False,10,1,30,0.09154637693484731,3.21567530491904e-05,0.09153486999999999,5,21,True,1,8
41,64,1024,512,inf,1,256,32,16,RS,True,True,True,True,True,7,32,1,inf,inf,inf,1,27,False,9,1
42,1024,256,256,0.25351883326402924,8,1,256,128,RS,False,True,False,False,False,15,1,30,0.25354356673597067,3.4559513885470024e-05,0.25353119999999996,4,1,True,22,1
43,64,128,128,0.0925495221246883,8,32,64,64,RS,False,False,True,True,False,28,1,30,0.09257315787531169,3.302569302830618e-05,0.09256133999999999,1,30,True,5,8
44,512,256,512,inf,32,64,32,1,RS,True,False,True,True,True,18,1,1,inf,inf,inf,24,20,False,1,1
45,256,1024,1024,0.16317216066550208,1,512,256,256,RS,True,False,False,False,True,24,1,30,0.16328543933449793,0.00015828168982334474,0.1632288,1,29,True,26,1
46,1,1,512,0.1321487452586703,8,256,256,16,RS,True,False,False,True,False,9,1,30,0.13217545474132972,3.732054840611399e-05,0.1321621,1,14,True,18,1
47,64,2048,256,0.11584689534371743,1,32,128,32,RS,False,False,False,True,True,11,1,30,0.11587650465628256,4.1372414320010974e-05,0.1158617,19,1,True,4,8
48,64,1024,512,0.2861349478208169,1,64,512,64,RS,False,False,False,False,False,28,1,30,0.2862843855125164,0.00020880586411518715,0.28620966666666664,30,15,True,1,32
49,2048,1024,128,0.24434103376295135,1,1,256,128,RS,False,True,True,False,False,4,1,30,0.24524569957038195,0.0012640688136156032,0.24479336666666665,18,29,True,1,1
50,512,1024,64,0.10356013545016815,1,32,256,512,RS,True,True,False,True,False,9,8,30,0.10373439788316513,0.00024349290658159947,0.10364726666666664,14,13,True,1,8
51,1,2048,64,0.13380772450626083,32,16,512,16,RS,True,True,False,False,False,10,1,30,0.13383107549373918,3.262780000756122e-05,0.1338194,14,15,True,1,1
52,64,256,2048,0.19790280660186574,8,256,128,32,RS,True,False,True,False,True,17,1,30,0.19793052673146752,3.8732702232377724e-05,0.19791666666666663,1,1,True,20,1
53,1024,64,2048,0.2708152906953176,1,256,32,128,RS,True,True,False,True,False,12,1,30,0.2708797093046824,9.001064751832017e-05,0.2708475,6,1,True,9,32
54,1,128,512,0.19900835047028378,1,512,128,64,RS,False,False,True,False,False,8,32,30,0.19904064952971626,4.5130736015861807e-05,0.19902450000000002,3,1,True,23,1
55,512,512,1,0.17451584440951062,8,256,64,64,RS,False,False,True,True,False,13,1,30,0.17453882225715606,3.210642026483369e-05,0.17452733333333334,8,1,True,2,1
56,512,128,2048,0.1978262185627777,8,512,128,32,RS,True,True,False,False,True,5,1,30,0.1978576481038889,4.3915777979619646e-05,0.1978419333333333,5,1,True,25,1
57,1024,512,128,0.17126298756002736,1,128,64,512,RS,True,True,True,True,False,25,1,30,0.17128607910663932,3.2265289226797714e-05,0.17127453333333334,3,1,True,20,1
58,2048,512,1,inf,1,1,256,16,RS,True,True,False,True,True,6,32,1,inf,inf,inf,17,17,False,1,1
59,64,256,1024,0.10299213750067025,1,128,1,64,RS,False,True,True,False,False,23,1,30,0.10301199583266309,2.7747592488157786e-05,0.10300206666666667,30,30,True,1,8
60,64,1,256,0.1298884788197287,8,1,512,32,RS,False,True,False,False,False,3,1,30,0.12994705451360467,8.184647552311156e-05,0.12991776666666668,14,22,True,1,1
61,1,512,2048,0.20212244773673044,1,256,256,256,RS,False,False,False,False,False,14,32,30,0.20233908559660285,0.00030270312005146067,0.20223076666666664,25,1,True,8,1
62,64,1024,512,inf,32,256,16,64,RS,False,True,True,True,True,2,1,1,inf,inf,inf,22,17,False,1,1
63,1,1024,1,0.11983508339436266,1,128,64,32,RS,True,False,True,False,True,29,1,30,0.1198582499389707,3.237008220907312e-05,0.11984666666666668,1,19,True,29,8
64,128,1024,64,0.1262829550581486,1,1,1,64,RS,True,False,True,True,False,1,8,30,0.12631537827518471,4.530421859189343e-05,0.12629916666666666,6,12,True,1,1
