id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,256,1,512,1,16,inf,1,16,DLMT,inf,False,True,True,inf,False,inf,False
2,128,10,16,1,2,0.3890458,10,1,DLMT,0.3889975850453272,True,False,False,7.77917733439664e-05,False,0.3890940149546728,False
3,2048,10,16,1,1,0.5539812,1,12,DLMT,0.5539244423397134,True,False,True,9.157488738732036e-05,False,0.5540379576602865,False
4,64,10,1,32,4,0.4630734,1,1,DLMT,0.46300835328647716,True,False,True,0.00010494874939702581,False,0.4631384467135229,False
5,256,10,64,4,32,1.023851,30,1,DLMT,1.0238230816906904,True,False,False,4.5044422518202904e-05,True,1.0238789183093098,False
6,8,10,8,16,16,0.2281059,1,21,DLMT,0.2280873693723117,True,False,True,2.9897993243697893e-05,True,0.2281244306276883,False
7,1,1,4,4,2,inf,1,14,DLMT,inf,False,True,True,inf,True,inf,False
8,8,1,1,16,2,inf,1,13,DLMT,inf,False,True,False,inf,True,inf,False
9,32,10,2048,2,8,0.8043351,1,5,DLMT,0.8043041220887318,True,False,False,4.9980896350488976e-05,False,0.8043660779112681,False
10,1024,10,4,32,16,0.2138197,1,29,DLMT,0.21364793354902548,True,False,True,0.0002771342815315345,True,0.21399146645097453,False
11,1,1,1,1,8,inf,8,1,DLMT,inf,False,True,False,inf,True,inf,False
12,256,10,256,4,1,0.2066718,1,1,DLMT,0.2066304890918782,True,False,True,6.66525318348879e-05,True,0.20671311090812178,False
13,2048,1,1024,8,32,inf,7,1,DLMT,inf,False,True,True,inf,True,inf,False
14,2048,1,4,1,32,inf,1,1,DLMT,inf,False,True,False,inf,False,inf,False
15,8,10,128,1,4,0.28636809999999996,1,30,DLMT,0.28625747068405394,True,False,True,0.00017849338923332352,True,0.286478729315946,False
16,2048,1,128,4,8,inf,22,1,DLMT,inf,False,True,True,inf,False,inf,False
17,256,1,1,8,32,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
18,4,1,16,32,32,inf,7,1,DLMT,inf,False,True,True,inf,False,inf,False
19,2,10,2,1,32,0.20275210000000002,19,1,DLMT,0.20273357766629668,True,False,True,2.9884611424613512e-05,True,0.20277062233370335,False
20,1,1,1024,16,1,inf,23,1,DLMT,inf,False,True,False,inf,False,inf,False
21,2048,10,2048,2,32,0.7901199999999999,1,24,DLMT,0.7900059240345164,True,False,False,0.0001840543398021512,False,0.7902340759654835,False
22,64,1,2048,32,2,inf,25,1,DLMT,inf,False,True,False,inf,True,inf,False
23,1,10,2048,8,4,0.21184130000000004,30,1,DLMT,0.21175937488868612,True,False,True,0.00013218097442521586,False,0.21192322511131395,False
24,4,1,1,2,1,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
25,2048,10,512,32,2,0.42024169999999994,1,22,DLMT,0.4202105988236153,True,False,False,5.017977680300819e-05,False,0.4202728011763846,False
26,1,10,256,32,32,0.9895939,1,9,DLMT,0.9894891321056303,True,False,False,0.0001690363570360108,True,0.9896986678943698,False
27,1,10,1,1,1,0.20312960000000002,1,1,DLMT,0.20309559566982188,True,False,False,5.486383143747574e-05,False,0.20316360433017816,True
28,2048,1,2048,1,1,inf,1,23,DLMT,inf,False,True,False,inf,False,inf,False
29,256,10,2048,32,1,1.023511,1,8,DLMT,1.0233116908393503,True,False,True,0.00032157269784607016,True,1.0237103091606499,False
30,8,10,512,2,1,1.0114509999999999,21,1,DLMT,1.010930413125218,True,False,False,0.000839933925972748,False,1.0119715868747818,False
31,1,10,1,1,2,0.19211119999999998,1,17,DLMT,0.1920786341500129,True,False,False,5.254293482477007e-05,True,0.19214376584998707,False
32,1,10,8,2,32,0.20304249999999996,10,1,DLMT,0.2030193272073057,True,False,True,3.7387832245264125e-05,True,0.20306567279269422,False
33,32,1,64,32,8,inf,11,1,DLMT,inf,False,True,True,inf,False,inf,False
34,4,10,2,4,16,0.21401789999999998,1,20,DLMT,0.21398205735456266,True,False,True,5.78298365897739e-05,True,0.2140537426454373,False
35,32,10,2048,1,8,1.100723,4,1,DLMT,1.1006792572218693,True,False,False,7.057619995434428e-05,True,1.1007667427781305,False
36,2048,1,128,2,8,inf,1,8,DLMT,inf,False,True,True,inf,True,inf,False
37,2048,1,1024,16,32,inf,22,1,DLMT,inf,False,True,True,inf,True,inf,False
38,1,1,2048,2,2,inf,1,29,DLMT,inf,False,True,True,inf,False,inf,False
39,1,10,1024,8,16,1.0260610000000001,1,12,DLMT,1.0257546249648914,True,False,False,0.0004943167001022801,False,1.0263673750351088,False
40,16,1,1024,16,2,inf,30,1,DLMT,inf,False,True,True,inf,True,inf,False
41,8,10,1,1,32,0.7946009,1,30,DLMT,0.7945442028456244,True,False,False,9.147726493507857e-05,True,0.7946575971543757,False
42,2048,10,16,4,4,0.41552829999999996,1,1,DLMT,0.41548194194175647,True,False,False,7.479578865149271e-05,False,0.41557465805824345,False
43,256,10,1,2,32,0.7867533,1,2,DLMT,0.7867035400307584,True,False,True,8.028455642278197e-05,False,0.7868030599692416,False
44,2048,10,1,16,8,1.013584,14,1,DLMT,1.0134442173253027,True,False,True,0.00022553048574416572,False,1.0137237826746974,False
45,512,1,256,32,32,inf,1,22,DLMT,inf,False,True,False,inf,True,inf,False
46,1,10,64,1,1,0.20465999999999998,3,1,DLMT,0.20463918189768132,True,False,True,3.358868857219483e-05,True,0.20468081810231864,False
47,1,1,2,32,16,inf,1,1,DLMT,inf,False,True,False,inf,True,inf,False
48,32,1,8,1,16,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
49,512,10,4,16,1,0.2077122,1,29,DLMT,0.20768837083557823,True,False,True,3.8446846424646814e-05,True,0.2077360291644218,False
50,1024,1,1,4,1,inf,5,1,DLMT,inf,False,True,False,inf,True,inf,False
51,8,1,8,16,2,inf,1,10,DLMT,inf,False,True,False,inf,False,inf,False
52,2048,10,4,32,32,0.37389449999999996,30,1,DLMT,0.3738705334789724,True,False,False,3.8668462601980393e-05,False,0.3739184665210275,False
53,256,1,8,2,4,inf,22,1,DLMT,inf,False,True,False,inf,True,inf,False
54,8,1,2048,1,4,inf,1,19,DLMT,inf,False,True,True,inf,True,inf,False
55,1,1,1024,1,32,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
56,256,1,2048,32,32,inf,1,30,DLMT,inf,False,True,True,inf,True,inf,False
57,1,10,8,4,16,0.2045557,1,1,DLMT,0.20453496871315335,True,False,True,3.3448617310735755e-05,True,0.20457643128684666,False
58,32,1,1,8,1,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
59,1,10,1,1,1,0.2132117,9,1,DLMT,0.21311827155737922,True,False,False,0.00015074087037031554,True,0.21330512844262078,False
60,64,1,16,4,32,inf,10,1,DLMT,inf,False,True,False,inf,True,inf,False
61,2048,10,16,16,1,0.7238529,1,10,DLMT,0.7229253522077436,True,False,True,0.0014965395718122484,True,0.7247804477922565,False
62,1024,1,4,16,8,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
63,256,10,1,16,2,0.20683970000000002,1,15,DLMT,0.20679774848291693,True,False,True,6.76861137900553e-05,True,0.2068816515170831,False
64,1,10,128,32,2,0.22168710000000003,8,1,DLMT,0.22166972262285514,True,False,True,2.803729658864688e-05,False,0.2217044773771449,False
65,2048,10,2,32,2,0.44510260000000007,30,1,DLMT,0.44499716042247045,True,False,False,0.00017012007524098386,True,0.4452080395775297,False
66,1,1,2,2,32,inf,1,23,DLMT,inf,False,True,True,inf,False,inf,False
67,2048,1,256,4,32,inf,1,30,DLMT,inf,False,True,False,inf,True,inf,False
68,1,1,128,32,1,inf,19,1,DLMT,inf,False,True,False,inf,True,inf,False
69,2048,1,2048,8,32,inf,1,1,DLMT,inf,False,True,True,inf,True,inf,False
70,2048,1,1,16,8,inf,14,1,DLMT,inf,False,True,False,inf,True,inf,False
71,1,1,2048,8,2,inf,1,6,DLMT,inf,False,True,False,inf,False,inf,False
72,1024,1,64,1,2,inf,1,2,DLMT,inf,False,True,False,inf,False,inf,False
73,8,10,1,32,16,0.730931,1,5,DLMT,0.7308943502456865,True,False,False,5.91320556043816e-05,False,0.7309676497543135,False
74,512,10,2048,2,8,0.7398928,30,1,DLMT,0.7398236442046048,True,False,False,0.00011157849255120137,True,0.7399619557953953,False
75,256,10,256,16,8,1.0050780000000001,19,1,DLMT,1.0043045921520284,True,False,True,0.0012478445415996357,False,1.005851407847972,False
76,8,10,4,1,32,0.7548667,23,1,DLMT,0.7548235905487192,True,False,False,6.955436722450178e-05,False,0.7549098094512808,False
77,2048,10,2048,2,1,0.46265999999999996,18,1,DLMT,0.4622748065872255,True,False,False,0.0006214851567012719,False,0.46304519341277445,False
78,4,10,512,16,1,0.7575586999999999,1,26,DLMT,0.7574269717406567,True,False,False,0.00021253519708510287,False,0.7576904282593432,False
79,512,1,2048,32,16,inf,1,19,DLMT,inf,False,True,False,inf,False,inf,False
80,2048,1,256,1,1,inf,1,1,DLMT,inf,False,True,True,inf,True,inf,False
81,4,10,1024,1,16,0.7403866,1,24,DLMT,0.7392011429688999,True,False,True,0.001912659781560744,True,0.7415720570311001,False
82,256,1,4,1,1,inf,11,1,DLMT,inf,False,True,True,inf,False,inf,False
83,2048,1,2048,4,16,inf,8,1,DLMT,inf,False,True,False,inf,True,inf,False
84,2048,1,2,32,16,inf,1,10,DLMT,inf,False,True,False,inf,True,inf,False
85,4,1,4,32,32,inf,16,1,DLMT,inf,False,True,True,inf,False,inf,False
86,64,10,128,8,16,1.0141440000000002,1,7,DLMT,1.0138141059791785,True,False,True,0.0005322630928403622,False,1.0144738940208218,False
87,16,10,1,2,32,0.8265777999999999,1,2,DLMT,0.826383613794974,True,False,True,0.0003133071336563974,False,0.8267719862050258,False
88,1,1,128,1,16,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
89,2048,10,2,8,1,0.20938620000000002,1,21,DLMT,0.209355903749328,True,False,True,4.888108018446497e-05,False,0.20941649625067205,False
90,128,10,1,1,8,0.6974663,29,1,DLMT,0.6970870764911484,True,False,False,0.000611853095113521,False,0.6978455235088515,False
91,32,10,8,8,32,0.2419842,1,29,DLMT,0.24195247908643092,True,False,False,5.1179683469129036e-05,False,0.2420159209135691,False
92,1,10,32,2,1,0.2035882,23,1,DLMT,0.2035704912074865,True,False,False,2.8572014279705277e-05,True,0.2036059087925135,False
93,1,1,1024,2,2,inf,1,12,DLMT,inf,False,True,False,inf,False,inf,False
