id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,256,512,256,32,2.4975619050747184,1,1,4,RS,500,10,True,256,512,256,2,4,1,False,20,1,False,10,0.0010553407032802603,2.498216,True,False,2.498870094925282
2,32,32,4,8,6.560333652369559,32,1,4,RS,500,10,False,512,128,128,1,5,2,False,2,2,False,10,0.00024903011866041056,6.560487999999999,True,False,6.56064234763044
3,2048,512,512,512,7.106581081391155,4,4,16,RS,500,10,False,512,1,128,29,1,2,True,1,1,False,10,0.0003112619475617403,7.106774,True,False,7.106966918608844
4,512,32,2,1,4.064985799430037,32,4,1,RS,500,10,True,1,1,64,2,1,2,False,10,2,False,10,0.0013814253508604582,4.065842,True,False,4.066698200569963
5,128,2048,2048,16,0.43721182551928295,4,8,128,RS,500,10,False,16,64,512,2,9,1,False,5,2,False,10,0.03501427625198041,0.4589135,True,True,0.480615174480717
6,4,2048,4,16,4.9324828533684215,512,4,8,RS,500,10,True,2048,16,2048,1,12,1,False,7,2,False,10,0.0007375771146125107,4.93294,True,False,4.933397146631579
7,2048,64,16,512,6.224639335128584,8,4,1024,RS,500,10,False,256,512,1024,1,1,5,True,8,1,False,10,0.00014466858677687175,6.224728999999999,True,False,6.224818664871414
8,1024,256,64,64,0.28311571976880306,4,64,8,RS,500,10,False,8,256,1,3,1,1,True,11,3,False,10,0.02683480725773897,0.29974780000000006,True,True,0.31637988023119706
9,2048,4,4,256,0.4829815009070388,32,128,4,RS,500,10,False,64,1,128,2,8,1,False,5,2,False,10,0.020577769146581465,0.49573550000000005,True,True,0.5084894990929614
10,16,2048,2048,2,4.290575699067576,512,16,2,RS,500,10,True,2048,128,32,2,4,7,True,4,1,False,10,0.12995312439491408,4.37112,True,True,4.451664300932425
11,16,2,2,2,7.424274634721679,256,1,64,RS,500,10,False,512,128,2048,16,3,1,False,1,1,False,10,0.0002184032966782888,7.424409999999999,True,False,7.424545365278319
12,32,2048,32,256,0.17401305935573366,2,2,128,RS,500,10,True,8,2048,256,1,4,1,True,14,3,False,10,0.028868641585810716,0.1919057,True,True,0.20979834064426636
13,64,16,2,2048,3.645900732944574,1024,64,2,RS,500,10,False,1,2048,128,1,6,1,False,7,6,False,10,0.00013595955280901143,3.6459849999999996,True,False,3.646069267055425
14,1,1024,512,4,2.9381322198889075,512,32,8,RS,500,10,True,2048,512,2048,2,5,2,False,1,5,False,10,0.0003239459831514439,2.9383329999999996,True,False,2.938533780111092
15,64,256,4,2,5.622052762342922,1,8,32,RS,500,10,True,2,4,1024,1,1,9,True,3,3,False,10,0.0002972557821136875,5.622237,True,False,5.622421237657078
16,1,512,2,512,6.6253440187178025,2048,2048,1,RS,500,10,False,2048,512,2048,4,2,5,True,1,2,False,10,0.14327959511388907,6.714148,True,True,6.802951981282197
17,64,512,4,1,2.322722094625514,4,32,2048,RS,500,10,True,64,128,1,1,3,8,True,1,2,False,10,9.01997782701765e-05,2.3227780000000005,True,False,2.322833905374487
18,512,512,256,128,2.2909814250616476,256,32,1024,RS,500,10,True,512,128,2048,2,1,1,False,14,3,False,10,0.00014613692209701376,2.2910719999999998,True,False,2.291162574938352
19,256,512,2,4,8.90546430714378,4,128,64,RS,500,10,False,2048,2048,1024,15,1,1,False,7,1,False,10,0.05451268741311531,8.939250999999999,True,True,8.973037692856218
20,1024,64,1,4,8.930120530583789,2,256,1,RS,500,10,False,4,16,1024,3,1,1,False,7,1,False,10,9.110982383916019e-05,8.930176999999999,True,False,8.930233469416208
21,4,512,128,8,9.859955714495944,4,2,8,RS,500,10,False,128,1,32,3,12,1,False,1,1,False,10,0.0008959179649944591,9.860511,True,False,9.861066285504057
