id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
35,128,1024,512,8,6.585969290757735,512,32,16,DLMT,500,10,False,1024,64,1,1,7,2,False,1,3,False,10,0.011734055394449123,6.593242000000001,True,True,6.600514709242267
36,2048,1,256,128,4.366134635236445,1,512,1,DLMT,500,10,False,128,128,512,1,3,3,True,7,1,False,10,0.00018774717041824954,4.366251,True,False,4.366367364763555
37,2048,1,1024,1024,3.0947940864559667,1,128,32,DLMT,500,10,False,2048,2048,64,26,1,1,False,2,1,False,10,0.000241876001289893,3.094944,True,False,3.095093913544033
38,2,2048,512,16,8.407758809826051,2048,1,128,DLMT,500,10,False,1,1,1024,1,14,4,True,2,1,False,10,0.0006989248886684037,8.408192000000001,True,False,8.408625190173952
39,2,256,4,32,3.6569034526691975,32,2,2048,DLMT,500,10,True,64,1,2048,3,3,1,False,20,1,False,10,0.00074306392726332,3.657364,True,False,3.657824547330802
40,16,256,256,1,0.2066196249983328,1,1,4,DLMT,500,10,True,2,512,1,2,4,2,False,1,1,False,10,0.02709133524228734,0.2234107,True,True,0.24020177500166717
41,64,1024,8,8,4.703910590854959,8,16,2,DLMT,500,10,True,2048,16,512,1,2,1,True,5,17,False,10,0.010547695293285562,4.7104479999999995,True,True,4.71698540914504
42,1,2,1,4,3.631435137826672,4,128,2,DLMT,500,10,True,64,64,4,30,3,1,False,1,1,False,10,0.0002805155967143253,3.6316089999999996,True,False,3.6317828621733272
43,1,2048,16,256,2.53855851638182,1024,512,16,DLMT,500,10,True,1,256,2048,4,1,1,True,6,3,False,10,0.010105733817986715,2.5448220000000004,True,True,2.5510854836181807
44,128,8,2,16,4.801809696466298,8,128,32,DLMT,500,10,False,1024,64,512,1,3,1,True,21,2,False,10,0.002385149051946246,4.803288,True,True,4.804766303533702
45,1024,1,1,32,3.619270786753695,8,4,2,DLMT,500,10,True,1,32,4,1,3,5,True,11,1,False,10,0.0005989290442113988,3.619642,True,False,3.6200132132463048
46,256,128,1,128,2.1732588474594934,1024,64,64,DLMT,500,10,True,2048,256,64,4,3,1,True,1,1,False,10,0.010374643560142135,2.1796889999999998,True,True,2.186119152540506
47,2048,2048,64,8,8.442813607047613,128,64,64,DLMT,500,10,False,2048,1,64,6,1,5,True,1,2,False,10,0.0003765647354705502,8.443046999999998,True,False,8.443280392952383
48,2048,1024,128,2048,0.3357121407007678,8,2048,256,DLMT,500,10,False,32,1,1,1,8,1,True,3,8,False,10,0.057722726763728006,0.3714884,True,True,0.40726465929923217
49,1,256,128,4,5.1385768124684175,8,2048,128,DLMT,500,10,False,1024,2048,512,6,6,1,True,7,1,False,10,0.04170118536684542,5.164423,True,True,5.190269187531583
50,1,512,8,2,4.117799081133921,1,8,128,DLMT,500,10,True,512,2,1,1,2,1,True,2,29,False,10,0.012332978593997531,4.125442999999999,True,True,4.133086918866077
