id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,32,8,8,1,7.101070581427747,128,False,1,DLMT,1,False,True,False,True,22,22,False,1,28,1,10,1,4,7.101489000000001,0.0006750918456031407,True,False,16,1,512,7.101907418572255,26
2,128,1,2,2,2.7739413475530625,256,False,1,DLMT,256,True,False,True,False,21,1,False,1,7,4,10,6,16,2.8380350000000005,0.10341104575914506,True,True,4,32,8,2.9021286524469385,19
3,1,1,1,2,2.8121321970613127,16,False,32,DLMT,2048,False,True,True,True,1,9,True,10,1,8,10,1,16,2.945746,0.2155774021645126,True,True,4,2,16,3.0793598029386877,11
4,4,16,512,8,5.523793344328024,128,False,256,DLMT,512,False,False,True,True,1,1,True,6,4,2,10,30,8,5.526935,0.005068862298386011,True,False,8,16,128,5.530076655671976,4
5,2,16,2,32,2.4673236593789865,1,False,512,DLMT,128,False,True,True,True,1,29,True,15,30,2,10,1,2,2.507837,0.06536570722481319,True,True,1,4,1,2.5483503406210133,23
6,256,2048,4,1,2.790063800488356,256,False,2048,DLMT,2048,False,True,False,True,1,1,True,22,17,8,10,6,16,2.872611,0.1331846743022635,True,True,32,4,64,2.955158199511644,10
7,2,2,1,8,2.8922482701157186,2,False,128,DLMT,16,True,False,False,False,16,1,True,1,30,16,10,5,4,2.9113420000000003,0.030806522945635996,True,True,32,1,8,2.930435729884282,19
8,8,128,1024,32,5.246092882318748,512,False,1,DLMT,2048,False,True,True,False,1,12,False,14,12,4,10,1,2,5.247913,0.002936644513726489,True,False,16,2,1,5.249733117681251,12
9,8,16,8,4,2.0156707727725767,2048,False,64,DLMT,128,False,True,False,True,6,1,True,1,30,1,10,5,1,2.2498029999999996,0.377757508569982,True,True,8,4,1,2.4839352272274224,8
10,1,128,64,2,2.470004892050004,4,False,1024,DLMT,512,True,True,True,False,1,22,False,8,30,8,10,1,4,2.5081409999999997,0.06153019298685807,True,True,16,4,8,2.5462771079499955,29
11,2,1,256,128,2.5668075022748873,1,False,512,DLMT,1,False,False,False,False,22,10,True,1,3,1,10,1,8,2.621726,0.08860751516660426,True,True,4,8,128,2.6766444977251123,30
12,1,2,128,256,5.41001842503813,16,False,4,DLMT,128,True,False,False,False,9,14,True,1,4,4,10,1,32,5.411385,0.0022048820830147804,True,False,1,2,2048,5.41275157496187,20
13,2048,1,32,128,4.9980987495842655,2048,False,32,DLMT,256,True,False,True,True,1,1,False,8,24,8,10,9,4,4.999248,0.0018542427025606831,True,False,1,8,1,5.000397250415734,20
14,32,32,2,64,1.737857696954041,2048,False,512,DLMT,512,True,False,False,False,1,1,True,20,20,1,10,6,4,1.955697,0.3514699081016752,True,True,8,4,2048,2.173536303045959,26
15,8,8,2048,1,4.215387766696034,1,False,16,DLMT,2048,True,False,True,True,1,12,True,9,13,32,10,1,4,4.216117,0.0011765717147713612,True,False,2,8,8,4.216846233303965,20
16,1024,2,16,16,2.3811062484095125,2048,False,2048,DLMT,1,True,False,True,True,1,1,False,30,11,16,10,8,8,2.526878,0.23519348170389412,True,True,2,16,64,2.6726497515904875,5
17,1,1,32,2,7.695962036313548,2048,False,2048,DLMT,1024,True,True,True,True,1,1,False,15,22,2,10,14,2,7.696808,0.001364908788161324,True,False,4,32,16,7.697653963686451,10
18,1,4,8,1,1.9690488880481032,2048,False,16,DLMT,16,False,True,False,True,1,1,True,10,21,2,10,28,8,2.1889069999999995,0.3547271283127356,True,True,8,4,256,2.408765111951896,19
19,1,4,64,2,5.950462605824318,512,False,512,DLMT,512,True,False,True,False,2,1,True,1,14,4,10,19,4,5.951325000000001,0.0013914183411181866,True,False,2,4,1,5.9521873941756835,29
20,512,1,16,4,4.576453259315551,512,False,32,DLMT,32,False,False,True,True,28,1,True,1,10,1,10,5,8,4.5767359999999995,0.0004561841733335057,True,False,1,4,64,4.577018740684448,1
21,2,16,32,4,2.5125717062040773,512,False,16,DLMT,32,True,True,True,True,1,21,False,19,5,16,10,1,2,2.568415,0.09009961501027625,True,True,4,1,128,2.6242582937959225,21
22,16,1,4,128,6.895217940789263,2048,False,32,DLMT,1024,False,True,True,False,1,1,True,27,18,32,10,30,4,6.895774999999999,0.0008987797282983883,True,False,2,32,1,6.896332059210734,5
23,32,1,4,1,10.699385990612372,2048,False,2,DLMT,1,True,True,True,False,23,1,False,1,12,8,10,28,2,10.69979,0.0006518435395093819,True,False,4,16,512,10.700194009387628,12
24,32,1024,32,1,5.0172769820882985,1,False,1024,DLMT,128,True,False,False,True,1,12,False,18,25,32,10,1,4,5.019145,0.003013928499483794,True,False,1,2,2048,5.021013017911701,1
25,2,2048,512,2,7.832992648311458,1024,False,2048,DLMT,2048,True,True,True,True,1,1,False,2,22,1,10,4,4,7.835042,0.0033064990548918247,True,False,4,32,2048,7.837091351688541,24
26,4,2,512,512,2.638972762963127,8,False,8,DLMT,1024,False,False,False,False,1,1,True,16,9,1,10,25,16,2.7043330000000005,0.1054545997147588,True,True,4,32,1,2.769693237036874,17
27,512,2048,4,8,2.434138433480706,1024,False,1,DLMT,64,True,True,False,True,22,16,True,1,16,1,10,1,2,2.486799,0.08496448628103391,True,True,1,32,128,2.539459566519294,16
28,1,128,32,2,6.094948307208031,512,False,512,DLMT,256,True,True,False,False,30,29,True,1,19,4,10,1,8,6.096861,0.0030860085871560264,True,False,1,32,4,6.098773692791968,17
29,128,16,1,1,4.288652810476639,1,False,1,DLMT,256,True,True,True,False,30,6,True,1,3,2,10,1,4,4.289038,0.0006214788813790018,True,False,2,16,4,4.289423189523361,25
30,8,128,256,4,5.945627043329872,2048,False,256,DLMT,256,False,False,False,True,1,22,False,24,28,4,10,1,8,5.945739,0.00018063499107317027,True,False,1,8,2048,5.945850956670127,30
31,8,128,16,8,2.4939690480681973,128,False,128,DLMT,256,False,True,True,True,13,19,True,1,20,4,10,1,2,2.517893,0.03859978006414024,True,True,4,32,1024,2.5418169519318026,12
32,128,1,1,1024,2.363381750172591,256,False,2048,DLMT,2048,False,False,False,True,1,1,False,29,28,8,10,20,2,2.435041,0.11561765760038561,True,True,1,32,2048,2.506700249827409,20
33,128,128,2048,4,1.782497536491185,2048,False,256,DLMT,2048,False,False,True,False,3,1,True,1,1,2,10,7,1,1.9476870000000002,0.26652272912642927,True,True,32,2,1,2.1128764635088153,13
34,2,2,32,1,8.23624942521927,16,False,128,DLMT,1024,True,True,False,True,4,1,False,1,24,4,10,1,2,8.238471,0.0035843700980784906,True,False,4,16,2,8.24069257478073,12
35,16,8,32,8,2.4858112234569285,1024,False,8,DLMT,1,True,False,False,False,1,13,True,27,23,4,10,1,2,2.530191,0.07160395651777907,True,True,2,8,16,2.574570776543071,3
36,2,8,2,8,2.5364925702462067,64,False,2048,DLMT,1024,True,True,False,True,1,22,False,9,26,4,10,1,16,2.582764,0.07465601907415104,True,True,1,8,512,2.6290354297537935,28
37,32,2048,4,32,5.557721874117598,128,False,2048,DLMT,4,False,False,False,True,3,1,True,1,24,32,10,29,2,5.558109,0.0006246030739597933,True,False,8,1,1024,5.558496125882402,30
38,1,32,8,512,6.233121800885487,1,False,64,DLMT,2048,True,False,True,True,1,1,True,10,23,4,10,23,1,6.233548000000001,0.0006876452573819866,True,False,4,1,2048,6.233974199114514,16
39,2048,1,1,256,2.084311262016713,2048,False,512,DLMT,4,True,False,False,True,28,12,True,1,24,4,10,1,1,2.1771380000000002,0.14977005807570481,True,True,2,4,512,2.2699647379832877,5
40,4,2,1,2048,2.541518704952844,32,False,128,DLMT,1,False,True,False,False,1,1,True,14,13,2,10,11,1,2.5949,0.08612733607862261,True,True,4,8,2048,2.648281295047156,6
41,32,16,256,4,24.582236957299028,32,False,512,DLMT,2048,True,True,False,True,1,1,False,22,29,4,10,25,16,24.58313,0.0014408677940733732,True,False,4,32,512,24.584023042700974,24
42,128,2,512,8,2.589106885281219,1,False,4,DLMT,1024,False,False,False,False,1,14,False,2,27,4,10,1,4,2.629305,0.06485711021160281,True,True,1,32,128,2.669503114718781,12
43,128,8,2,512,2.3389065766718944,512,False,64,DLMT,256,False,True,False,False,1,19,True,5,25,32,10,1,4,2.3839270000000004,0.07263759949915748,True,True,4,16,512,2.4289474233281063,30
44,1,16,64,4,9.36601131974627,1,False,2048,DLMT,1,False,True,False,True,1,1,True,3,14,1,10,1,32,9.366342,0.0005335316298026509,True,False,32,2,1,9.366672680253728,21
45,64,8,4,1,7.254505958855622,128,False,16,DLMT,4,False,False,False,False,1,28,False,15,2,8,10,1,8,7.254665,0.00025660280590836503,True,False,4,32,16,7.254824041144378,16
46,2,8,64,2048,1.7660914248453508,2048,False,128,DLMT,2048,True,False,False,False,25,1,False,1,2,8,10,1,2,1.9415970000000002,0.28316712139830086,True,True,1,32,1,2.1171025751546497,10
47,1,8,512,16,3.2953512755530534,2048,False,16,DLMT,1,False,False,True,True,20,7,False,1,16,2,10,1,32,3.3417550000000005,0.07486946817628662,True,True,16,1,1,3.3881587244469475,15
48,256,2,4,32,2.2013813717295863,256,False,4,DLMT,2048,True,False,False,True,8,30,False,1,15,4,10,1,4,2.280675,0.1279352433264579,True,True,32,4,2048,2.3599686282704138,30
49,8,8,1,64,8.44783232657677,2048,False,256,DLMT,1,False,False,False,False,7,1,False,1,30,32,10,23,1,8.448114999999998,0.0004560756516193553,True,False,2,2,256,8.448397673423226,24
50,4,1,512,2,2.687833199249131,16,False,2,DLMT,1024,False,False,False,True,1,30,True,6,11,16,10,1,1,2.7254110000000003,0.060629399708392255,True,True,16,1,1024,2.7629888007508696,21
51,32,64,4,256,6.09472602260891,32,False,512,DLMT,64,True,True,False,False,25,8,False,1,9,32,10,1,2,6.094990000000001,0.0004259107887808662,True,False,1,1,2048,6.095253977391092,5
52,2,16,4,2048,5.547725306468868,2048,False,2048,DLMT,256,True,True,True,False,2,4,True,1,25,2,10,1,32,5.548009,0.0004577215310645879,True,False,32,1,2048,5.548292693531133,25
53,1,16,128,2048,5.673664301308044,1,False,1,DLMT,2048,False,False,False,False,28,1,True,1,25,8,10,4,8,5.675471,0.002914993825036329,True,False,2,4,2048,5.677277698691956,19
54,2,256,1,1,5.276490988199623,8,False,2048,DLMT,16,False,True,True,False,27,25,True,1,7,4,10,1,1,5.2768630000000005,0.0006002174605923452,True,False,16,8,1,5.277235011800378,29
55,1,1,2048,16,2.3674699384512143,256,False,2,DLMT,1,False,True,False,True,1,1,True,22,3,8,10,16,2,2.418323,0.08204819157665814,True,True,1,16,2048,2.4691760615487857,3
