id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,1,2048,8,1,1.4996060508247653,False,DLMT,17,1,2048,35,128,1,12,1,32,0.00015853152651116467,1.4996585714285717,True,64,32,1,1.4997110920323782,256
2,16,1024,1,32,1.5447059784443695,False,DLMT,2,1,256,35,2048,24,1,32,1,0.0001578875859461837,1.5447582857142856,True,256,32,64,1.5448105929842018,256
3,64,256,1,32,1.575905340708584,False,DLMT,26,1,1024,35,256,26,1,1,32,7.874526224816446e-05,1.5759314285714285,True,16,256,128,1.5759575164342732,2048
4,1,512,32,1,1.490783642156864,False,DLMT,1,20,1024,35,2048,1,15,1,1,0.00012009384085889718,1.4908234285714288,True,32,512,128,1.4908632149859935,2048
5,64,2048,8,1,1.528473085748899,False,DLMT,1,25,256,35,256,1,7,8,8,0.00011832366540942024,1.5285122857142857,True,1,1,16,1.5285514856796723,256
6,1,64,8,1,1.6635327143699536,False,DLMT,1,3,1,35,256,19,1,8,1,0.00010737080513769782,1.6635682857142857,True,16,1,64,1.6636038570586178,2048
7,16,64,32,1,1.64959049539685,False,DLMT,1,29,2048,35,128,1,30,1,1,8.905856820895354e-05,1.64962,True,256,1,1,1.64964950460315,2048
8,256,512,1,8,1.541374288191334,False,DLMT,29,1,1024,35,256,1,27,8,8,8.795917420332985e-05,1.5414034285714284,True,16,512,16,1.541432568951523,2048
9,1,128,1,32,1.611934003348638,False,DLMT,24,1,256,35,1,9,1,32,1,0.00011382908777851892,1.6119717142857144,True,16,1,64,1.6120094252227908,1
10,16,2048,32,1,1.4961981404274933,False,DLMT,10,1,512,35,2048,18,1,1,32,8.323068507934333e-05,1.4962257142857145,True,512,512,32,1.4962532881439357,1
11,1,512,32,1,1.112798407779217,False,DLMT,26,1,1,35,64,15,1,8,8,4.189004070424569e-05,1.1128122857142857,True,1,128,1,1.1128261636493544,1
12,1,1,1,1,1.113699460712788,False,DLMT,15,1,64,35,1024,26,1,32,1,7.23461069006078e-05,1.1137234285714284,True,16,256,512,1.1137473964300688,2048
13,128,1,1,8,1.4881536516500407,False,DLMT,1,27,256,35,1024,13,1,1,32,9.333022346616784e-05,1.4881845714285713,True,1,64,64,1.488215491207102,2048
14,128,2048,32,1,1.4852778473383614,False,DLMT,2,1,256,35,1,1,2,8,1,0.00011429999910724309,1.4853157142857145,True,128,256,512,1.4853535812330676,2048
15,32,1024,8,1,1.1350341369763326,False,DLMT,1,30,2048,35,1,28,1,8,1,0.00021346624261155264,1.1351048571428572,True,1,64,256,1.135175577309382,256
16,32,2048,1,32,1.5414622741417014,False,DLMT,17,1,1,35,2048,15,1,8,1,0.00010524994546509663,1.541497142857143,True,32,256,1,1.5415320115725843,512
17,16,2048,8,1,1.5044780591149707,False,DLMT,13,1,2048,35,512,1,30,1,32,0.00014729506690549176,1.5045268571428574,True,1,128,128,1.504575655170744,1
18,512,2048,8,8,1.5097947906460365,False,DLMT,1,26,1,35,1024,1,18,32,1,0.00017182192965452408,1.5098517142857142,True,128,32,1,1.5099086379253919,2048
19,512,1,32,1,1.3536820326477987,False,DLMT,29,1,2048,35,512,1,10,32,1,7.665666897247646e-05,1.3537074285714288,True,32,16,256,1.3537328244950588,64
20,1,1024,8,8,1.474863406594043,False,DLMT,29,1,1,35,64,1,6,1,1,7.682155309813991e-05,1.4748888571428571,True,512,64,64,1.4749143076916713,2048
21,256,1,32,1,1.4782461699624516,False,DLMT,27,1,512,35,1024,30,1,1,1,7.796702599727576e-05,1.478272,True,1,32,1,1.4782978300375484,256
22,512,2048,1,8,1.5026138721037903,False,DLMT,1,16,2048,35,1024,29,1,8,1,0.00016165824369670495,1.5026674285714285,True,512,16,64,1.5027209850390668,256
23,128,64,8,8,1.487164047381526,False,DLMT,8,1,2048,35,128,12,1,32,1,0.000568190540044389,1.4873522857142856,True,1,256,32,1.4875405240470452,512
