id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,8,8,2,2,1.6244915084562601,16,2,DLMT,8,True,16,25,1024,1,4,False,False,10,3.144837038704464e-05,1.624511,True,False,1.62453049154374
2,1,1024,8,4,1.1022259734740865,256,1024,DLMT,256,False,1,23,1,25,1,False,False,10,0.00021301643129107198,1.102358,True,False,1.1024900265259134
3,2,64,32,1,2.04997188532916,256,4,DLMT,128,True,1024,1,1024,5,20,False,False,10,2.6000000000002943e-05,2.049988,True,False,2.05000411467084
4,8,8,1,2,4.519162992062833,256,4,DLMT,8,True,2048,1,32,30,21,True,False,10,0.0008373864102073473,4.5196819999999995,True,False,4.520201007937166
5,1,2048,1,4,0.6045662143769275,2,256,DLMT,512,True,512,30,1024,4,1,True,False,10,1.8531324831206017e-05,0.6045776999999999,True,False,0.6045891856230723
6,2,32,2,32,2.9131614061490305,64,32,DLMT,2,False,1,28,8,7,1,True,False,10,2.9999999999944883e-05,2.9131799999999997,True,False,2.913198593850969
7,32,256,2,1,3.032468276217458,4,2,DLMT,8,False,4,21,16,1,30,True,False,10,0.0003738716357254114,3.0327,True,False,3.0329317237825424
8,1,1,8,1,0.08129248140374401,1,16,DLMT,4,True,2048,1,1,5,12,True,False,10,0.010775834345464856,0.08797129000000001,True,True,0.094650098596256
9,1,512,8,8,1.11670987620989,64,4,DLMT,64,True,128,30,256,27,1,False,False,10,0.0015829810485283725,1.117691,True,True,1.11867212379011
10,2,1024,32,2,1.2835983958219814,1,1,DLMT,1,True,1024,20,256,1,6,True,False,10,3.001666203961602e-05,1.283617,True,False,1.2836356041780186
11,1,128,4,1,0.5753965303731653,4,8,DLMT,1,True,256,15,1,25,1,False,False,10,5.045156092728767e-05,0.5754278,True,False,0.5754590696268348
12,1,64,8,8,1.3644094148489454,32,64,DLMT,4,False,32,1,1024,30,12,False,False,10,0.0076857427097191105,1.3691730000000002,True,True,1.373936585151055
13,1,8,32,2,3.5103809029354878,2048,8,DLMT,8,False,1,3,128,18,1,True,False,10,0.40571815512865567,3.761843,True,True,4.013305097064512
14,2,1,4,8,1.0728437867356295,1,2048,DLMT,512,True,8,11,1,1,10,True,False,10,0.010319884689278245,1.07924,True,True,1.0856362132643704
15,1,4,1,2,1.3353470186070875,128,1,DLMT,4,True,1,14,1,1,28,True,False,10,0.042325252745849064,1.3615799999999998,True,True,1.387812981392912
16,4,1,16,4,0.09086728996252053,8,256,DLMT,1,True,8,29,8,1,21,False,False,10,0.010664428872400997,0.09747705,True,True,0.10408681003747947
17,2,64,1,32,1.0890165819117335,16,8,DLMT,2,True,16,1,512,21,20,True,False,10,0.003624453200139348,1.091263,True,True,1.0935094180882667
18,2,2048,32,1,3.539242533153205,1,16,DLMT,2,False,8,6,32,17,1,False,False,10,0.0024902859273585264,3.5407859999999998,True,False,3.5423294668467946
19,4,2048,1,16,0.5809318321761003,128,2048,DLMT,4,True,1,3,8,1,17,False,False,10,5.5934336502721545e-05,0.5809664999999999,True,False,0.5810011678238995
