id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,16,16,False,16,8,4,512,32,1,1.1679889593278536,2048,1,DLMT,False,True,4,True,1,True,1,2,16,8,10,1,4,16,1.171847,3,False,0.006224704089352329,True,1.1757050406721465
2,16,256,False,16,2048,8,32,256,7,0.1930344318723266,16,8,DLMT,True,False,1,False,64,True,29,1,1,4,10,32,2,32,0.22353799999999996,17,True,0.04921557375871992,True,0.2540415681276733
3,2,512,False,1,32,16,16,64,1,inf,64,2,DLMT,True,True,17,False,1024,True,1,16,32,4,1,16,4,8,inf,1,False,inf,False,inf
4,16,1,False,4,256,2,1,2,1,1.1460919727579597,512,2048,DLMT,True,False,5,True,1,False,1,21,512,32,10,32,32,16,1.146129,9,False,5.9741108125008095e-05,True,1.1461660272420402
5,4,128,False,32,2,2,4,4,1,inf,16,1,DLMT,False,False,10,True,128,False,1,9,64,1,1,2048,8,2,inf,7,False,inf,False,inf
6,1,1,False,32,128,4,64,16,14,0.5664096067774951,512,32,DLMT,False,False,1,True,512,True,30,1,512,2,10,1,2,4,0.5802845999999999,6,True,0.02238642212234907,True,0.5941595932225048
7,16,2048,False,1,2,8,1024,2048,18,1.851222960864371,256,2,DLMT,True,False,1,False,512,False,1,13,128,4,10,1024,1,1,1.85127,3,False,7.589466384404094e-05,True,1.8513170391356288
8,32,1,False,1,8,32,64,512,1,inf,64,1,DLMT,False,True,5,False,128,False,1,5,512,16,1,1024,1,1,inf,23,True,inf,False,inf
9,4,256,False,2,2,1024,32,2048,9,0.5535623704353413,2,256,DLMT,True,True,1,False,512,True,1,8,1024,16,10,1,32,8,0.5661992,7,True,0.0203887235392508,True,0.5788360295646587
10,2,1,False,8,64,512,128,2048,7,1.426993660618396,1,2,DLMT,True,False,6,False,16,False,1,2,1,2,10,128,8,32,1.427058,1,False,0.00010380751417888985,True,1.427122339381604
11,1,128,False,2,16,16,1,256,4,0.4540059203932374,16,4,DLMT,True,True,1,True,1,True,1,9,64,8,10,512,16,16,0.4654230999999999,5,True,0.01842089563756335,True,0.47684027960676245
