id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,256,2,2048,inf,False,4,DLMT,32,False,True,True,2,27,inf,1,1,1,inf,False,True,inf
2,1,128,16,1024,inf,False,256,DLMT,1,False,True,True,21,26,inf,1,29,1,inf,False,True,inf
3,8,512,32,512,4.027855187150126,False,256,DLMT,16,False,False,False,26,24,0.0007822148042577893,10,9,1,4.02834,True,False,4.028824812849874
4,1,1,1,1,2.2931456459470465,False,256,DLMT,4,False,False,False,30,4,0.0005475262550782734,10,1,1,2.2934850000000004,True,False,2.2938243540529544
5,32,2048,1,2048,inf,False,32,DLMT,4,True,False,True,1,1,inf,1,16,1,inf,False,False,inf
6,4,2048,1024,1,inf,False,2048,DLMT,2,True,False,True,23,28,inf,1,1,7,inf,False,False,inf
7,16,16,512,128,inf,False,2048,DLMT,1,False,True,True,28,1,inf,1,1,19,inf,False,False,inf
8,8,4,1,512,inf,False,1,DLMT,1,False,False,True,24,18,inf,1,1,21,inf,False,True,inf
9,32,4,2048,2048,inf,False,2048,DLMT,1,False,True,True,1,13,inf,1,1,17,inf,False,False,inf
10,32,1,4,256,inf,False,4,DLMT,2,True,False,True,6,8,inf,1,1,6,inf,False,False,inf
11,2,8,4,256,3.5288347112215126,False,512,DLMT,16,False,True,False,10,5,0.05519451914819088,10,1,29,3.563044,True,True,3.5972532887784876
12,8,1,2048,8,5.300569948264065,False,1,DLMT,8,True,True,False,4,22,0.0002259645989973419,10,1,13,5.3007100000000005,True,False,5.300850051735936
13,16,1,32,1024,inf,False,1024,DLMT,2,True,True,True,18,14,inf,1,1,29,inf,False,True,inf
14,4,8,16,256,9.550476586689125,False,256,DLMT,4,False,False,False,1,30,0.0041907617445998795,10,15,1,9.553074,True,False,9.555671413310876
15,2,1,256,1024,2.8340396785254,False,2048,DLMT,32,False,False,False,4,14,0.0001441145377814818,10,29,1,2.834129,True,False,2.8342183214745997
16,4,256,16,2048,inf,False,1024,DLMT,8,True,False,True,8,21,inf,1,1,16,inf,False,True,inf
17,2,128,512,256,1.481076850642702,False,1,DLMT,4,True,True,False,29,19,0.04579602590836893,10,26,1,1.509461,True,True,1.537845149357298
18,1,128,2048,1,inf,False,1,DLMT,16,True,False,True,12,8,inf,1,5,1,inf,False,False,inf
19,32,8,2,32,inf,False,512,DLMT,2,True,False,True,10,23,inf,1,1,1,inf,False,False,inf
20,1,16,8,256,0.30522315547319756,False,16,DLMT,1,True,False,False,7,27,0.07430286163405822,10,1,25,0.3512757,True,True,0.3973282445268025
21,8,2,4,2048,76.10550044954944,False,64,DLMT,16,False,False,False,29,30,0.0010641428475533787,10,21,1,76.10616000000002,True,False,76.1068195504506
22,32,1,64,1,9.63993644045816,False,128,DLMT,1,True,False,False,25,3,0.0007979404739703592,10,1,30,9.640431000000001,True,False,9.640925559541843
23,16,128,1,1,2.356649216712178,False,2048,DLMT,4,False,False,False,9,22,0.0001109774751920042,10,23,1,2.356718,True,False,2.3567867832878218
24,1,1,8,32,2.725411719607812,False,2048,DLMT,16,True,True,True,30,29,0.00019729166226676602,10,1,23,2.7255339999999997,True,False,2.7256562803921875
25,4,2,64,1,2.9544279851991817,False,1,DLMT,1,True,True,False,19,11,0.0001533003587731956,10,1,1,2.954523,True,False,2.9546180148008183
26,16,8,32,32,inf,False,128,DLMT,4,True,False,True,5,7,inf,1,2,1,inf,False,True,inf
27,8,2048,64,2048,inf,False,512,DLMT,4,True,False,True,30,16,inf,1,30,1,inf,False,True,inf
28,32,16,64,1,7.163756491797737,False,128,DLMT,4,False,True,False,17,30,0.0008026979506639753,10,6,1,7.164254,True,False,7.164751508202262
29,2,4,1,4,inf,False,8,DLMT,1,False,False,True,14,18,inf,1,1,30,inf,False,False,inf
30,1,4,16,8,inf,False,16,DLMT,8,True,True,True,23,26,inf,1,25,1,inf,False,True,inf
31,2,16,16,1,inf,False,1,DLMT,32,True,True,True,2,11,inf,1,1,30,inf,False,False,inf
32,1,8,32,256,5.114292843542398,False,64,DLMT,32,False,True,False,14,13,0.00027130978603798016,10,17,1,5.114461,True,False,5.114629156457602
33,2,512,2048,1,inf,False,2048,DLMT,32,False,False,True,29,7,inf,1,27,1,inf,False,True,inf
34,1,64,512,2048,2.343405426426165,False,1,DLMT,32,True,False,False,26,4,0.06003528849768285,10,1,11,2.3806149999999997,True,True,2.4178245735738346
35,16,128,1,256,0.27724190896022877,False,16,DLMT,1,False,True,False,30,12,0.02599728974893345,10,1,6,0.29335490000000003,True,True,0.3094678910397713
36,4,1,1,4,inf,False,512,DLMT,32,True,True,True,14,12,inf,1,29,1,inf,False,False,inf
37,4,4,1,1,inf,False,2,DLMT,32,True,False,True,9,22,inf,1,1,13,inf,False,True,inf
38,2,1,64,16,inf,False,512,DLMT,1,False,False,True,9,1,inf,1,16,1,inf,False,False,inf
39,32,8,4,2048,inf,False,4,DLMT,4,True,True,True,29,1,inf,1,30,1,inf,False,False,inf
40,16,1024,32,1,inf,False,1,DLMT,8,False,False,True,11,30,inf,1,26,1,inf,False,True,inf
41,4,2,8,8,4.212998433641605,False,2048,DLMT,1,True,True,False,8,9,0.005807672167056235,10,11,1,4.216598,True,True,4.2201975663583955
42,1,4,2,4,27.53943807140715,False,2,DLMT,2,False,False,False,20,7,0.0009550392662088599,10,1,20,27.54003,True,False,27.540621928592852
43,1,1,1,1,1.9246196137400946,True,1,DLMT,1,False,False,False,1,1,0.0008734924155366041,10,1,1,1.925161,True,False,1.9257023862599052
