id,speedup,T2_K,T2_J,T2_I,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,RT_I,cost_mean,U_J,U_I,U_K,points
1,2.00415397723657,1024,1024,2048,1,1,64,256,RS,False,True,True,True,False,26,8,8,0.08885254,13,1,8,101
2,1.9854518396691985,512,1,1024,8,64,32,256,RS,False,False,True,True,False,18,1,8,0.08968949428571428,1,19,15,100
