id,speedup,T2_K,T2_J,T2_I,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,RT_I,cost_mean,U_J,U_I,U_K,points
1,2.0176255404271144,256,256,1024,8,32,1,256,RSL,True,True,True,False,False,22,1,8,0.08882921142857143,14,26,1,100
2,2.030871903328467,1,1,1024,8,256,32,128,RSL,False,True,True,False,False,22,1,1,0.08824982285714283,9,8,1,100
