id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,64,256,1,2.946205463188716,False,1024,DLMT,1,False,False,False,1,15,0.04584989444916968,10,1,1,2.974623,True,True,3.003040536811284
2,32,2048,256,1,6.92350687817325,False,512,DLMT,2,False,True,False,2,25,0.0020912104150467444,10,29,1,6.924803,True,False,6.926099121826749
3,1,512,1,1,2.738142124648751,False,16,DLMT,4,False,False,False,30,29,0.00011757976016298783,10,8,1,2.738215,True,False,2.7382878753512485
4,32,128,16,128,inf,False,16,DLMT,1,False,True,True,12,19,inf,1,1,30,inf,False,False,inf
5,32,1,16,256,inf,False,128,DLMT,1,True,True,True,6,1,inf,1,2,1,inf,False,False,inf
6,16,2048,256,1,4.560937054794479,False,256,DLMT,1,True,False,True,20,30,0.0017537171949890237,10,7,1,4.562024,True,False,4.563110945205521
7,2,1,1,64,3.5234729289663873,False,2048,DLMT,16,True,True,False,28,6,0.00013402984742212214,10,1,29,3.523556,True,False,3.523639071033613
8,1,4,1,512,0.7003380270480907,False,16,DLMT,32,False,True,False,1,23,0.05631550937432777,10,1,16,0.7352421,True,True,0.7701461729519093
9,32,64,1,64,8.711982039805125,False,2048,DLMT,1,True,True,False,14,1,0.032955992110692084,10,16,1,8.732408000000001,True,True,8.752833960194877
10,8,8,4,2048,12.133404116066487,False,2048,DLMT,2,False,False,False,25,19,0.0008968834929911121,10,28,1,12.133959999999998,True,False,12.13451588393351
11,32,2,4,1024,0.6409263029353169,False,4,DLMT,1,True,False,False,2,4,0.03866148616194158,10,1,12,0.6648884999999999,True,True,0.6888506970646828
12,4,256,2048,512,0.7266350695128267,False,2048,DLMT,1,False,False,False,30,23,0.0020247507994812708,10,1,15,0.7278899999999999,True,False,0.7291449304871731
13,32,32,256,32,1.4484863246973858,False,256,DLMT,4,False,False,False,21,7,0.10936143687790502,10,1,23,1.5162680000000002,True,True,1.5840496753026145
14,32,128,2,2048,inf,False,32,DLMT,4,True,False,True,1,30,inf,1,19,1,inf,False,False,inf
15,8,64,1,1024,2.7621605566076064,False,512,DLMT,2,True,True,False,24,25,0.00027338617375422723,10,1,11,2.76233,True,False,2.7624994433923935
16,1,2048,32,2048,3.4892354068652915,False,64,DLMT,1,False,False,False,21,18,0.00040915644929538045,10,1,28,3.4894890000000003,True,False,3.489742593134709
17,4,8,512,2048,3.465416788247933,False,2048,DLMT,4,True,True,False,8,29,0.0005553638446999308,10,1,12,3.4657609999999996,True,False,3.4661052117520663
18,1,1,2048,32,6.242989673627084,False,1,DLMT,32,True,False,False,14,6,0.0002506092576103356,10,1,5,6.243145,True,False,6.243300326372917
19,1,256,16,512,inf,False,1024,DLMT,4,False,True,True,9,9,inf,1,19,1,inf,False,False,inf
20,2,64,2048,2048,4.501103882014647,False,2048,DLMT,16,True,True,False,2,21,0.015371401009667255,10,11,1,4.510631,True,True,4.520158117985353
21,1,256,4,1,0.1812263839126271,False,4,DLMT,4,True,True,False,23,11,0.02441293540400252,10,2,1,0.19635740000000002,True,True,0.21148841608737293
22,2,16,8,1,inf,False,1,DLMT,16,False,True,True,26,29,inf,1,1,20,inf,False,False,inf
23,4,4,2,256,3.419684552123673,False,512,DLMT,2,False,True,True,26,29,0.07640178673303402,10,13,1,3.467038,True,True,3.514391447876327
24,8,2,1,4,inf,False,64,DLMT,4,False,False,True,2,2,inf,1,1,20,inf,False,False,inf
25,1,1,1,2,0.6914476657438086,False,1,DLMT,8,True,False,True,13,16,0.07712506839309773,10,1,7,0.7392494000000001,True,True,0.7870511342561916
26,32,4,128,2048,inf,False,256,DLMT,4,True,True,True,30,29,inf,1,7,1,inf,False,True,inf
27,2,2048,16,1,inf,False,64,DLMT,32,True,True,True,18,2,inf,1,1,11,inf,False,True,inf
28,16,8,16,1,inf,False,32,DLMT,8,False,True,True,14,13,inf,1,15,1,inf,False,True,inf
29,4,8,2,64,14.98355203485869,False,4,DLMT,4,False,False,True,8,21,0.0021748563170933214,10,1,2,14.9849,True,False,14.98624796514131
30,8,256,8,256,3.1696976759588824,False,1,DLMT,8,False,False,False,2,10,0.0007249558607253219,10,7,1,3.170147,True,False,3.1705963240411177
31,8,256,64,2048,0.22861956353364332,False,1,DLMT,2,True,False,True,7,24,0.017978744400263324,10,30,1,0.2397627,True,True,0.25090583646635667
32,4,1,512,1,3.1329995793747223,False,2048,DLMT,2,True,False,False,8,19,0.02261299283597819,10,1,24,3.147015,True,True,3.161030420625278
33,8,1,16,4,inf,False,2048,DLMT,16,True,True,True,26,27,inf,1,1,4,inf,False,True,inf
34,4,1,1,64,0.3550330550537556,False,32,DLMT,16,False,False,False,15,28,0.05154630689351081,10,30,1,0.38698119999999997,True,True,0.41892934494624434
35,2,8,32,128,4.886337316022981,False,128,DLMT,1,True,False,True,27,10,0.001174071973943759,10,29,1,4.887065,True,False,4.887792683977018
36,1,1,4,8,inf,False,4,DLMT,1,False,True,True,2,3,inf,1,1,30,inf,False,True,inf
