id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,8,1,1,64,128,8,2.9078093785897217,256,False,32,RS,4,False,True,True,False,16,2,3,False,2,24,512,32,10,1,2,2.9079699999999997,8,0.00025915246477698156,16,True,1,7,512,2.908130621410278,5,1
2,128,4,16,1,8,2048,2.8893706372554777,8,False,128,RS,1,True,False,True,False,16,32,25,True,2,27,16,1,10,1,32,2.890035,2,0.0010719071788172227,32,True,11,1,128,2.8906993627445225,16,1
3,32,256,8,512,1,2048,1.8787343647241042,512,False,2048,RS,16,True,True,True,False,8,256,1,True,1,7,2,2,10,3,32,1.878849,8,0.00018495675170157735,16,True,29,1,1,1.8789636352758958,27,1
4,16,1,128,32,512,128,1.875971583253927,64,False,16,RS,128,False,False,True,True,2,16,1,True,4,29,1,2,10,26,1,1.876071,4,0.00016040261843248448,2,True,1,1,64,1.876170416746073,1,16
5,32,64,8,1024,128,64,6.084098595057935,256,False,128,RS,16,True,False,False,False,2,1,1,True,8,4,1024,1,10,28,16,6.084488,16,0.000628280192270862,1,True,1,3,256,6.084877404942065,1,21
6,16,1024,16,2048,8,16,2.216726713138793,128,False,1,RS,32,False,True,True,True,1,4,1,False,8,19,1024,2,10,11,8,2.2170490000000003,4,0.000519989422969393,2,True,1,26,256,2.2173712868612077,28,1
7,8,2,1,32,512,256,2.570548042913924,2,False,8,RS,512,False,False,False,False,1,4,1,False,4,21,1024,1,10,26,32,2.570751,1,0.0003274583943037928,4,True,1,5,64,2.570953957086076,1,2
8,256,1,128,256,4,2,6.217427856866913,2,False,1024,RS,256,True,True,False,True,16,2,1,True,2,26,128,1,10,4,32,6.217536,2,0.0001744820907715914,16,True,1,27,64,6.217644143133087,1,12
9,1,2,512,8,1024,1,inf,32,False,256,RS,1,False,True,True,True,1,1,8,True,1,17,2048,8,1,1,16,inf,2,inf,4,False,1,23,2048,inf,1,5
10,16,16,8,512,16,512,4.038275891969923,2,False,1,RS,8,True,True,False,True,2,256,11,False,16,30,256,4,10,1,1,4.038819999999999,2,0.0008778838191926193,16,True,15,1,8,4.0393641080300755,1,16
11,8,1024,64,16,4,2048,3.067128174267576,128,False,2048,RS,2048,True,False,False,False,32,16,1,False,2,5,64,32,10,10,4,3.0691879999999996,1,0.00332339826081673,8,True,1,7,1024,3.0712478257324234,27,1
12,64,32,128,128,1,4,5.435868984185262,64,False,1,RS,2048,True,False,False,False,1,4,1,False,16,2,64,8,10,9,2,5.436089999999999,32,0.0003565950083777991,2,True,1,1,128,5.436311015814736,1,12
13,16,4,64,1,128,512,2.0623505104010555,2048,False,4,RS,128,False,False,False,True,16,1,8,False,8,27,512,2,10,1,16,2.062613,2,0.0004235103304525137,1,True,1,22,1,2.062875489598944,1,6
14,256,2,2,2048,2,1024,1.8912190775859565,1,False,1024,RS,2,True,True,False,True,8,1024,1,True,1,8,1024,1,10,15,8,1.891372,2,0.0002467306223394649,1,True,1,10,32,1.8915249224140436,26,1
15,16,2048,128,64,128,128,inf,2,False,2048,RS,256,True,False,False,True,8,16,1,False,1,16,1024,4,1,7,2,inf,8,inf,4,False,1,7,4,inf,1,26
16,512,2,8,1024,1024,1,4.103591945187914,2,False,1,RS,32,True,False,True,False,2,512,17,False,32,30,1,1,10,1,32,4.103669999999999,32,0.00012593649193153383,4,True,2,1,16,4.103748054812084,15,1
17,128,256,4,256,2,256,3.317668979460363,1,False,256,RS,128,False,False,True,False,32,4,10,False,1,28,64,32,10,1,1,3.317893,1,0.0003614429415551149,2,True,17,1,128,3.3181170205396375,26,1
18,2048,4,1024,1,512,16,5.189454391021641,32,False,32,RS,1024,False,False,False,True,32,16,13,True,4,2,2048,1,10,1,16,5.18977,16,0.0005092150822588534,8,True,7,1,1024,5.190085608978359,1,24
19,512,512,8,512,1024,8,7.480424598372323,4,False,512,RS,128,True,False,False,False,2,1,1,True,8,3,1,1,10,22,32,7.480786,2,0.0005830986194462607,16,True,1,9,512,7.481147401627677,1,26
20,8,4,256,64,16,512,inf,32,False,256,RS,1024,True,True,True,True,1,512,18,False,1,9,16,32,1,1,2,inf,32,inf,1,False,1,19,64,inf,1,23
21,4,32,2,2048,64,64,2.4277160116082155,64,False,1,RS,2048,True,False,False,False,32,32,1,False,2,4,256,1,10,8,16,2.4279219999999997,8,0.0003323492139301271,8,True,1,6,1024,2.428127988391784,1,29
22,1,4,16,64,32,256,2.595506469439036,1,False,128,RS,256,False,True,True,False,4,4,1,False,2,15,2048,16,10,8,4,2.5964490000000002,2,0.0015207133194656156,16,True,1,14,1024,2.5973915305609645,1,13
23,2,16,32,32,32,8,4.3530843444216005,128,False,1,RS,512,False,True,False,True,4,4,1,True,16,22,2048,2,10,15,16,4.353434999999999,1,0.0005657605500562642,1,True,18,1,1,4.353785655578398,1,1
24,2,16,16,2048,2048,4,5.025978505951324,1,False,1,RS,32,True,False,True,False,4,1,20,True,16,6,1,1,10,1,1,5.0261499999999995,4,0.0002766947776883264,32,True,1,30,4,5.026321494048675,27,1
25,16,256,2048,1024,32,1,4.50475541418383,1024,False,1,RS,2048,True,False,False,True,8,4,11,True,4,30,2048,2,10,1,16,4.505375,32,0.0009996624430275538,2,True,1,9,1024,4.50599458581617,1,7
26,64,1024,1,512,1,1024,inf,16,False,1024,RS,1024,True,True,True,True,16,256,1,False,1,22,2048,4,1,20,32,inf,16,inf,2,False,1,29,512,inf,1,27
27,512,8,128,2048,16,64,3.5117190230128257,1,False,512,RS,1,True,True,False,True,2,4,4,True,2,3,128,2,10,1,32,3.511952,4,0.0003758936019674004,32,True,1,8,2,3.5121849769871742,1,7
28,2,2,32,128,64,1024,4.933446398012564,32,False,16,RS,256,True,False,True,True,1,2,1,True,32,14,64,2,10,3,32,4.933751000000001,4,0.0004914560000651269,16,True,1,17,2048,4.9340556019874375,26,1
29,2,1,4,8,8,512,3.6585220355807433,2,False,2048,RS,16,True,False,True,True,2,64,25,False,32,5,64,1,10,1,1,3.658784,4,0.0004226629863141584,8,True,17,1,16,3.6590459644192563,22,1
30,2,16,16,2,8,2048,inf,32,False,1,RS,16,False,False,True,True,4,64,5,True,32,6,64,8,1,1,4,inf,1,inf,4,False,1,16,1024,inf,1,30
31,32,1024,8,256,2,16,inf,128,False,1024,RS,512,False,False,True,False,2,8,1,False,1,19,512,4,1,10,4,inf,2,inf,4,False,1,2,1,inf,7,1
32,4,4,64,1,2,512,inf,1,False,32,RS,64,True,True,False,False,2,64,1,True,1,7,2048,2,1,9,2,inf,32,inf,2,False,1,16,1024,inf,23,1
33,128,8,1,2048,2,64,2.3835580302182953,4,False,16,RS,1024,True,True,False,True,2,16,1,True,2,10,2,32,10,29,2,2.383634,2,0.00012257242756832327,4,True,1,7,32,2.3837099697817044,1,18
34,32,32,32,1024,64,512,inf,32,False,256,RS,2048,False,False,False,True,1,16,1,True,8,16,256,1,1,12,16,inf,1,inf,4,False,2,1,1,inf,1,1
35,16,16,2,16,8,1,2.544321967061307,1,False,128,RS,16,False,False,True,False,4,2,13,False,1,24,64,4,10,1,32,2.544452,8,0.0002097999046710952,1,True,24,1,64,2.5445820329386932,1,24
36,2,1,32,1,512,8,3.447608302729092,2,False,512,RS,512,False,False,False,False,1,2,1,False,2,8,2048,1,10,13,32,3.4489050000000008,16,0.002092138857724237,2,True,1,3,32,3.4502016972709098,13,1
37,32,256,1024,2048,16,2048,2.7388211931237874,512,False,256,RS,1,True,False,False,False,2,1,2,False,1,26,2048,16,10,1,4,2.7389229999999998,32,0.00016425894191783588,2,True,2,1,1,2.739024806876212,29,1
38,4,16,32,4,16,64,3.6593287534452714,8,False,128,RS,512,True,True,True,True,32,32,1,True,4,28,256,8,10,23,2,3.659607,16,0.00044893317988318224,2,True,1,19,1,3.6598852465547282,9,1
39,8,128,2048,16,4,1024,4.960818668753338,2,False,128,RS,2048,True,False,False,True,8,2,19,True,4,2,64,1,10,1,16,4.960958,1,0.00022480213522119502,16,True,1,8,256,4.961097331246662,6,1
40,2,128,2,1024,1,1024,1.8656950775425702,16,False,1024,RS,4,True,True,False,False,4,256,1,True,4,16,128,2,10,23,1,1.865915,2,0.00035483094566285926,4,True,29,1,256,1.8661349224574297,8,1
41,1,32,64,1024,4,128,2.138931616318664,256,False,512,RS,512,True,False,False,True,4,128,16,True,1,18,128,8,10,1,4,2.139049,16,0.00018939112967613484,4,True,21,1,1024,2.139166383681336,1,12
42,128,8,4,2048,512,128,2.722127042374121,64,False,32,RS,128,True,False,False,False,16,16,28,False,2,9,1,1,10,1,2,2.7225340000000005,1,0.0006566003350593268,32,True,1,22,1,2.72294095762588,1,14
43,256,128,8,1024,2,16,4.2685088337577906,2048,False,128,RS,128,True,True,True,True,8,4,16,True,2,3,1,16,10,1,8,4.268737,16,0.00036813176988695725,2,True,12,1,2048,4.268965166242209,30,1
44,64,512,512,2048,32,512,3.218664142661472,4,False,512,RS,1024,True,False,True,True,16,128,1,False,4,10,1,2,10,7,4,3.2191030000000005,16,0.0007080684995111723,2,True,11,1,128,3.219541857338529,1,14
45,16,2,64,16,4,2048,5.252591987203364,4,False,64,RS,128,False,False,True,True,4,4,17,True,4,27,8,4,10,1,4,5.257938000000001,4,0.008625452799708474,8,True,7,1,1,5.263284012796638,1,9
46,16,256,32,16,512,2048,15.785609055233884,4,False,512,RS,1024,False,True,False,False,32,32,1,False,1,20,2048,1,10,17,32,15.786840000000002,8,0.0019860513588521563,2,True,24,1,32,15.788070944766119,1,10
47,1,2,1,256,64,1,2.246048971086907,128,False,512,RS,8,False,True,False,False,32,512,1,False,4,13,64,4,10,6,4,2.246446,8,0.0006405809862928962,16,True,1,27,256,2.2468430289130934,11,1
48,2,4,32,1024,64,512,2.880338081605688,1,False,128,RS,1,True,True,True,True,4,512,19,False,8,7,1,4,10,1,1,2.8807020000000003,16,0.0005871592628920586,2,True,10,1,2,2.8810659183943126,2,1
49,1,32,1,128,16,1024,2.6357581933614505,16,False,512,RS,32,True,True,True,True,8,8,19,True,4,7,32,1,10,1,2,2.6361230000000004,4,0.0005885923886697921,32,True,1,17,1024,2.6364878066385504,9,1
50,4,4,1,64,2,64,inf,256,False,256,RS,512,True,True,True,True,1,1,19,True,32,4,64,2,1,1,4,inf,8,inf,8,False,4,1,256,inf,1,22
51,128,2,32,1024,16,1,1.8655965712919897,512,False,64,RS,1,True,True,False,False,4,512,1,True,2,9,2048,2,10,18,2,1.8657049999999997,1,0.00017494284781034946,1,True,8,1,512,1.8658134287080097,1,22
