id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,128,1,8,1,1.6024935692832736,False,DLMT,1,10,128,35,1,12,1,1,1,8.581708121680627e-05,1.6025219999999998,True,16,1,512,1.602550430716726,1
2,1,1,1,32,1.6140327845484526,False,DLMT,1,12,2048,35,128,1,22,32,1,0.00012354491870882967,1.6140737142857144,True,256,512,512,1.6141146440229763,1
3,64,256,1,1,1.1244102454998517,False,DLMT,1,11,1,35,512,1,2,1,1,6.997725578022661e-05,1.1244334285714286,True,1,64,1,1.1244566116430055,1
4,64,2048,1,32,1.5638152626382076,False,DLMT,16,1,512,35,2048,16,1,1,32,0.000289410942912573,1.5639111428571426,True,16,32,1,1.5640070230760776,1
5,32,2048,1,8,1.5154353729257022,False,DLMT,17,1,512,35,256,5,1,8,1,5.018821717152409e-05,1.5154519999999998,True,512,128,128,1.5154686270742974,128
6,1,256,1,8,1.5208213251071645,False,DLMT,25,1,1024,35,512,28,1,32,1,0.00034182988966645144,1.5209345714285714,True,64,16,128,1.5210478177499782,1
7,1,1,32,1,1.5025555890506963,False,DLMT,18,1,512,35,2048,1,16,1,32,0.00018062341023944865,1.5026154285714286,True,64,16,256,1.502675268092161,1
8,256,128,1,32,1.602045414578601,False,DLMT,29,1,1024,35,256,1,7,8,1,0.000112156596064686,1.6020825714285716,True,512,32,64,1.6021197282785422,512
9,64,2048,8,8,1.4813763012030612,False,DLMT,1,30,128,35,2048,1,14,1,8,6.463460878709062e-05,1.4813977142857142,True,32,512,32,1.4814191273683672,512
10,1,2048,1,1,1.4685545239099134,False,DLMT,1,3,128,35,64,4,1,32,1,7.517381220087354e-05,1.4685794285714284,True,128,1,1,1.4686043332329435,256
11,1,128,8,8,1.477127216687725,False,DLMT,1,2,512,35,1024,1,7,1,32,5.4109488398009684e-05,1.477145142857143,True,1,512,32,1.477163069026561,2048
12,1,1024,8,1,1.483463542887731,False,DLMT,21,1,2048,35,256,21,1,1,8,5.4849701876305654e-05,1.4834817142857144,True,128,128,64,1.4834998856836978,2048
13,16,128,1,8,1.501379911328089,False,DLMT,1,29,1,35,512,12,1,8,8,7.271077735009913e-05,1.501404,True,512,32,1,1.501428088671911,2048
14,512,1024,32,1,1.783430525507351,False,DLMT,29,1,2048,35,1024,3,1,8,1,5.188370040143504e-05,1.7834477142857144,True,16,256,512,1.7834649030640777,1
15,1,256,8,1,1.4792918016655159,False,DLMT,1,19,512,35,2048,2,1,8,8,0.00011874995166486509,1.4793311428571432,True,1,1,256,1.4793704840487705,512
16,64,1,8,8,1.4877829354928678,False,DLMT,1,23,2048,35,1024,28,1,1,32,6.96193733299702e-05,1.4878060000000002,True,128,64,1,1.4878290645071326,512
