id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,64,10,1024,8,1,0.9468091000000001,1,11,RS,0.9466717510015364,True,False,False,0.00022160390339522095,True,0.9469464489984637,False
2,512,1,512,2,8,inf,1,24,RS,inf,False,True,False,inf,True,inf,False
3,32,1,512,4,2,inf,26,1,RS,inf,False,True,False,inf,True,inf,False
4,1,1,512,8,8,inf,22,1,RS,inf,False,True,True,inf,False,inf,False
5,4,1,512,1,32,inf,20,1,RS,inf,False,True,True,inf,False,inf,False
6,32,1,64,32,2,inf,1,26,RS,inf,False,True,True,inf,True,inf,False
7,512,1,2,8,2,inf,26,1,RS,inf,False,True,False,inf,True,inf,False
8,8,10,256,2,2,0.3675613,1,24,RS,0.3675236370085417,True,False,True,6.076684951517558e-05,True,0.3675989629914583,False
9,32,1,128,16,4,inf,8,1,RS,inf,False,True,True,inf,True,inf,False
10,64,10,32,32,4,0.47655820000000004,1,9,RS,0.47652175647373224,True,False,True,5.879931972395772e-05,False,0.47659464352626785,False
11,2,10,2048,16,2,0.3394624,1,21,RS,0.33915060303028305,True,False,False,0.0005030646479330448,False,0.33977419696971695,False
12,32,10,4,2,32,0.20526629999999998,1,16,RS,0.2052210048549134,True,False,True,7.308084564371167e-05,True,0.20531159514508657,False
13,2,1,512,1,32,inf,1,1,RS,inf,False,True,True,inf,True,inf,False
14,2048,1,2,32,4,inf,1,12,RS,inf,False,True,False,inf,False,inf,False
15,2048,10,16,32,2,0.4258388,1,13,RS,0.4254499760631912,True,False,True,0.0006273427771163038,False,0.42622762393680885,False
16,256,1,128,2,32,inf,24,1,RS,inf,False,True,False,inf,False,inf,False
17,2048,10,32,4,1,0.4263355,13,1,RS,0.42599882413794254,True,False,False,0.0005432051638193353,True,0.4266721758620574,False
18,512,1,2,1,4,inf,3,1,RS,inf,False,True,False,inf,False,inf,False
19,4,10,1024,8,8,0.8611426,4,1,RS,0.8610813473154316,True,False,False,9.882732415682903e-05,False,0.8612038526845683,False
20,256,10,256,8,4,0.4060808000000001,26,1,RS,0.4060166305277158,True,False,False,0.00010353337626098812,False,0.40614496947228435,False
21,2048,10,2,32,2,0.4106313999999999,4,1,RS,0.4105788867160152,True,False,False,8.472685524672534e-05,False,0.4106839132839846,False
22,16,1,64,2,32,inf,1,22,RS,inf,False,True,False,inf,False,inf,False
23,2,10,2,1,16,0.3145842,1,5,RS,0.31456793395199395,True,False,False,2.6244237462722898e-05,False,0.314600466048006,False
24,32,1,32,32,16,inf,1,15,RS,inf,False,True,False,inf,True,inf,False
25,256,10,64,32,32,0.9580719999999999,2,1,RS,0.9577217763176095,True,False,False,0.0005650637132218061,True,0.9584222236823904,False
26,32,1,256,2,4,inf,12,1,RS,inf,False,True,True,inf,False,inf,False
27,4,1,2048,32,4,inf,24,1,RS,inf,False,True,True,inf,True,inf,False
28,16,10,1024,1,1,0.6760909,1,12,RS,0.6760277736705789,True,False,True,0.0001018503313691315,False,0.6761540263294212,False
29,32,10,64,8,4,0.22038370000000002,8,1,RS,0.22021345277400117,True,False,True,0.0002746831083266718,True,0.22055394722599886,False
30,64,10,1,32,16,1.0334979999999998,21,1,RS,1.0329121917159132,True,False,False,0.0009451645359407312,True,1.0340838082840864,False
31,1,1,1,2,16,inf,1,7,RS,inf,False,True,False,inf,False,inf,False
32,16,10,4,16,2,0.45517080000000004,20,1,RS,0.45510759561335656,True,False,False,0.00010197627174985283,False,0.4552340043866435,False
33,2048,10,32,1,1,0.4285246,5,1,RS,0.42696285139870205,True,False,False,0.0025197823794923225,True,0.4300863486012979,False
34,128,1,16,16,1,inf,22,1,RS,inf,False,True,False,inf,False,inf,False
35,2048,1,4,4,2,inf,20,1,RS,inf,False,True,True,inf,False,inf,False
36,1024,1,1,1,8,inf,29,1,RS,inf,False,True,True,inf,False,inf,False
37,1024,10,1024,1,2,0.24008120000000002,30,1,RS,0.24002469331715698,True,False,True,9.116995119007074e-05,True,0.24013770668284307,False
38,1,1,128,2,1,inf,1,28,RS,inf,False,True,False,inf,False,inf,False
39,64,1,2,1,16,inf,1,13,RS,inf,False,True,True,inf,True,inf,False
40,1,10,32,4,8,0.5632904,9,1,RS,0.5632348820005294,True,False,True,8.957477323444713e-05,True,0.5633459179994705,False
