id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,64,512,2048,inf,1,256,512,32,DLMT,False,True,False,True,True,18,1,1,32,9,1,12,inf,False,inf,False,inf
2,1,1024,128,inf,32,1,16,32,DLMT,True,True,False,True,True,1,1,1,1,23,10,1,inf,False,inf,True,inf
3,2048,2048,512,inf,1,256,256,1,DLMT,True,False,False,True,True,14,1,1,32,29,26,1,inf,False,inf,False,inf
4,1,2048,1024,inf,1,512,16,256,DLMT,True,True,True,True,True,10,32,1,1,1,15,21,inf,False,inf,True,inf
5,1,2048,256,inf,1,256,512,512,DLMT,True,False,False,True,False,28,1,1,1,7,30,1,inf,False,inf,True,inf
6,64,1,1,inf,8,512,256,64,DLMT,True,False,True,False,False,5,8,1,1,1,27,17,inf,False,inf,False,inf
7,2048,1024,1024,inf,1,32,16,512,DLMT,False,False,True,True,True,2,32,1,1,1,29,28,inf,False,inf,False,inf
8,1,512,64,inf,32,16,64,64,DLMT,False,True,True,False,True,30,1,1,1,28,28,1,inf,False,inf,True,inf
9,1,1,2048,inf,1,1,512,256,DLMT,True,False,True,True,True,13,1,1,1,1,7,30,inf,False,inf,True,inf
10,2048,2048,1,inf,1,128,1,512,DLMT,False,True,True,False,True,30,1,1,8,1,10,15,inf,False,inf,False,inf
11,1024,1,1,inf,32,256,16,128,DLMT,True,False,False,True,False,26,1,1,1,1,3,7,inf,False,inf,False,inf
12,128,1,1,inf,1,256,64,64,DLMT,True,True,True,False,True,9,1,1,32,1,1,2,inf,False,inf,False,inf
13,1,512,1,inf,1,16,512,1,DLMT,True,True,False,False,True,17,32,1,1,1,29,30,inf,False,inf,True,inf
14,1024,1,512,inf,1,512,512,32,DLMT,False,True,True,True,False,9,1,1,1,13,19,1,inf,False,inf,True,inf
15,2048,128,2048,inf,8,1,64,512,DLMT,False,False,False,False,False,12,1,1,8,5,24,1,inf,False,inf,False,inf
16,512,2048,1024,inf,32,16,1,16,DLMT,True,False,True,False,False,10,1,1,1,10,1,3,inf,False,inf,True,inf
17,2048,1,128,inf,1,1,1,32,DLMT,True,True,False,True,False,30,8,1,1,1,29,26,inf,False,inf,False,inf
18,128,2048,512,inf,1,256,1,64,DLMT,True,False,True,False,False,27,1,1,32,30,1,16,inf,False,inf,True,inf
19,1,2048,128,inf,1,16,512,32,DLMT,False,True,True,True,False,11,32,1,1,3,4,1,inf,False,inf,True,inf
20,512,1,2048,inf,8,64,512,512,DLMT,True,True,True,False,False,29,8,1,1,30,26,1,inf,False,inf,False,inf
21,1,1,64,inf,1,1,128,512,DLMT,True,True,False,False,False,4,32,1,1,29,1,25,inf,False,inf,True,inf
22,512,1024,1,inf,32,256,512,256,DLMT,False,False,False,False,False,9,1,1,1,25,1,28,inf,False,inf,False,inf
23,1024,2048,1,inf,1,1,512,1,DLMT,False,False,True,True,False,20,32,1,1,30,17,1,inf,False,inf,False,inf
24,64,1,128,inf,1,64,16,1,DLMT,False,False,False,True,False,3,1,1,1,28,1,17,inf,False,inf,False,inf
25,1,512,64,inf,1,16,1,1,DLMT,False,True,False,False,False,3,1,1,32,1,29,29,inf,False,inf,False,inf
26,2048,2048,2048,inf,1,16,64,32,DLMT,True,True,False,False,True,2,1,1,1,21,9,1,inf,False,inf,False,inf
27,128,128,2048,inf,1,512,1,16,DLMT,False,False,False,False,True,29,32,1,1,7,18,1,inf,False,inf,False,inf
28,64,512,2048,inf,32,64,512,1,DLMT,True,True,False,True,False,20,1,1,1,11,1,24,inf,False,inf,True,inf
