id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,32,1024,64,64,64,2048,2.3067449587177182,1,False,1024,RS,2048,True,True,True,False,4,1,30,True,4,16,1,2,10,1,8,2.3068869999999997,1,0.00022917460592307613,16,True,3,1,512,2.307029041282281,8,1
2,2,256,512,8,512,16,4.534950411606649,4,False,2048,RS,2048,True,False,True,False,4,2,24,True,2,26,1,2,10,1,32,4.535006,1,8.968834929905654e-05,8,True,1,9,32,4.535061588393352,18,1
3,2,2,4,64,16,256,1.941730423381217,2048,False,1,RS,64,False,False,False,False,2,1,1,True,4,27,256,1,10,5,16,1.941883,4,0.00024617270360456677,8,True,1,20,1,1.9420355766187831,15,1
4,64,1024,128,1024,1,2048,5.916573238173899,8,False,2048,RS,128,True,True,False,False,16,32,15,True,2,2,2048,16,10,1,1,5.916927,32,0.0005707722838400418,1,True,1,17,128,5.917280761826102,1,12
5,8,2048,64,64,4,16,5.505013767879235,2,False,1,RS,256,True,True,False,False,2,8,18,True,16,18,2048,1,10,1,1,5.505191,1,0.0002859527933068247,32,True,1,7,2048,5.505368232120765,13,1
6,2,1,8,8,16,1024,2.6890213620318195,2,False,4,RS,64,False,False,True,True,1,2,1,False,4,28,64,8,10,30,4,2.6893730000000002,4,0.0005673455737025473,4,True,1,7,256,2.689724637968181,1,17
7,16,4,128,16,8,64,inf,64,False,8,RS,1,False,True,True,True,32,1,25,True,1,21,128,16,1,1,4,inf,8,inf,4,False,1,16,256,inf,27,1
8,8,32,32,64,128,16,inf,64,False,32,RS,2048,False,True,True,True,4,1,17,False,1,15,1,1,1,1,2,inf,4,inf,8,False,1,22,2048,inf,1,30
9,32,16,8,512,16,512,inf,2,False,16,RS,64,True,False,False,True,16,8,16,True,1,21,2048,4,1,1,2,inf,4,inf,16,False,1,3,2048,inf,1,14
10,4,128,1,16,4,512,2.020195287598231,1024,False,128,RS,8,False,True,False,True,8,1,1,True,16,14,1,2,10,30,2,2.0202960000000005,1,0.00016249307677559764,1,True,1,23,1,2.02039671240177,6,1
