id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
31,False,True,32,2048,2,8,6.653262655271834,False,DLMT,False,28,1,2,True,10,64,1,3,2,2,0.0006152755480271141,6.653644,True,1,8,32,6.654025344728166,1024
32,True,True,64,64,8,1,4.88600968841467,False,DLMT,True,1,18,4,True,10,128,15,1,1,16,0.00020863604674172472,4.886139,True,2,8,1,4.88626831158533,2048
33,True,True,256,64,1,1,6.752107415400627,False,DLMT,True,17,1,256,False,10,2048,11,1,16,4,0.00017680780525751327,6.752216999999999,True,128,2,8,6.752326584599371,1024
34,False,True,16,8,16,4,6.965557582915988,False,DLMT,False,2,1,512,False,10,128,29,1,16,8,0.0023127276104202986,6.966991,True,16,1,4,6.968424417084012,64
35,True,True,32,2048,1,2,4.924172529273252,False,DLMT,False,1,18,1,False,10,1024,1,8,2,1,0.00035732898007288604,4.924394,True,2048,2,256,4.924615470726748,64
36,True,False,4,16,1,32,6.378651838497812,False,DLMT,True,1,25,512,True,10,1024,1,30,1,1,0.000300359784258725,6.378838,True,1,1,8,6.379024161502188,32
37,True,False,256,256,16,8,6.453444670905954,False,DLMT,True,1,30,16,False,10,512,2,1,32,2,0.023022658056792666,6.467714000000001,True,8,128,128,6.481983329094048,256
38,False,True,128,1,4,1,6.282688072384896,False,DLMT,True,1,16,512,True,10,512,1,10,2,2,0.00015799999999999964,6.282786,True,256,1024,32,6.282883927615104,1024
39,False,False,4,1,16,4,5.85017840324479,False,DLMT,True,28,1,2,True,10,8,1,19,2,1,0.000126810882813801,5.850257,True,2,64,512,5.85033559675521,512
40,True,False,2,1,32,4,5.834464268894381,False,DLMT,False,1,12,512,True,10,4,1,12,1,1,0.00014154857823372123,5.834552,True,512,1,256,5.83463973110562,4
41,False,True,8,512,32,4,6.2563401557177345,False,DLMT,True,1,7,2048,True,10,128,1,18,8,4,0.00010139526616172597,6.256403000000001,True,2048,256,512,6.256465844282267,256
42,True,True,1,16,32,1,5.824683869156073,False,DLMT,False,1,30,64,True,10,256,1,5,16,4,5.990826320283937e-05,5.824721,True,4,1,2,5.824758130843928,64
43,True,False,16,2048,8,2,6.185061038097294,False,DLMT,False,1,30,2048,True,10,1024,30,1,1,32,0.00019193748982411835,6.185180000000001,True,64,8,1,6.185298961902707,64
44,True,False,2,512,4,32,6.348139007422509,False,DLMT,False,12,1,512,False,10,4,24,1,4,32,0.0027073346671587168,6.349817,True,64,1024,16,6.351494992577491,1024
45,True,False,2,32,16,8,5.841514098408793,False,DLMT,True,1,13,256,True,10,16,1,5,2,16,0.0011308602919900697,5.8422149999999995,True,64,512,2,5.842915901591206,512
46,False,True,32,1,2,1,6.5341454907877266,False,DLMT,False,1,8,16,True,10,32,1,20,2,32,0.0004009538626825066,6.534394000000001,True,2,32,1,6.534642509212275,1024
47,False,False,1024,256,4,2,5.9261276349267575,False,DLMT,False,27,1,128,True,10,1,1,30,8,1,0.00011998333217571027,5.926201999999999,True,8,64,8,5.926276365073241,1024
48,True,True,1,64,8,1,5.746128502728747,False,DLMT,True,22,1,4,False,10,32,28,1,1,16,0.006659455232975275,5.750256,True,2,8,1,5.754383497271253,1024
49,False,True,4,16,32,4,6.200516289942567,False,DLMT,True,28,1,1,True,10,64,23,1,4,4,0.00015119523802020643,6.20061,True,1,128,1,6.200703710057433,128
50,False,False,1,16,1,32,7.384831765630934,False,DLMT,True,1,18,512,False,10,128,1,21,16,4,9.879777325423977e-05,7.384893,True,4,8,2,7.384954234369066,64
51,True,True,32,512,16,2,17.273422517712632,False,DLMT,True,20,1,8,False,10,64,15,1,32,1,0.0002863564212664726,17.273600000000002,True,1,2,2,17.27377748228737,64
52,True,True,1,256,1,8,6.566417602970697,False,DLMT,False,26,1,4,True,10,128,28,1,1,4,0.015528354581216841,6.576041999999999,True,4,64,256,6.585666397029302,256
53,True,True,16,256,4,32,4.386411171458502,False,DLMT,True,1,28,256,True,10,64,20,1,1,32,0.00012879829191411997,4.386491,True,16,8,256,4.386570828541498,256
54,True,False,128,1,1,4,7.287713303126182,False,DLMT,False,1,5,256,False,10,256,19,1,2,32,0.0011111687540603997,7.2884020000000005,True,256,128,1024,7.289090696873819,1024
55,True,True,1,1,1,16,7.165275369107837,False,DLMT,False,5,1,64,False,10,2,23,1,1,16,0.007571262510308197,7.169968,True,32,64,16,7.174660630892163,256
56,True,True,16,32,1,32,4.709522848154941,False,DLMT,True,1,8,512,True,10,16,20,1,4,1,0.0009860547652133106,4.710134,True,32,1,1,4.710745151845059,8
