id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,256,2048,1024,inf,32,16,128,256,RS,True,False,False,True,True,10,1,1,inf,inf,11,30,1,False,inf,1
2,512,1,64,0.11556128759196907,8,64,64,128,RS,False,True,True,False,True,14,8,35,0.11566711240803096,0.00015971417326855167,1,29,8,True,0.11561420000000001,1
3,1024,1,2048,inf,32,512,16,1,RS,False,False,False,True,True,26,1,1,inf,inf,1,10,27,False,inf,1
4,1024,2048,512,0.1486691393942129,8,256,32,128,RS,True,True,True,True,True,12,8,35,0.14872588917721563,8.564857481212027e-05,1,29,23,True,0.14869751428571426,1
5,128,512,128,0.2800390553822621,1,32,256,16,RS,False,True,True,True,False,20,1,35,0.2804615731891665,0.0006376772928338592,1,23,1,True,0.2802503142857143,32
6,2048,1024,64,0.09989048414277497,1,1,256,128,RS,True,True,False,False,True,10,1,35,0.09991590442865357,3.8365102765457964e-05,28,26,1,True,0.09990319428571427,8
7,64,1,1,0.10870295623458608,8,512,512,64,RS,True,False,False,False,True,5,1,35,0.10876098662255677,8.758130450021474e-05,1,1,20,True,0.10873197142857143,8
8,1,256,256,0.20896197850409584,8,32,128,128,RS,True,True,False,True,True,4,1,35,0.20914556435304701,0.0002770735937012589,22,1,1,True,0.20905377142857143,1
9,256,128,2048,0.12456920788978593,8,512,32,32,RS,False,False,True,False,True,3,1,35,0.12459570639592837,3.9992387030635716e-05,12,1,4,True,0.12458245714285715,1
10,1024,1,1024,0.10180840290980188,1,64,1,64,RS,False,True,True,False,False,11,8,35,0.10183736851876955,4.3715816966647216e-05,1,3,19,True,0.10182288571428572,8
11,512,128,2048,0.18525969250389535,1,64,32,512,RS,True,True,False,True,False,20,1,35,0.1855435074961047,0.00042834259986270856,1,5,26,True,0.18540160000000003,1
12,1,256,1024,0.15647258343670806,1,32,1,32,RS,False,True,True,False,True,11,1,35,0.15649673084900628,3.644404153308605e-05,1,16,18,True,0.15648465714285717,1
13,256,512,512,inf,1,1,64,16,RS,False,True,False,True,False,21,32,1,inf,inf,1,16,29,False,inf,1
14,1,128,256,inf,1,32,64,256,RS,True,False,False,True,True,18,32,1,inf,inf,1,14,23,False,inf,1
15,128,256,1024,0.17768940568779854,1,256,1,64,RS,True,True,False,False,False,17,8,35,0.1777223657407729,4.9744358720257346e-05,2,14,1,True,0.17770588571428572,1
16,256,1,128,0.2939674899400224,8,1,32,16,RS,False,False,False,True,True,30,1,35,0.29402913863140634,9.304216292430372e-05,22,28,1,True,0.2939983142857144,1
17,64,64,512,0.18580625774162776,1,64,32,1,RS,True,False,True,False,False,29,1,35,0.18598242797265793,0.00026588170762386135,25,28,1,True,0.18589434285714285,1
18,128,256,1,0.1620442258539786,8,512,128,128,RS,False,False,True,True,False,28,1,35,0.1620684598603071,3.6574731993660455e-05,1,23,2,True,0.16205634285714285,1
19,128,1024,64,0.21431449412431874,8,64,16,1,RS,True,False,False,True,False,18,8,35,0.21436270587568135,7.276270630323941e-05,20,19,1,True,0.21433860000000005,1
20,2048,256,256,0.12954553089781923,1,16,64,64,RS,False,True,False,False,False,6,1,35,0.12964749767360934,0.00015389149636370756,6,24,1,True,0.12959651428571428,8
21,1,2048,512,0.09663441690801657,8,64,1,1,RS,True,True,True,True,True,8,1,35,0.09666998309198345,5.3677614381735267e-05,15,1,26,True,0.09665220000000001,8
22,1024,2048,128,inf,32,128,512,32,RS,True,False,True,False,True,7,1,1,inf,inf,19,7,1,False,inf,1
23,512,1024,512,0.126085556649148,8,512,256,128,RS,False,True,False,False,False,18,1,35,0.12616775763656635,0.0001240603408155284,10,1,21,True,0.12612665714285717,8
24,512,1024,64,0.25296080708306523,1,32,1,32,RS,False,False,False,False,True,25,1,35,0.2530707929169348,0.00016599411349287797,26,23,1,True,0.2530158,1
25,1024,1,512,0.18836294666395947,32,64,512,512,RS,False,True,True,True,False,18,1,35,0.1883830533360405,3.034562806826033e-05,7,25,1,True,0.18837299999999998,1
26,256,512,1,0.12476414716615353,1,128,512,32,RS,True,True,False,True,False,15,1,35,0.12479813854813221,5.130087320735316e-05,26,9,1,True,0.12478114285714287,8
27,1024,1,128,0.2900153058464432,32,64,16,16,RS,False,False,False,True,False,2,1,35,0.2901649798678424,0.00022589278656125287,7,9,1,True,0.2900901428571428,1
28,2048,1024,512,0.10276913449346244,1,16,16,256,RS,False,False,False,True,True,22,1,35,0.10281955122082327,7.609052610716663e-05,1,6,26,True,0.10279434285714285,8
29,64,1024,64,0.15879184987960804,1,1,16,32,RS,False,True,False,False,True,25,8,35,0.15887037869182052,0.00011851817737101403,1,20,17,True,0.15883111428571428,1
30,1024,1,256,0.11697924261107855,8,16,512,64,RS,True,True,False,True,False,16,1,35,0.11703435738892147,8.318097309910664e-05,1,1,9,True,0.11700680000000001,8
31,512,512,1,0.2124235675117062,1,512,16,1,RS,True,False,False,True,True,2,1,35,0.21249763248829373,0.00011178121487978083,1,15,22,True,0.21246059999999997,1
32,512,1,512,0.11972373827649466,1,32,32,64,RS,True,False,False,False,False,5,1,35,0.1198144331520768,0.0001368795865879569,15,4,1,True,0.11976908571428573,8
33,1,1,64,0.18623922415899974,8,1,16,1,RS,True,True,False,True,False,26,8,35,0.18631534726957172,0.00011488741605304926,3,1,24,True,0.18627728571428573,1
34,1024,256,512,0.10052247548317775,1,512,32,64,RS,True,False,True,True,True,26,1,35,0.10055421023110797,4.789508943343502e-05,6,1,25,True,0.10053834285714286,8
35,512,128,2048,0.09472945489574898,8,1,32,32,RS,False,True,True,True,False,24,1,35,0.09475184796139387,3.37963258478833e-05,13,17,1,True,0.09474065142857142,8
36,1024,256,1024,0.2822025082316257,1,64,128,512,RS,False,True,True,True,True,18,1,35,0.2823241774826601,0.00018362709772908964,12,22,1,True,0.2822633428571429,32
37,256,512,256,0.13431378260696317,1,128,64,16,RS,False,True,False,True,False,5,1,35,0.13436290310732255,7.413421914999575e-05,15,18,1,True,0.13433834285714286,8
38,512,1,1024,0.13529433422401932,1,256,128,16,RS,True,True,False,True,False,11,1,35,0.13537555149026637,0.0001225756775820301,7,1,17,True,0.13533494285714284,1
39,256,2048,2048,0.17339509098300468,1,64,64,1,RS,True,True,True,False,False,11,1,35,0.17343153758842386,5.5006374398697024e-05,11,1,1,True,0.17341331428571427,1
40,256,64,1024,0.22285909087714476,1,128,32,16,RS,True,True,True,False,True,12,32,35,0.22291085197999813,7.811950029621674e-05,1,9,9,True,0.22288497142857144,1
41,256,1024,64,0.12321842016907972,32,1,32,64,RS,True,True,True,False,False,24,1,35,0.12324043697377746,3.322846087685878e-05,1,6,6,True,0.12322942857142859,1
42,256,1024,2048,0.3022399635265013,8,128,32,64,RS,True,False,False,False,True,24,8,35,0.30237209361635586,0.00019941492790006288,28,1,30,True,0.3023060285714286,1
43,512,1024,128,0.11412308458622047,1,1,512,32,RS,False,False,True,True,False,19,1,35,0.11419234398520808,0.00010452848454671415,25,1,17,True,0.11415771428571428,8
44,1024,1,2048,0.2520946197914556,8,128,512,128,RS,False,True,False,True,False,9,8,35,0.25215418020854447,8.989047303722989e-05,5,25,1,True,0.2521244,1
45,1,1,2048,0.0977302368398069,1,128,64,32,RS,True,True,True,True,False,13,1,35,0.09776598030305024,5.394516989594134e-05,1,17,28,True,0.09774810857142857,8
46,512,2048,1,inf,1,64,32,256,RS,True,False,True,True,False,22,32,1,inf,inf,4,3,1,False,inf,1
47,128,256,1024,0.3858646334758519,1,128,16,16,RS,False,False,True,True,True,5,1,35,0.38590759509557654,6.483904089736359e-05,9,27,1,True,0.38588611428571423,1
48,1024,64,1,0.2856759172958577,1,256,64,64,RS,False,True,True,True,True,12,1,35,0.28589088270414226,0.0003244326212240167,28,25,1,True,0.28578339999999997,32
49,256,2048,1,0.08936496831356024,1,1,256,256,RS,True,True,True,True,False,21,8,35,0.08948668311501119,0.00018369584386442066,8,1,1,True,0.08942582571428571,8
50,1,2048,128,0.1760884253286361,1,128,128,256,RS,True,True,False,False,False,28,1,35,0.1761164889570782,4.235451931166948e-05,25,21,1,True,0.17610245714285716,1
51,256,1024,256,0.14670673964150688,8,128,256,32,RS,False,True,False,False,True,22,1,35,0.14674486035849316,5.753299674348432e-05,1,14,16,True,0.14672580000000002,1
52,256,1024,1,0.23435384967601902,1,16,128,32,RS,True,True,False,True,True,30,8,35,0.2344143788954095,9.135262023877388e-05,24,7,1,True,0.23438411428571426,1
53,1,2048,2048,inf,32,128,32,32,RS,True,False,True,True,True,1,1,1,inf,inf,17,1,7,False,inf,1
54,64,128,512,0.0911837356500392,8,1,64,1,RS,True,False,True,False,False,13,1,35,0.09120665863567506,3.459609792789865e-05,1,7,3,True,0.09119519714285713,8
55,1024,512,2048,0.11789437894663649,8,16,64,128,RS,False,True,False,False,True,8,1,35,0.11794642105336353,7.8543600266713e-05,1,26,4,True,0.11792040000000001,8
56,1,1,512,0.09687163784009357,1,512,128,128,RS,True,False,False,False,True,21,8,35,0.096995110731335,0.0001863492088110107,29,1,2,True,0.09693337428571429,8
57,512,2048,1,inf,32,32,1,64,RS,False,False,False,False,True,5,1,1,inf,inf,19,30,1,False,inf,1
58,1024,1,1,0.2497529174544946,1,64,64,64,RS,True,True,False,False,False,5,1,35,0.24984868254550532,0.00014453171673669765,24,4,1,True,0.24980079999999996,32
59,2048,2048,512,0.1067152536645873,1,32,16,1,RS,True,True,False,True,False,23,8,35,0.1067415463354127,3.968173383308722e-05,1,28,16,True,0.1067284,8
60,1,2048,1024,0.08972136671681825,8,256,32,256,RS,False,False,True,False,False,4,1,35,0.08974350756889603,3.341567712243716e-05,1,16,11,True,0.08973243714285714,8
61,128,1,1024,0.12966875395149427,1,64,16,128,RS,False,False,False,False,False,6,8,35,0.12969838890564858,4.472601397990431e-05,10,1,11,True,0.12968357142857143,1
62,64,512,2048,0.18971966036802912,1,512,32,1,RS,True,True,False,True,False,12,8,35,0.18992685391768516,0.00031270308535708035,9,30,1,True,0.18982325714285714,1
63,256,2048,64,0.24843445314538629,1,16,64,32,RS,False,False,False,False,True,10,32,35,0.24845600399747084,3.2525230394954963e-05,8,1,19,True,0.24844522857142856,1
64,1024,2048,64,inf,32,1,64,16,RS,False,False,False,False,True,14,1,1,inf,inf,1,26,5,False,inf,1
65,1024,64,256,0.12207395714397083,1,32,1,32,RS,False,True,False,False,False,11,8,35,0.12209861428460055,3.721333971926212e-05,18,1,18,True,0.12208628571428569,8
66,2048,1,1024,0.1389248176051779,8,32,512,128,RS,True,False,True,False,True,25,1,35,0.13897221096625065,7.152756568667351e-05,1,24,13,True,0.13894851428571428,1
67,1,256,512,0.17650254953423716,32,16,32,128,RS,False,False,True,True,False,27,1,35,0.1765517361800486,7.423404796689252e-05,1,26,9,True,0.17652714285714288,1
68,128,1024,1,0.09462294685724212,1,1,512,64,RS,False,True,True,True,True,12,8,35,0.09465218457132929,4.412648665472649e-05,12,1,17,True,0.0946375657142857,8
69,2048,64,512,0.13537054616506433,1,256,16,512,RS,True,False,False,False,True,25,1,35,0.1354044252635071,5.1131411328945814e-05,29,1,7,True,0.13538748571428572,1
70,64,2048,2048,0.2823200746651129,1,128,1,1,RS,False,True,True,True,False,2,1,35,0.28253021104917275,0.0003171445045002283,20,13,1,True,0.2824251428571428,32
71,64,1024,512,0.17445376750809222,8,128,512,1,RS,False,False,False,True,True,12,1,35,0.1744903467776221,5.52065952877458e-05,28,1,19,True,0.17447205714285716,1
72,1024,256,1024,0.11747002765273945,1,512,64,32,RS,True,False,True,False,True,29,1,35,0.11749654377583196,4.0018975091160914e-05,25,24,1,True,0.1174832857142857,8
73,1,2048,1024,0.22508325467175852,1,32,128,32,RS,True,False,False,True,True,4,1,35,0.2251723453282414,0.00013445844817531558,11,4,1,True,0.22512779999999996,32
74,1,256,512,0.09605248794720853,8,1,32,128,RS,True,True,True,True,True,5,1,35,0.09609144348136292,5.87929293263695e-05,6,1,29,True,0.09607196571428572,8
75,1,1,128,0.11012314765697738,8,1,256,256,RS,False,True,False,False,True,6,1,35,0.11019582377159402,0.00010968510028481381,19,23,1,True,0.1101594857142857,8
76,256,512,128,inf,32,1,16,16,RS,False,False,False,True,True,12,1,1,inf,inf,1,17,15,False,inf,1
77,256,1,1024,0.15494592021818906,32,512,512,1,RS,True,True,True,False,False,5,1,35,0.15500493692466807,8.906988771722339e-05,1,28,24,True,0.15497542857142857,1
78,1,1,512,0.19227076062577514,1,64,1,512,RS,True,False,False,True,True,14,1,35,0.19229575365993912,3.772028090877267e-05,1,23,23,True,0.19228325714285713,1
79,512,128,1,inf,1,1,1,32,RS,False,False,True,True,True,7,1,1,inf,inf,1,12,24,False,inf,32
80,128,512,2048,inf,32,1,1,32,RS,True,True,True,True,True,25,1,1,inf,inf,25,1,25,False,inf,1
81,512,64,128,0.19303860699902903,1,16,16,64,RS,True,False,True,False,False,14,1,35,0.19307693585811386,5.784713140895613e-05,17,1,26,True,0.19305777142857145,32
82,1024,1024,1024,0.20647643232174887,8,128,128,64,RS,True,True,False,True,True,29,1,35,0.20653436767825115,8.74378799899849e-05,14,20,1,True,0.2065054,1
83,2048,1024,256,0.2418313842450741,1,128,256,16,RS,True,False,False,False,True,16,1,35,0.2418675300406402,5.455238261505995e-05,8,1,19,True,0.24184945714285716,1
84,512,2048,2048,0.13869503853479703,1,64,16,16,RS,False,True,True,False,False,12,32,35,0.13902873289377438,0.0005036221242972065,1,8,16,True,0.1388618857142857,1
85,1,256,1,0.12241738754212397,1,512,256,128,RS,False,False,False,True,False,26,8,35,0.12245352674359031,5.4542430590265e-05,1,16,5,True,0.12243545714285714,8
86,128,256,1,0.11152815509235912,8,16,32,64,RS,True,False,True,False,False,30,1,35,0.11154487347906948,2.523192017897869e-05,1,28,2,True,0.1115365142857143,1
87,2048,256,512,0.2682409717232459,1,256,1,32,RS,False,True,True,True,False,3,1,35,0.26859702827675414,0.0005373718584795038,23,12,1,True,0.268419,32
88,2048,1,1,0.09293141521751194,1,64,64,32,RS,False,True,True,False,True,13,8,35,0.0930065619253452,0.00011341379803036987,1,4,23,True,0.09296898857142857,8
89,256,128,128,0.23627033292480132,8,64,16,16,RS,True,True,True,True,True,24,1,35,0.23631869564662727,7.299055572119996e-05,17,1,12,True,0.2362945142857143,1
90,256,512,128,0.12222405326878935,8,32,256,16,RS,True,False,False,False,True,14,1,35,0.12225354673121064,4.451247016286521e-05,1,7,27,True,0.1222388,8
91,128,2048,512,0.09908101756126649,1,32,128,16,RS,False,True,True,False,True,6,8,35,0.09921579958159064,0.00020341730558692564,1,9,27,True,0.09914840857142856,8
92,512,2048,128,0.10260554123715103,1,128,32,256,RS,False,False,True,False,False,22,8,35,0.10262908733427754,3.553651757886048e-05,1,13,10,True,0.10261731428571429,8
93,1024,512,128,inf,32,128,16,512,RS,True,False,False,False,True,16,1,1,inf,inf,27,1,3,False,inf,1
94,2048,128,2048,0.13188922734217942,1,16,128,64,RS,True,False,True,False,True,22,32,35,0.13191157265782058,3.3724260025770844e-05,1,18,4,True,0.1319004,1
95,1,64,1024,0.2300135176201117,1,16,16,128,RS,True,False,False,True,False,13,1,35,0.23004339666560256,4.509440437706632e-05,19,30,1,True,0.23002845714285713,32
96,1024,2048,2048,0.2542467909419711,1,64,64,64,RS,False,True,False,True,True,24,1,35,0.25454280905802884,0.0004467599419311051,20,1,7,True,0.2543948,32
97,512,256,2048,0.13287270160890924,8,512,256,256,RS,False,True,False,False,True,11,8,35,0.13306706981966215,0.00029334667656726645,27,1,17,True,0.1329698857142857,1
98,512,256,1024,inf,32,256,64,256,RS,True,False,False,True,True,10,1,1,inf,inf,8,1,11,False,inf,1
99,64,512,128,inf,32,16,32,64,RS,False,False,True,False,True,7,1,1,inf,inf,1,20,22,False,inf,1
100,512,1,1,0.12581649382617158,8,1,128,512,RS,True,False,True,True,True,29,8,35,0.12584333474525697,4.0509167518741135e-05,1,10,14,True,0.12582991428571427,1
101,1024,2048,1,0.17521164065617104,1,32,16,32,RS,False,False,False,True,False,9,8,35,0.17534533077240042,0.0002017693692495142,30,1,15,True,0.17527848571428573,1
102,512,256,256,0.2988785693178634,1,64,256,256,RS,True,True,False,False,False,11,1,35,0.29901508782499375,0.00020603806662351814,1,29,10,True,0.29894682857142857,32
103,1024,1024,64,inf,1,64,512,64,RS,False,True,True,True,True,5,32,1,inf,inf,1,6,11,False,inf,1
104,512,256,256,0.13691082147016292,1,32,256,32,RS,True,False,False,False,False,19,8,35,0.13698889281555132,0.00011782775391153386,5,1,11,True,0.13694985714285712,1
105,256,128,128,0.290334697900166,1,128,32,16,RS,True,False,True,False,True,18,8,35,0.29038198781411967,7.137144000914954e-05,5,1,20,True,0.29035834285714285,1
106,64,2048,128,0.10920321827659554,1,64,256,64,RS,True,False,False,True,False,22,1,35,0.10923603886626163,4.953387626624051e-05,1,7,20,True,0.10921962857142858,8
107,256,256,2048,0.12137527171037275,1,1,32,128,RS,False,False,False,False,False,27,8,35,0.12140558543248443,4.57504321380282e-05,1,22,6,True,0.1213904285714286,8
108,1024,1,1024,0.10159213568817088,8,64,128,256,RS,True,False,True,True,False,24,8,35,0.101619407168972,4.115898493423139e-05,17,1,8,True,0.10160577142857144,1
109,2048,128,1,0.2977609557180576,8,32,64,128,RS,False,True,True,False,True,5,8,35,0.29813858713908514,0.0005699333337312013,1,30,30,True,0.2979497714285714,1
110,2048,64,512,0.11827907344199096,8,32,64,1,RS,False,True,True,True,False,21,8,35,0.11830412655800904,3.781095835109863e-05,1,1,3,True,0.1182916,1
111,1024,64,512,0.09227670760556468,8,16,64,32,RS,False,True,True,False,False,4,1,35,0.09230533239443532,4.320144045217463e-05,8,1,19,True,0.09229102,8
112,1,512,1,0.2580136765788232,8,128,16,1,RS,True,False,False,True,True,7,1,35,0.25806215199260535,7.316063400044208e-05,1,22,6,True,0.25803791428571426,1
113,256,2048,1024,0.23158808514794155,8,16,128,16,RS,False,False,False,True,False,4,1,35,0.23164265770920123,8.236264261155889e-05,1,15,30,True,0.2316153714285714,1
114,64,2048,128,0.36261941887222787,1,16,32,16,RS,True,True,True,False,True,2,8,35,0.36264572398491496,3.970051148593678e-05,25,6,1,True,0.3626325714285714,1
115,256,128,2048,0.2319052749858799,1,512,32,128,RS,True,False,True,True,True,14,1,35,0.2320044392998343,0.0001496619319585012,7,19,1,True,0.2319548571428571,32
116,256,1024,64,0.2052625417938495,8,32,128,128,RS,True,False,False,True,False,27,8,35,0.2052887153490076,3.950196068499835e-05,19,10,1,True,0.20527562857142856,1
117,512,256,64,0.09166769944103172,8,64,128,128,RS,True,True,True,True,True,24,1,35,0.09168864913039688,3.161793652666305e-05,15,16,1,True,0.0916781742857143,8
118,1024,1024,2048,0.14629303744052524,8,512,32,256,RS,True,False,True,True,True,5,1,35,0.14635187684518908,8.880229818684415e-05,15,1,20,True,0.14632245714285716,1
