id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,1,256,2,inf,False,1,RS,1,True,False,True,27,5,inf,1,7,1,inf,False,False,inf
2,8,16,8,16,2.91901548979179,False,1024,RS,4,True,False,False,20,30,0.03325536529644496,10,15,1,2.939627,True,True,2.9602385102082103
3,8,64,256,1024,inf,False,1024,RS,2,True,True,True,20,9,inf,1,7,1,inf,False,True,inf
4,8,256,1024,2048,inf,False,1,RS,8,True,False,True,22,12,inf,1,1,13,inf,False,False,inf
5,8,32,4,32,inf,False,256,RS,4,True,True,True,25,23,inf,1,25,1,inf,False,False,inf
6,16,1,1,256,inf,False,256,RS,8,True,True,True,24,11,inf,1,1,1,inf,False,False,inf
7,8,64,8,256,3.585679302156804,False,64,RS,8,False,False,False,19,9,0.0007416933328540039,10,13,1,3.586139,True,False,3.5865986978431965
8,2,4,16,1,11.132829865273079,False,1024,RS,1,False,False,False,27,30,0.04759659756747306,10,6,1,11.162329999999999,True,True,11.191830134726919
9,4,16,1024,16,2.8867927272151155,False,1024,RS,4,True,True,False,30,28,0.0227789382763991,10,19,1,2.900911,True,True,2.915029272784884
10,8,2,64,64,inf,False,1,RS,16,False,True,True,15,15,inf,1,1,25,inf,False,True,inf
11,2,2048,1024,2048,2.947851554581896,False,1,RS,16,True,True,False,10,17,0.08359286976770201,10,1,21,2.999662,True,True,3.0514724454181037
12,4,32,4,2048,inf,False,2048,RS,8,True,True,True,20,28,inf,1,1,13,inf,False,True,inf
13,8,1024,1,1024,inf,False,32,RS,1,True,True,True,9,11,inf,1,1,25,inf,False,True,inf
14,2,128,16,2048,0.28843544644258795,False,16,RS,32,True,False,False,22,10,0.01720303165026444,10,20,1,0.29909779999999997,True,True,0.309760153557412
15,32,1024,64,1,inf,False,256,RS,1,False,True,True,28,10,inf,1,26,1,inf,False,False,inf
16,1,2,256,4,17.030850307795383,False,2048,RS,2,False,False,False,29,10,0.039060803883177,10,6,1,17.055059999999997,True,True,17.079269692204612
17,2,8,16,8,inf,False,256,RS,8,True,True,True,28,7,inf,1,17,1,inf,False,True,inf
18,4,2,2048,2048,79.2328680939339,False,2048,RS,32,False,False,False,12,28,0.00037416573867880094,10,1,13,79.2331,True,False,79.23333190606608
19,1,1,1,1,inf,False,8,RS,4,False,False,True,18,19,inf,1,10,1,inf,False,False,inf
20,1,1,1,32,1.2487824169956174,False,256,RS,1,True,True,True,24,24,0.08521943586412666,10,4,1,1.3016010000000002,True,True,1.354419583004383
21,16,2,64,32,inf,False,64,RS,1,False,True,True,20,28,inf,1,1,9,inf,False,False,inf
22,4,1,128,512,3.338453079608677,False,1024,RS,16,False,False,False,8,20,0.028610943081275788,10,1,24,3.356186,True,True,3.3739189203913234
23,2,1,8,1024,inf,False,64,RS,16,False,True,True,1,26,inf,1,1,29,inf,False,False,inf
24,8,1,128,2,inf,False,128,RS,2,False,True,True,7,12,inf,1,1,20,inf,False,False,inf
25,4,16,4,256,inf,False,1,RS,16,True,False,True,14,1,inf,1,27,1,inf,False,False,inf
26,4,1,1,128,4.567321089984702,False,2048,RS,16,False,False,False,11,19,0.039172482433463475,10,4,1,4.591600000000001,True,True,4.615878910015299
27,2,256,8,1024,0.22085222347070194,False,1,RS,8,True,True,False,12,16,0.02667152149934458,10,1,10,0.2373831,True,True,0.2539139765292981
28,4,1024,2,2048,inf,False,128,RS,1,True,True,True,13,9,inf,1,1,24,inf,False,False,inf
29,4,4,8,1024,0.24432359245492724,False,1,RS,16,True,False,False,16,28,0.023319656970032812,10,3,1,0.25877700000000003,True,True,0.27323040754507283
30,32,2,32,1024,inf,False,256,RS,4,False,True,False,5,14,inf,1,1,26,inf,False,False,inf
31,1,16,8,1024,inf,False,1,RS,8,True,False,True,13,8,inf,1,19,1,inf,False,False,inf
32,8,256,2048,256,3.5603122230893676,False,2048,RS,16,True,True,False,22,22,0.0005433681992902836,10,1,9,3.560649,True,False,3.560985776910633
33,16,32,2,128,inf,False,32,RS,4,False,True,False,12,26,inf,1,1,17,inf,False,True,inf
34,32,8,4,16,inf,False,128,RS,4,True,True,True,5,5,inf,1,16,1,inf,False,False,inf
35,2,4,4,8,inf,False,1024,RS,8,False,False,True,10,1,inf,1,1,17,inf,False,False,inf
36,8,2,8,32,inf,False,1,RS,4,True,False,True,4,4,inf,1,1,28,inf,False,True,inf
37,2,2,32,4,inf,False,1,RS,16,False,False,True,11,24,inf,1,9,1,inf,False,True,inf
38,16,1,2,64,inf,False,8,RS,8,True,False,True,22,17,inf,1,1,12,inf,False,False,inf
39,32,16,16,512,inf,False,64,RS,2,False,False,True,5,18,inf,1,30,1,inf,False,False,inf
40,1,1,64,256,inf,False,256,RS,2,True,False,True,25,2,inf,1,1,19,inf,False,True,inf
41,8,1024,32,1024,inf,False,32,RS,1,True,True,False,18,21,inf,1,1,28,inf,False,False,inf
42,2,1,32,8,3.1307820076364288,False,64,RS,4,True,False,False,8,10,0.0006663370018241763,10,10,1,3.131195,True,False,3.131607992363571
43,8,8,512,128,3.1823816225567545,False,2048,RS,1,True,False,False,21,19,0.00022003636063158536,10,13,1,3.1825180000000004,True,False,3.1826543774432463
44,2,256,8,256,inf,False,16,RS,4,False,False,True,17,6,inf,1,23,1,inf,False,True,inf
45,4,8,512,1,inf,False,512,RS,2,False,False,True,4,21,inf,1,1,19,inf,False,True,inf
46,4,2,4,256,inf,False,32,RS,16,True,False,True,26,11,inf,1,26,1,inf,False,True,inf
47,16,1024,16,1,4.409797712812301,False,512,RS,1,False,False,True,1,19,0.000294108823397064,10,6,1,4.409979999999999,True,False,4.410162287187697
48,32,64,128,64,5.148789737748136,False,1024,RS,1,False,True,False,1,6,0.01994895345625936,10,1,8,5.161154000000001,True,True,5.173518262251865
49,16,4,128,4,inf,False,512,RS,2,False,False,True,15,11,inf,1,21,1,inf,False,True,inf
50,32,128,2048,512,inf,False,2048,RS,2,True,False,True,9,5,inf,1,1,26,inf,False,True,inf
51,32,1024,64,1,6.56326815945863,False,128,RS,2,False,False,False,30,16,0.0013227607493420026,10,27,1,6.564088,True,False,6.56490784054137
52,16,16,1,256,3.5351427401380597,False,1024,RS,4,False,True,False,10,22,0.0001762838619954069,10,24,1,3.535252,True,False,3.53536125986194
53,2,64,32,1,inf,False,1024,RS,8,True,False,True,29,6,inf,1,1,23,inf,False,False,inf
54,4,32,4,1024,2.3509676110315048,False,256,RS,1,True,True,False,2,7,0.00014906374475375078,10,1,9,2.35106,True,False,2.351152388968495
55,4,8,8,1,inf,False,1,RS,16,False,True,True,11,28,inf,1,15,1,inf,False,False,inf
56,4,128,8,2048,inf,False,32,RS,4,True,True,True,2,22,inf,1,1,25,inf,False,False,inf
57,2,1024,16,1024,inf,False,128,RS,32,True,True,True,6,11,inf,1,1,3,inf,False,True,inf
58,4,512,1,1024,inf,False,512,RS,1,False,True,True,29,21,inf,1,1,13,inf,False,True,inf
59,8,2,1024,2,inf,False,1,RS,8,True,False,True,7,1,inf,1,1,24,inf,False,True,inf
60,1,16,1,128,0.6716811765288242,False,4,RS,1,False,False,False,14,10,0.0299121846818316,10,1,30,0.6902206000000001,True,True,0.708760023471176
61,4,256,2048,2048,inf,False,1,RS,1,True,True,True,15,14,inf,1,1,24,inf,False,True,inf
62,2,128,4,1024,inf,False,16,RS,16,True,True,True,15,27,inf,1,1,21,inf,False,True,inf
63,8,16,32,256,0.4394650436398938,False,1,RS,1,False,False,False,3,27,0.025682290967902376,10,19,1,0.45538280000000003,True,True,0.47130055636010626
64,2,32,2,256,1.6785628047148604,False,512,RS,2,True,True,False,25,10,0.03943915974003506,10,1,12,1.7030070000000002,True,True,1.72745119528514
65,2,4,1024,256,inf,False,1024,RS,32,True,False,True,23,18,inf,1,1,25,inf,False,True,inf
66,16,512,8,512,2.754450675797699,False,512,RS,8,True,True,False,3,13,0.0002038160935746391,10,1,26,2.7545770000000003,True,False,2.7547033242023016
67,4,8,32,1,inf,False,1,RS,2,False,False,True,16,10,inf,1,1,2,inf,False,False,inf
68,4,4,2,16,inf,False,256,RS,4,True,False,True,8,1,inf,1,1,14,inf,False,False,inf
69,1,2,4,1,49.025609328574866,False,2048,RS,4,False,False,False,6,20,0.0010336827366267862,10,1,7,49.026250000000005,True,False,49.02689067142514
70,16,64,1,512,inf,False,32,RS,4,False,False,True,24,17,inf,1,19,1,inf,False,True,inf
71,32,8,4,8,0.4652488943198956,False,16,RS,1,True,True,False,6,12,0.016272162819060042,10,20,1,0.4753343,True,True,0.4854197056801044
72,2,2,32,2,inf,False,64,RS,1,False,False,True,5,1,inf,1,9,1,inf,False,True,inf
73,4,32,1,256,2.3979336035621577,False,4,RS,4,False,True,True,19,29,0.0010477599916011713,10,15,1,2.3985829999999995,True,False,2.3992323964378413
74,1,2,4,256,16.76712980153659,False,512,RS,1,True,True,False,1,21,0.010568330047835833,10,1,25,16.773679999999995,True,False,16.7802301984634
75,2,16,256,128,inf,False,1024,RS,16,True,True,True,23,22,inf,1,1,6,inf,False,True,inf
76,4,1,256,16,2.8921890216542057,False,1,RS,4,False,True,False,17,15,0.000354921117996692,10,1,19,2.892409,True,False,2.892628978345794
77,8,64,1,1024,3.828210675777278,False,1,RS,16,True,False,False,16,18,0.0011815587162726869,10,2,1,3.828943,True,False,3.8296753242227224
78,2,4,1,256,inf,False,4,RS,16,False,True,True,3,11,inf,1,5,1,inf,False,False,inf
79,1,32,64,512,3.3266666803451583,False,2048,RS,4,True,False,False,14,22,0.00019735501007069552,10,14,1,3.3267890000000007,True,False,3.326911319654843
80,2,32,4,1024,inf,False,2048,RS,8,True,True,True,16,24,inf,1,1,19,inf,False,False,inf
81,32,16,16,128,inf,False,1,RS,4,True,False,True,16,17,inf,1,15,1,inf,False,False,inf
82,1,256,16,512,1.5360127220202675,False,512,RS,1,True,False,False,11,9,0.04040251482271866,10,7,1,1.561054,True,True,1.5860952779797324
