id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,1,128,8,2048,1,1,inf,8,False,128,RS,256,True,False,False,False,32,1024,1,True,2,30,4,4,1,9,16,inf,32,inf,4,False,7,1,2048,inf,17,1
2,8,1024,2,128,64,64,2.2978697331734668,16,False,1024,RS,64,False,True,True,True,1,4,10,False,1,26,1,1,10,1,32,2.2980909999999994,2,0.0003569999999999983,2,True,1,15,2048,2.298312266826532,1,4
3,1,128,1,1,4,512,2.098232895526232,16,False,256,RS,2,False,False,True,True,4,512,7,True,1,16,512,2,10,1,32,2.098421,4,0.00030349464575173384,8,True,1,13,16,2.098609104473768,23,1
4,256,16,16,256,64,64,2.614079938297572,8,False,256,RS,32,True,True,False,True,32,32,1,False,1,20,2048,1,10,15,32,2.6155660000000003,8,0.0023976663654478553,8,True,1,17,128,2.6170520617024287,17,1
5,64,1,256,1024,2,2048,2.0711696191594546,64,False,2,RS,1024,True,True,False,False,8,1,6,True,2,2,1,1,10,1,32,2.071256,16,0.0001393700111214752,1,True,1,13,512,2.0713423808405453,14,1
6,256,64,16,512,4,1,6.620042827794998,16,False,1024,RS,32,False,True,True,True,4,4,1,True,16,11,2048,1,10,21,16,6.621179,16,0.0018331418384837594,2,True,27,1,16,6.622315172205002,3,1
7,64,1,1,1,1024,16,3.4768240825583856,128,False,1,RS,64,True,True,False,True,2,1,1,False,2,11,1024,2,10,10,16,3.477382,32,0.0009001644294238923,2,True,10,1,128,3.4779399174416143,23,1
8,4,8,256,1024,8,1,2.1303794623355508,32,False,8,RS,512,True,True,True,False,8,128,8,False,1,2,8,32,10,1,2,2.1304780000000005,1,0.00015898427595199745,4,True,1,1,2048,2.1305765376644503,1,15
9,128,2,32,512,1,16,4.681735653746696,4,False,1024,RS,2048,True,False,False,False,32,2,1,True,2,24,32,4,10,30,8,4.682212,32,0.0007685544873332509,1,True,26,1,2048,4.682688346253304,1,2
10,1,256,128,512,8,1,1.8991466112374413,2,False,1,RS,512,False,False,True,False,1,16,16,False,1,29,128,4,10,1,16,1.899396,4,0.00040237296131822643,4,True,17,1,2048,1.8996453887625588,3,1
