id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,2,16,1,4,2.7505527291825165,1,16,RS,256,False,128,4,2048,22,1,True,False,10,2.9478805945999277e-05,2.750571,True,False,2.7505892708174833
2,2,2048,1,16,0.7573205297239911,1,8,RS,8,True,8,19,1024,1,4,True,False,10,0.005077921106122056,0.7604678,True,True,0.763615070276009
3,2,512,1,2,inf,4,1,RS,4,False,256,4,8,1,4,False,False,1,inf,inf,False,True,inf
4,8,1024,2,4,1.45073473111827,4,4,RS,512,True,256,21,1024,14,1,True,False,10,2.624880949678316e-05,1.450751,True,False,1.45076726888173
5,4,256,16,1,0.988884623648746,16,128,RS,16,False,64,11,128,17,1,True,False,10,0.5929832560688455,1.3564127000000001,True,True,1.7239407763512542
6,2,256,16,1,1.42820045887923,1,8,RS,2,True,1,20,256,1,9,False,False,10,0.04754723672307361,1.45767,True,False,1.48713954112077
7,32,2048,2,2,16.985194625324464,2,128,RS,2,True,1024,24,8,1,9,True,False,10,0.04028004965240228,17.010160000000003,True,False,17.03512537467554
8,2,512,2,32,2.6697231956331686,2,256,RS,128,False,32,6,256,3,1,False,False,10,3.1953090617337605e-05,2.669743,True,False,2.6697628043668313
9,4,1024,4,4,1.8777928421024477,16,32,RS,4,False,128,20,16,1,7,True,False,10,0.3794950679468707,2.1130020000000003,True,True,2.348211157897553
10,8,8,8,2,2.172080310412771,16,8,RS,32,False,64,2,32,27,1,False,False,10,0.9063426783181955,2.733827,True,True,3.2955736895872287
11,4,4,2,16,1.403714977947829,2,2,RS,128,True,1,12,1,1,17,False,False,10,0.0163570560003932,1.4138530000000002,True,True,1.4239910220521714
12,2,1,16,1,0.23760979997163698,1,16,RS,4,False,512,9,8,1,5,True,False,10,0.01573294318301569,0.24736100000000003,True,True,0.25711220002836305
13,8,2048,8,1,1.6732831669971455,128,2,RS,16,False,128,1,1,21,8,True,False,10,0.002235953711506596,1.6746690000000002,True,False,1.6760548330028548
14,8,8,8,1,inf,8,8,RS,8,False,256,14,128,14,1,False,False,1,inf,inf,False,False,inf
15,4,2048,1,4,1.082947867615614,2,128,RS,16,True,1024,1,128,12,24,True,False,10,0.0033464811369556266,1.085022,True,True,1.087096132384386
16,1,128,1,8,1.5792171832706128,2,128,RS,16,True,64,15,512,1,2,False,False,10,0.002939385820201199,1.5810389999999999,True,True,1.582860816729387
17,4,512,16,4,1.1738968787366062,64,128,RS,64,True,256,1,512,22,6,False,False,10,0.002676886997988509,1.175556,True,True,1.177215121263394
18,1,1,2,1,inf,8,4,RS,32,False,8,8,128,17,1,False,False,1,inf,inf,False,True,inf
19,16,64,2,4,2.9904020274333996,64,4,RS,2,False,256,5,2,7,1,True,False,10,0.03310122136719429,3.010918,True,False,3.031433972566601
20,8,1024,4,2,1.0845277031915892,2,256,RS,8,True,16,21,2048,1,15,True,False,10,1.661324772581668e-05,1.084538,True,False,1.0845482968084108
21,2,1,16,1,1.075122659841031,2,128,RS,512,True,16,1,1024,11,26,True,False,10,0.00012155657119216835,1.0751979999999999,True,False,1.0752733401589687
22,32,128,2,1,2.904598455656722,256,128,RS,32,False,1,1,2048,5,2,True,False,10,0.003732757157919658,2.906912,True,True,2.909225544343278
23,4,16,2,2,3.8927027356618322,1,4,RS,2,True,256,1,32,27,29,True,False,10,0.11233433749749015,3.9623270000000006,True,False,4.031951264338169
24,2,8,8,1,0.12047747867001828,8,4,RS,1,True,1024,1,2,30,10,False,False,10,0.009000267893790718,0.1260558,True,True,0.13163412132998173
25,16,32,4,1,1.429017512754253,256,1,RS,1024,False,1024,17,1024,2,1,False,False,10,0.0037294381614393288,1.4313290000000003,True,True,1.4336404872457476
26,1,1024,32,2,inf,16,512,RS,4,False,2048,11,8,1,19,False,False,1,inf,inf,False,False,inf
