id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,1,1,256,16,512,1,2.01156186639529,2,False,32,DLMT,256,False,False,False,True,1,1,3,False,8,12,512,4,10,1,32,2.0119770000000003,2,0.000669791758683219,2,True,1,20,64,2.0123921336047106,7,1
2,16,256,8,16,16,32,2.4026273127027373,1024,False,1024,DLMT,256,True,False,False,False,2,1,12,True,32,9,16,4,10,1,4,2.402772,8,0.00023344378338268615,4,True,15,1,2048,2.402916687297263,1,18
3,128,64,256,128,4,2048,1.9458936352786829,16,False,64,DLMT,512,False,True,False,False,2,2048,1,False,4,17,2048,2,10,13,4,1.9459810000000002,1,0.0001409574403854257,32,True,1,27,32,1.9460683647213175,1,23
4,8,256,16,16,4,1,2.506914660431619,4,False,1024,DLMT,128,True,True,True,False,1,64,1,True,8,26,16,4,10,26,32,2.507703,8,0.0012719359260591626,4,True,1,19,2048,2.5084913395683808,8,1
5,512,128,32,2048,1,8,inf,16,False,1,DLMT,1,False,True,False,True,1,2,1,False,1,19,8,32,1,25,4,inf,1,inf,4,False,1,28,1024,inf,1,24
6,2,8,8,256,2,32,2.68374318763052,8,False,512,DLMT,32,False,False,False,False,2,16,6,True,32,14,8,4,10,1,16,2.6841990000000004,2,0.0007354243672873466,1,True,20,1,128,2.6846548123694807,3,1
7,16,2,128,1,8,16,2.0809057191431815,32,False,2048,DLMT,1024,True,True,True,False,2,8,8,False,4,21,2048,1,10,1,32,2.081036,1,0.00021019990485250285,8,True,20,1,256,2.0811662808568188,19,1
8,32,16,512,1,16,256,2.0616639578001346,32,False,32,DLMT,1,True,False,False,True,8,128,3,False,2,9,512,32,10,1,4,2.061713,2,7.912648102874772e-05,4,True,19,1,256,2.0617620421998657,4,1
9,1,32,1,4,512,128,4.811160238069659,128,False,128,DLMT,2,True,False,True,True,4,4,14,True,1,27,512,2,10,1,8,4.8113399999999995,2,0.0002900344807087368,4,True,1,25,256,4.81151976193034,1,29
10,16,1,64,16,2,2048,2.805379223998073,2,False,1024,DLMT,1,False,False,False,True,1,1024,27,True,2,7,128,4,10,1,32,2.805541,4,0.0002610153252205353,1,True,24,1,256,2.805702776001927,1,25
