id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,128,32,8,32,5.0940684497629025,128,2,1,RS,500,10,False,2048,256,128,2,1,1,True,1,5,False,10,0.005998031677141978,5.097786,True,True,5.101503550237098
2,1024,32,4,2,5.167890066431727,2,128,4,RS,500,10,True,256,8,16,1,2,1,True,6,9,False,10,0.00014348867551134116,5.167979000000001,True,False,5.168067933568275
3,1,256,1,2,9.82251107983134,4,64,32,RS,500,10,False,64,2,1024,9,1,4,False,2,1,False,10,0.0003532138162643741,9.822730000000002,True,False,9.822948920168663
4,32,2,1,16,6.141436604592815,2,2,32,RS,500,10,False,128,512,32,2,2,1,False,6,1,False,10,0.00010873821775268936,6.141503999999999,True,False,6.141571395407184
5,1,1,32,2,4.6092651950514965,256,512,16,RS,500,10,False,512,1,1024,2,6,1,False,5,2,False,10,0.01109528891016357,4.616142,True,True,4.6230188049485035
6,32,128,128,128,3.6889328849075174,128,16,16,RS,500,10,True,256,256,16,1,2,2,True,1,11,False,10,0.00010344563789745951,3.6889969999999996,True,False,3.689061115092482
7,512,2048,4,128,2.6040190729456296,2,16,1,RS,500,10,True,512,1,1024,1,2,5,True,7,1,False,10,0.00011282287002205092,2.6040889999999997,True,False,2.6041589270543697
8,4,2048,32,64,3.203406428466126,256,4,2,RS,500,10,True,256,128,32,1,1,2,False,10,3,False,10,0.0003203825837962728,3.2036049999999996,True,False,3.2038035715338733
9,2048,8,8,16,1.887780058428567,16,128,32,RS,500,10,True,256,256,2048,1,18,2,False,3,1,False,10,0.042034769905400914,1.913833,True,True,1.9398859415714327
10,2048,2,2,4,7.027657921588413,4,8,32,RS,500,10,False,64,256,128,1,3,24,True,2,1,False,10,0.00018083141320028167,7.027769999999999,True,False,7.027882078411586
11,8,2048,32,32,3.0179826815877293,512,2,128,RS,500,10,True,1024,64,256,2,5,1,True,3,1,False,10,0.008028974342965676,3.022959,True,True,3.027935318412271
12,256,2048,4,256,3.665879290641824,2,8,1,RS,500,10,True,8,512,1024,1,5,2,False,10,2,False,10,0.002430980049280496,3.6673859999999996,True,False,3.6688927093581754
13,2048,8,2,128,3.7806205397440467,16,128,256,RS,500,10,False,2048,128,256,2,4,1,True,6,5,False,10,0.014684629242851131,3.7897220000000003,True,True,3.798823460255954
14,32,1024,2,16,3.1854008127845006,4,2,64,RS,500,10,True,256,1,256,3,1,2,True,15,1,False,10,0.032961198703930654,3.20583,True,True,3.2262591872154998
15,8,512,256,2048,3.1971766396456,32,4,256,RS,500,10,False,128,1,256,2,4,1,True,2,8,False,10,0.0002909999999999405,3.1973570000000002,True,False,3.1975373603544006
16,128,2048,2,32,2.3291205945271956,2048,1,16,RS,500,10,True,1,256,512,1,16,1,False,4,2,False,10,0.059278315504069375,2.365861,True,True,2.402601405472805
17,128,2048,1024,2,4.94422079277484,256,2,128,RS,500,10,True,1024,32,512,8,2,3,False,2,1,False,10,0.10343291553465951,5.008328,True,True,5.072435207225159
18,64,2048,4,256,6.150840904046731,16,64,256,RS,500,10,True,256,1,512,6,1,3,False,1,1,False,10,0.00032606901110039985,6.151043,True,False,6.151245095953268
19,1024,128,16,32,1.8501231972084207,32,128,32,RS,500,10,True,256,1024,512,1,2,3,False,1,4,False,10,0.0023875680095025594,1.8516029999999997,True,True,1.8530828027915787
20,16,128,16,2,7.723805310187036,16,1,1,RS,500,10,False,2048,4,8,3,1,2,False,2,2,False,10,0.0007916969117029841,7.724296,True,False,7.724786689812964
21,2048,64,8,2,10.657587647998799,256,128,1,RS,500,10,False,1024,128,256,1,2,14,True,1,1,False,10,0.00021354156504012854,10.657720000000001,True,False,10.657852352001203
22,128,8,4,16,5.5123287099402285,8,1,4,RS,500,10,False,128,128,32,1,4,2,True,9,3,False,10,0.00037639872475869323,5.512562,True,False,5.512795290059771
23,64,1,2048,16,3.442883608933828,2,4,4,RS,500,10,False,256,512,16,2,4,2,True,12,1,False,10,0.0047376808672598665,3.44582,True,True,3.448756391066172
24,64,512,512,1,3.1075105854608998,2,32,16,RS,500,10,False,1024,512,1024,1,1,1,False,6,1,False,10,0.00015233187453715308,3.1076049999999995,True,False,3.1076994145390993
25,256,512,256,4,0.33546576400340034,2,16,512,RS,500,10,False,2,2048,1024,1,3,1,True,4,9,False,10,0.03492886336327021,0.3571145,True,True,0.37876323599659967
26,1024,512,16,1,5.497809466249548,64,128,256,RS,500,10,False,2048,1024,256,3,3,4,True,5,1,False,10,0.010476905125083476,5.504303,True,True,5.510796533750453
27,64,128,1,2048,2.69262254141784,32,2,8,RS,500,10,True,256,2048,64,1,5,2,False,3,5,False,10,0.00029922566734823984,2.6928080000000003,True,False,2.6929934585821607
28,8,128,4,2048,2.322797549919587,64,8,8,RS,500,10,True,512,1,8,2,3,1,False,3,10,False,10,0.004124670168631715,2.325354,True,True,2.3279104500804126
