id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,8,2,2,1,0.8830204707246583,512,2,RS,64,True,2048,21,2048,1,4,True,False,10,0.0027622507217846836,0.8847325000000001,True,True,0.886444529275342
2,2,512,1,16,1.7904412471168416,64,128,RS,4,False,64,2,2048,1,22,True,False,10,0.002411689034680862,1.7919360000000002,True,True,1.7934307528831588
3,2,1,4,16,1.076858509835341,256,512,RS,16,True,1,25,2048,1,7,True,False,10,0.002577449126559049,1.0784559999999999,True,True,1.0800534901646588
4,1,256,2,4,1.5013968987905515,32,16,RS,4,True,512,12,16,1,29,True,False,10,0.14128074064075397,1.588962,True,True,1.6765271012094485
5,32,256,2,2,1.6359646376932502,8,2,RS,128,True,2048,1,1024,19,28,False,False,10,0.0019205741329092287,1.637155,True,False,1.6383453623067497
6,2,512,1,2,1.520502623829066,64,16,RS,256,True,512,2,256,29,1,False,False,10,0.0001974461952026759,1.5206250000000001,True,False,1.5207473761709343
7,2,2048,1,4,1.7623138677568961,64,4,RS,256,False,512,1,2048,16,10,True,False,10,3.893584466784491e-05,1.7623379999999997,True,False,1.7623621322431033
8,4,1,16,2,1.8134741721308159,512,64,RS,16,False,2048,1,512,29,1,True,False,10,0.0022811216539237776,1.8148880000000003,True,True,1.8163018278691847
9,8,2048,1,8,inf,64,4,RS,128,False,2048,1,512,30,17,False,False,1,inf,inf,False,False,inf
10,16,16,2,4,1.8784896172618875,1,4,RS,2,True,512,7,32,1,24,False,False,10,5.3860932037942135e-05,1.878523,True,False,1.8785563827381124
11,1,1,4,8,inf,256,512,RS,1,False,256,1,512,27,19,True,False,1,inf,inf,False,False,inf
12,1,512,16,1,0.6458791092454474,4,512,RS,4,True,512,21,1024,10,1,False,False,10,0.003135053773063552,0.6478221999999999,True,True,0.6497652907545524
13,16,256,4,1,inf,64,1,RS,128,False,512,17,128,29,1,True,False,1,inf,inf,False,True,inf
14,4,256,4,4,1.5818848687653402,1024,128,RS,2,False,2048,1,1024,15,12,True,False,10,6.636264009214065e-05,1.581926,True,False,1.5819671312346597
15,1,512,8,1,1.7129155582120072,4,2,RS,128,True,1,11,2048,15,1,False,False,10,0.0017238631036134951,1.713984,True,True,1.7150524417879927
16,4,512,4,1,1.3605391687236525,32,64,RS,8,True,1,1,512,22,11,True,False,10,6.587867636798909e-05,1.3605800000000001,True,False,1.3606208312763477
17,2,32,4,2,0.3528822731904704,2,8,RS,1,True,16,15,64,1,30,True,False,10,0.0050814005362694965,0.35603169999999995,True,True,0.3591811268095295
18,1,128,1,8,0.9568824715450953,128,4,RS,256,True,256,1,1,28,6,False,False,10,0.003848898959442818,0.9592680000000001,True,True,0.9616535284549049
19,8,16,4,1,0.41519707241604464,2,16,RS,32,False,256,17,1,1,3,True,False,10,0.051155181844657734,0.4469028,True,True,0.47860852758395533
20,8,1024,4,8,1.4113531063644091,1,1,RS,2048,False,1,10,1,1,25,False,False,10,0.007124764487335674,1.4157689999999998,True,True,1.4201848936355905
21,2,1,4,8,1.0758716616820927,1,512,RS,1,True,64,1,128,25,12,False,False,10,4.894895300206122e-05,1.075902,True,False,1.0759323383179071
22,16,512,1,1,2.0510871987150794,16,64,RS,512,False,512,1,512,28,10,True,False,10,0.00031591296269703207,2.0512829999999997,True,False,2.05147880128492
23,2,256,4,2,1.2685949596485189,512,16,RS,4,True,1024,6,1,24,1,False,False,10,7.105631569398696e-05,1.2686389999999999,True,False,1.2686830403514808
24,4,64,1,1,1.5633794413309159,1,16,RS,32,False,512,12,512,9,1,False,False,10,0.0028550707521881264,1.5651490000000001,True,True,1.5669185586690844
25,8,4,1,8,3.2556688867761037,4,1,RS,4,False,1,17,2048,1,19,True,False,10,0.004471015544593819,3.2584399999999993,True,True,3.261211113223895
26,16,8,1,1,0.1058527681659533,4,2,RS,4,True,4,5,4,1,3,True,False,10,0.014044032914690134,0.11455719,True,True,0.1232616118340467
27,2,256,4,16,1.0752903149927637,16,256,RS,2,True,2048,22,64,3,1,True,False,10,5.2735187493744837e-05,1.075323,True,False,1.0753556850072363
