id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,1,256,64,1,3,11,RS,18,1.602374794709646,128,2048,256,171,1,0.11127097142857145,1
2,1,128,512,16,23,8,1,RS,24,1.5946156240273892,1024,1024,256,170,8,0.11181239999999999,8
3,1,64,16,1,1,13,25,RS,17,1.8485830504956005,1,64,1024,170,8,0.09645106285714287,8
