id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,1024,False,8,2,1,64,64,8,1.0217571537455024,2,128,RS,False,False,7,True,512,True,2,1,16,1,10,1024,32,2,1.02469,1,False,0.004731961538305205,True,1.0276228462544978
2,2,64,False,16,32,256,16,256,1,inf,2,2,RS,False,True,19,True,2048,True,24,1,1024,16,1,16,1,8,inf,6,False,inf,False,inf
3,16,64,False,2,4,128,32,2048,1,1.577781153461518,16,64,RS,False,True,14,False,64,True,1,27,1024,4,10,128,1,32,1.583676,4,False,0.009510961255309574,True,1.5895708465384821
4,1,256,False,2,1,256,64,256,5,1.6497106104802368,2,8,RS,False,False,21,False,2048,False,5,1,2,8,10,2048,4,16,1.6500800000000002,1,False,0.0005959865770300662,True,1.6504493895197636
5,1,2048,False,2,2048,4,2,128,1,0.6858088508290519,4,1,RS,True,False,11,True,512,True,27,1,1,4,10,16,4,1,0.6876064000000001,2,False,0.0029002316528167265,True,0.6894039491709483
6,4,128,False,2,1,16,64,2048,5,0.6936038015837963,16,128,RS,True,True,13,False,128,True,1,29,2048,4,10,128,32,2,0.6978787,1,False,0.006897277637590067,True,0.7021535984162036
7,8,2048,False,4,8,512,128,1024,6,0.4672616912386843,256,1,RS,False,False,12,True,1,False,1,11,1,2,10,1,32,16,0.4714068,1,True,0.0066878702559185444,True,0.47555190876131576
8,32,1,False,2,8,8,4,1,1,2.5333507745168706,1,256,RS,False,False,24,False,32,False,1,23,256,2,10,64,2,32,2.5351280000000003,5,False,0.002867440670702727,True,2.53690522548313
9,16,64,False,1,4,32,4,64,1,inf,1,64,RS,True,True,3,False,1024,False,1,13,4,32,1,64,1,1,inf,29,False,inf,False,inf
10,16,1,False,32,512,512,2,1024,8,0.12066053321951661,32,2048,RS,True,False,1,False,1,True,1,10,512,32,10,2,16,4,0.1281874,9,True,0.012144122473031968,True,0.1357142667804834
11,4,16,False,2,4,1,128,1024,1,0.643376637314206,128,8,RS,True,False,10,False,256,True,4,1,32,2,10,256,16,4,0.6508639,10,True,0.012080223776486921,True,0.6583511626857941
12,16,512,False,8,8,2,1024,512,2,2.999360437071237,64,16,RS,False,True,1,True,128,True,1,26,8,8,10,1,4,16,3.005156,12,True,0.009350773443945663,True,3.010951562928763
13,32,1,False,2,2048,1,512,4,1,0.5765999632718952,8,2,RS,False,True,6,True,8,True,19,1,1,2,10,512,16,2,0.5895965999999999,6,True,0.020969249591723596,True,0.6025932367281046
14,32,2048,False,8,4,1,2,8,1,2.2253603843632987,2,16,RS,True,False,10,False,2,False,7,1,128,32,10,2048,1,32,2.2259409999999997,3,False,0.0009367865285111135,True,2.2265216156367007
15,2,2048,False,8,2,32,2,1,1,1.0166462460558594,32,2,RS,False,True,9,False,1024,True,1,13,512,1,10,4,32,32,1.0190100000000002,4,True,0.0038137671664641654,True,1.021373753944141
16,4,8,False,1,4,1024,1024,2048,2,0.9178349257244734,128,8,RS,True,False,1,False,1,True,23,1,64,8,10,1,16,32,0.9250167000000001,27,True,0.011587337589368814,True,0.9321984742755268
17,16,64,False,4,32,1,32,128,6,0.8282232085625619,8,16,RS,False,False,1,False,1,True,1,15,256,1,10,512,1,8,0.8316749,8,False,0.005569085354885496,True,0.8351265914374381
18,16,16,False,1,8,64,32,1024,1,1.5225237782326142,4,4,RS,False,True,20,True,4,False,1,19,2048,16,10,1024,2,8,1.529472,2,True,0.011210515420800217,True,1.5364202217673857
19,32,2048,False,2,4,4,1,8,13,1.3996484701018181,2,16,RS,True,True,1,False,2,False,1,2,8,32,10,128,4,1,1.399826,7,False,0.00028643323829471794,True,1.4000035298981819
20,32,1024,False,4,1,1024,16,2048,8,1.2646131405099774,64,256,RS,True,True,1,False,256,False,1,1,1024,1,10,512,1,4,1.264786,1,False,0.00027889783075529746,True,1.2649588594900225
21,32,256,False,4,8,128,64,128,22,0.8384678403203646,16,16,RS,False,False,4,True,512,True,17,1,64,16,10,512,8,1,0.8458987,1,False,0.011989221101055733,True,0.8533295596796354
22,16,512,False,8,16,1,16,8,1,1.1338630703011188,512,128,RS,True,False,27,False,512,True,1,12,512,16,10,1,1,2,1.137736,1,False,0.006248726590274173,True,1.1416089296988814
23,2,256,False,4,2,1024,8,2048,6,1.8223243768091477,8,16,RS,True,False,1,True,32,False,11,1,4,16,10,1,2,2,1.822999,4,False,0.0010884617586300659,True,1.8236736231908524
