id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,4,32,False,16,256,4,16,64,25,0.662847735356774,2,2,RS,True,True,1,False,16,True,1,3,1,4,10,512,4,1,0.6672172,1,False,0.007049854250975683,True,0.6715866646432259
2,1,16,False,4,8,32,32,1,10,0.5427317017105089,1,8,RS,True,True,1,True,16,False,3,1,8,2,10,64,1,4,0.5589912,2,True,0.02623366991025083,True,0.5752506982894912
3,2,64,False,8,32,8,4,1024,9,0.35464046005881106,4,2,RS,True,False,6,False,1,True,1,26,512,16,10,256,16,2,0.3577705,1,True,0.005050121053004572,True,0.3609005399411889
4,16,2048,False,2,64,1024,1,1,1,0.5427768172108636,4,8,RS,False,False,6,True,1,True,16,1,1024,8,10,2048,8,2,0.5537003,19,False,0.01762434711443236,True,0.5646237827891365
5,32,64,False,1,128,4,64,1,2,0.5468899795018263,32,32,RS,False,False,6,True,64,True,8,1,128,8,10,1024,4,32,0.5524627000000001,1,False,0.008991231306667626,True,0.5580354204981739
6,2,512,False,2,1024,1,512,128,1,0.8905743548441712,2,256,RS,False,False,16,True,64,False,1,12,1024,8,10,1024,4,2,0.8928242,5,True,0.00362998255643193,True,0.8950740451558287
7,32,32,False,32,512,1,256,2,1,0.3601772276364999,8,2,RS,False,True,8,True,16,True,1,12,2048,2,10,256,8,1,0.3799846,12,True,0.03195793985287538,True,0.3997919723635001
8,1,512,False,2,1,1,32,16,1,inf,256,32,RS,True,False,11,True,256,False,1,25,1,4,1,1,2,8,inf,10,True,inf,False,inf
9,8,32,False,2,64,256,8,2048,18,0.5565468099814423,2,8,RS,True,True,6,True,2,True,15,1,256,16,10,64,8,8,0.5611834,1,False,0.0074808441127990465,True,0.5658199900185577
10,2,512,False,1,2,1,1,128,1,inf,128,8,RS,True,True,6,False,2048,True,25,1,4,32,1,512,1,2,inf,4,False,inf,False,inf
11,2,2048,False,1,16,32,1,32,14,0.795009603598277,8,512,RS,True,False,2,False,128,True,22,1,1024,32,10,16,1,32,0.8020440000000001,1,False,0.011349552731275352,True,0.8090783964017232
12,1,256,False,16,2,4,32,8,10,3.39183305487726,128,32,RS,False,True,1,True,512,False,1,18,32,4,10,1024,32,16,3.393884,6,False,0.003309069959973686,True,3.3959349451227396
13,16,2048,False,1,1,8,64,32,1,0.9397701163313822,2,4,RS,True,True,9,False,2048,True,7,1,64,1,10,128,2,1,0.9431210999999999,2,True,0.005406599753079575,True,0.9464720836686177
14,8,2048,False,16,1,1024,2,2048,1,inf,2,128,RS,False,False,15,False,512,False,14,1,64,1,1,1,2,4,inf,1,False,inf,False,inf
15,32,1024,False,1,8,1,8,64,4,1.8984851652577237,16,4,RS,False,False,1,False,1,True,1,3,1,32,10,1024,4,32,1.923836,11,False,0.04090196503836954,True,1.9491868347422765
16,16,1024,False,8,128,256,64,512,2,0.7973405514454706,8,512,RS,True,True,16,True,1,False,20,1,512,32,10,512,4,32,0.7994893000000001,1,True,0.0034668695980668044,True,0.8016380485545296
17,2,32,False,8,2,1,8,32,1,1.611372976460692,2,32,RS,True,True,1,False,64,False,27,1,2048,2,10,256,2,2,1.6171669999999998,23,True,0.009348289736631007,True,1.6229610235393075
18,8,256,False,4,32,64,64,512,1,1.3372076217269155,8,2,RS,True,True,20,False,2048,True,22,1,1,1,10,1024,8,32,1.3403779999999998,1,False,0.005115204394743189,True,1.3435483782730842
19,16,16,False,2,1,512,128,512,25,1.1536596083344253,2,4,RS,False,True,1,True,64,False,23,1,256,1,10,256,32,1,1.153708,4,False,7.807688518375223e-05,True,1.1537563916655746
20,2,256,False,2,128,4,128,512,11,1.7589664569684307,4,32,RS,True,False,8,False,1024,True,1,20,1024,4,10,2048,1,32,1.762985,1,False,0.006483664473120128,True,1.7670035430315694
21,4,32,False,16,1024,4,1024,8,1,inf,2,4,RS,False,False,7,False,1024,True,1,6,2048,16,1,1,8,16,inf,1,True,inf,False,inf
22,8,256,False,8,1,32,4,2048,1,0.5501309642157629,1,16,RS,True,True,4,True,4,True,30,1,2048,2,10,1024,1,16,0.5555285999999999,18,True,0.00870874321816873,True,0.560926235784237
23,4,512,False,1,16,8,4,2048,15,0.4785054093241559,2,128,RS,True,True,4,True,1,False,20,1,128,1,10,1,1,16,0.4906859,1,True,0.01965244966639018,True,0.502866390675844
24,2,1024,False,32,256,2,8,32,1,1.444172485188958,256,4,RS,False,False,10,False,1024,False,4,1,512,8,10,1024,2,8,1.4442059999999999,5,False,5.407402333842856e-05,True,1.4442395148110418
25,8,64,False,1,16,4,128,32,5,0.7013686948178495,8,32,RS,False,False,7,True,128,False,1,15,32,1,10,128,16,32,0.7051466000000001,1,True,0.006095410555491739,True,0.7089245051821507
26,4,64,False,2,2,32,1024,1,16,1.7174690201502132,1,2,RS,False,True,1,False,1024,False,1,14,2,4,10,1,32,1,1.7193,3,True,0.0029541699341777664,True,1.721130979849787
27,4,2048,False,32,1,64,1024,256,3,0.8455596202130717,16,32,RS,False,True,1,False,1,True,1,22,1,1,10,1024,1,32,0.8542210000000001,25,False,0.0139745872998096,True,0.8628823797869285
28,1,32,False,1,256,4,8,4,2,1.3195343600174563,2048,2,RS,False,False,1,True,1,False,1,2,256,16,10,16,32,16,1.319726,12,False,0.0003091989650694257,True,1.3199176399825436
29,1,64,False,4,2,64,16,2048,1,0.17225112417968863,4,4,RS,False,True,21,True,4,True,1,30,256,4,10,32,32,1,0.1852967,2,True,0.02104820971508028,True,0.1983422758203114
30,32,16,False,2,1,2,64,1,2,0.3532432109689874,4,1,RS,True,False,30,False,4,True,1,30,2048,16,10,256,2,4,0.36085010000000006,1,True,0.012273233302190587,True,0.3684569890310127
31,4,64,False,8,128,256,1024,512,4,1.1179412731584668,1024,16,RS,True,False,13,True,1,False,1,22,512,32,10,2048,2,16,1.118536,1,False,0.0009595540630938606,True,1.1191307268415331
32,32,1024,False,32,4,512,8,512,1,2.159577926266433,2,16,RS,False,False,4,False,1024,False,18,1,16,2,10,1024,4,8,2.1619289999999998,6,True,0.0037933084504163553,True,2.1642800737335666
33,8,32,False,32,2,16,1,1024,12,6.985416958867729,4,8,RS,False,False,1,True,512,True,13,1,2048,16,10,32,32,16,6.992742,6,False,0.011818489582006698,True,7.0000670411322705
34,1,128,False,8,1,64,1,512,1,0.6758401162094942,16,64,RS,True,True,5,False,16,False,18,1,256,2,10,128,4,2,0.683342,9,True,0.012103814002206068,True,0.6908438837905058
35,1,512,False,16,16,128,1,512,6,0.1960450422780811,32,2,RS,False,False,1,False,32,True,14,1,512,2,10,1,16,16,0.2185978,5,True,0.0363874451172379,True,0.24115055772191893
36,4,2048,False,32,4,1,16,8,24,1.50652759953624,1,32,RS,False,True,1,False,32,False,1,29,4,4,10,1024,8,16,1.5068949999999999,3,False,0.0005927773612411574,True,1.5072624004637598
37,32,2048,False,1,64,1,32,2,2,1.4268720719550705,32,4,RS,False,True,1,False,1,False,2,1,1024,32,10,2048,8,1,1.4269450000000001,19,False,0.00011766477807739329,True,1.4270179280449298
38,4,128,False,32,4,64,32,2048,1,1.7637293095560678,128,2,RS,True,True,7,True,256,False,8,1,128,2,10,256,32,16,1.763753,13,False,3.8223029707270575e-05,True,1.763776690443932
39,2,256,False,2,128,2,8,32,1,0.9358231443404786,16,4,RS,True,True,11,True,512,False,29,1,512,32,10,64,2,8,0.9358747,7,False,8.318178887232977e-05,True,0.9359262556595213
40,1,2048,False,4,256,4,1,1024,1,0.6867664412463937,64,512,RS,False,False,9,True,256,False,1,8,2048,32,10,16,4,2,0.6996944,9,True,0.020858442032903612,True,0.7126223587536064
41,32,16,False,8,128,512,64,1024,1,0.48173410798585603,16,16,RS,False,False,5,True,64,True,11,1,1,1,10,64,32,2,0.48963349999999994,2,False,0.012745168325683265,True,0.49753289201414386
42,2,64,False,8,8,8,64,2048,5,1.285557619360244,4,4,RS,False,False,1,True,32,False,1,24,16,1,10,512,2,16,1.287175,16,True,0.0026095411474050595,True,1.2887923806397559
43,2,2048,False,4,32,1,8,4,10,0.79806805029073,64,512,RS,False,False,1,True,1024,True,1,7,32,16,10,128,4,1,0.7995484000000002,11,False,0.0023884504265318167,True,0.8010287497092703
44,8,128,False,1,2,4,64,8,15,1.8088002914855545,2,2,RS,False,True,1,True,16,False,1,19,8,8,10,1,1,1,1.809279,4,False,0.0007723658459564122,True,1.8097577085144456
45,16,256,False,8,64,2,64,256,18,inf,4,32,RS,False,False,1,True,1024,False,19,1,128,32,1,2048,1,2,inf,2,False,inf,False,inf
46,8,1,False,4,512,256,2,2048,1,0.13199746944499474,32,128,RS,True,False,8,False,32,True,1,28,1024,4,10,16,16,2,0.1412784,5,True,0.01497419319496046,True,0.15055933055500526
47,4,64,False,32,1,1,16,16,1,1.007773803943894,256,32,RS,True,True,5,False,256,True,28,1,32,1,10,2048,2,8,1.0102659999999999,12,True,0.004021000373041505,True,1.0127581960561058
48,32,32,False,1,16,16,512,256,2,1.2947216262598096,2,16,RS,False,True,8,False,4,False,1,30,128,8,10,2048,2,4,1.2947790000000001,1,False,9.256889326338905e-05,True,1.2948363737401907
49,32,32,False,1,2,256,1,2048,21,0.5879962102717903,8,32,RS,True,False,3,True,256,False,22,1,8,4,10,16,32,2,0.5936337999999999,1,True,0.00909589369770778,True,0.5992713897282095
50,8,128,False,2,16,128,4,512,30,0.4034602448196115,16,128,RS,False,False,1,True,512,False,1,22,64,4,10,32,16,32,0.40977579999999997,1,True,0.010189747983144629,True,0.4160913551803884
51,4,32,False,2,16,4,8,1,1,1.2641088853256277,4,4,RS,True,False,4,False,4,False,23,1,1,32,10,256,1,2,1.264149,15,False,6.472248450115166e-05,True,1.2641891146743722
52,16,16,False,32,4,8,2048,128,1,1.2487746368701405,64,2,RS,True,True,4,True,256,True,1,13,32,16,10,1,2,8,1.2548059999999999,26,True,0.009731222122631866,True,1.2608373631298593
53,4,32,False,1,2,16,1,128,1,1.1681865571163181,256,8,RS,False,True,23,False,1,False,1,25,2048,2,10,1,1,16,1.2006090000000003,3,True,0.05231155655302182,True,1.2330314428836824
54,2,2,False,2,8,8,2,256,1,0.22134153826830724,1,2,RS,True,True,2,False,2,True,1,13,64,8,10,4,16,16,0.23878280000000002,30,True,0.02814037032023566,True,0.2562240617316928
55,1,64,False,8,2,8,2048,128,1,4.577413159060667,128,8,RS,False,True,13,False,1024,True,19,1,8,16,10,2048,1,1,4.582310999999999,8,True,0.007902355914535787,True,4.587208840939331
56,1,512,False,8,8,1,64,2,1,1.380752943422907,1,512,RS,True,True,7,True,4,True,11,1,128,16,10,2048,16,32,1.387017,6,True,0.010106658250875986,True,1.3932810565770928
57,8,1024,False,8,128,8,4,1,25,0.4621651872831504,16,128,RS,True,True,1,True,16,True,28,1,1,2,10,1024,4,4,0.47119239999999996,2,False,0.014564835544557318,True,0.4802196127168495
58,16,256,False,32,1,8,2,64,24,0.6747496973050301,64,1,RS,False,False,1,False,64,False,2,1,64,32,10,64,16,4,0.6895683,5,True,0.023908876197136494,True,0.70438690269497
59,2,128,False,4,64,4,2,16,22,0.5010553166348335,1,1,RS,True,True,2,True,1,False,1,10,1024,32,10,32,2,4,0.5108328999999999,1,True,0.01577551102468635,True,0.5206104833651664
60,8,16,False,16,8,32,1,32,11,1.3804546822368622,8,4,RS,True,False,3,False,1024,True,25,1,16,32,10,1024,16,4,1.384961,1,True,0.007270658085758104,True,1.389467317763138
61,32,256,False,2,16,128,256,1024,1,1.5414188157605668,1024,8,RS,True,True,3,False,1,False,22,1,1,32,10,1024,16,1,1.541522,14,False,0.0001664812301732097,True,1.5416251842394333
62,32,1,False,16,64,2,4,1024,1,0.5238620041348395,2,32,RS,False,False,25,True,8,True,1,18,1,1,10,4,2,16,0.5285081,1,False,0.007496181193781258,True,0.5331541958651606
63,16,2,False,8,8,256,1,1024,1,1.398884505173891,8,2,RS,True,True,21,False,64,False,1,13,64,1,10,2048,1,1,1.398957,4,False,0.00011696580696937896,True,1.399029494826109
64,4,256,False,2,32,512,16,512,5,0.831448991927988,512,2,RS,False,False,1,False,2048,False,1,25,128,2,10,1,1,4,0.8530934,9,True,0.03492188053126577,True,0.874737808072012
65,1,1024,False,2,16,2048,4,2048,1,0.7925071038357566,1,4,RS,True,False,1,False,128,True,28,1,1024,16,10,64,8,4,0.7963451,21,False,0.00619236354633674,True,0.8001830961642434
66,32,32,False,8,32,256,2,1024,28,1.2873625966429216,64,2,RS,False,True,1,True,256,False,1,10,64,4,10,16,1,8,1.287406,1,False,7.002856560004857e-05,True,1.2874494033570785
67,4,8,False,1,32,4,2048,1,22,1.36217056306344,128,2,RS,True,True,1,False,1024,True,1,24,1,1,10,1,1,4,1.3642450000000002,3,True,0.003346972512585065,True,1.3663194369365603
68,16,256,False,1,16,2,256,1,14,1.634044030304544,8,128,RS,False,False,1,False,128,True,4,1,1,32,10,2048,32,4,1.6362389999999998,6,True,0.003541444479305035,True,1.6384339696954555
69,1,16,False,32,64,4,4,128,1,0.8104517489704081,16,4,RS,False,False,4,True,32,True,1,26,512,8,10,1024,16,16,0.8304191,26,True,0.03221605529064661,True,0.8503864510295919
70,1,2048,False,4,1024,128,2,1024,19,0.48805778919965814,2,2,RS,False,False,1,True,16,True,15,1,1,16,10,4,32,2,0.5062924,6,False,0.029420388757458643,True,0.5245270108003418
71,16,1024,False,2,128,64,128,512,25,0.8838004374229943,16,64,RS,False,True,1,True,1024,False,6,1,512,4,10,128,16,16,0.8839491,3,False,0.00023985764528152153,True,0.8840977625770058
72,8,1,False,8,256,16,8,1,3,0.4138329513004655,4,1024,RS,False,False,1,True,8,False,1,9,2048,8,10,16,16,2,0.41972519999999996,29,True,0.009506769806827126,True,0.42561744869953444
73,4,1,False,2,64,8,64,512,12,1.0974729161796317,2048,64,RS,False,False,1,False,2048,True,8,1,2048,32,10,1024,8,16,1.100299,5,True,0.004559707117787257,True,1.1031250838203681
74,1,1,False,1,32,2,4,4,1,1.3027064113068143,1,4,RS,True,False,9,True,32,False,21,1,64,4,10,1,32,8,1.3029069999999998,13,False,0.0003236371424913804,True,1.3031075886931853
75,4,16,False,2,1024,32,4,64,1,0.6859682652192726,16,2,RS,True,True,2,True,16,True,1,28,1024,1,10,128,32,32,0.6974947000000001,11,False,0.018597171935807878,True,0.7090211347807277
76,32,4,False,2,32,64,256,1024,13,0.6544283887857352,1,4,RS,False,True,2,True,16,True,1,27,64,32,10,256,1,16,0.6747409,1,False,0.03277294937124212,True,0.6950534112142648
77,32,1,False,2,512,2,4,4,25,2.3024070805814123,2,1024,RS,False,False,1,False,2,False,1,28,512,4,10,256,32,1,2.3025119999999992,1,False,0.00016928083175605707,True,2.302616919418586
78,16,512,False,8,1,2,1,64,3,0.20307280431790636,2,4,RS,True,True,30,False,32,True,1,8,1,1,10,16,32,1,0.2232291,1,True,0.03252090551153211,True,0.24338539568209366
79,16,128,False,4,16,16,1024,256,5,1.339863157049654,2048,1,RS,False,False,1,True,1,True,1,30,128,1,10,1,2,2,1.342099,11,True,0.003607390885390705,True,1.3443348429503459
80,8,4,False,32,4,1,128,4,7,1.1829726473891804,512,1,RS,False,True,16,True,1,True,14,1,32,16,10,256,2,2,1.1845700000000003,1,False,0.0025772271921582816,True,1.1861673526108203
