id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
31,False,True,128,32,2,8,4.381909147167242,False,RS,False,1,4,1024,True,10,128,26,1,4,2,7.72075125877398e-05,4.381957000000001,True,256,4,16,4.382004852832759,8
32,True,True,16,64,4,2,5.653988111708981,False,RS,True,1,5,64,False,10,16,26,1,32,4,0.00019343215864988186,5.654108,True,8,256,16,5.654227888291019,2048
33,True,False,2,2048,32,2,5.826067360024073,False,RS,True,1,27,1024,True,10,16,15,1,2,16,0.0012804877976770603,5.826861,True,64,16,64,5.827654639975927,128
34,False,True,32,1024,8,8,6.310960821097005,False,RS,False,21,1,1,True,10,32,1,11,2,8,0.00010677546534647462,6.311026999999999,True,512,256,16,6.311093178902993,256
35,True,True,32,1,2,32,7.662806893255113,False,RS,False,1,15,2048,False,10,64,1,7,2,8,0.0012183168717537416,7.663561999999999,True,2,256,256,7.6643171067448845,512
36,False,False,1,64,32,1,6.026561191102913,False,RS,True,1,24,1024,True,10,2,11,1,8,8,0.00017555625878915566,6.02667,True,4,64,4,6.026778808897087,512
37,False,False,16,512,32,1,6.106894276646409,False,RS,True,1,21,2048,True,10,64,1,15,4,32,0.0001689644933116052,6.106999,True,64,32,4,6.107103723353591,1024
38,False,False,128,8,8,2,6.040989944276549,False,RS,True,29,1,128,True,10,1,1,29,16,4,0.0014828381570488227,6.0419089999999995,True,16,32,8,6.04282805572345,256
39,False,False,256,1024,8,8,5.8663439339970544,False,RS,False,1,16,1024,True,10,1,1,26,2,2,0.00033086099800357766,5.866549,True,256,1,256,5.866754066002946,32
40,True,False,8,8,16,4,5.8870435754126635,False,RS,False,1,13,128,True,10,128,1,5,2,2,0.0013220896338750276,5.887863,True,128,256,1,5.888682424587337,256
41,True,True,64,1,32,1,4.757382829937056,False,RS,False,20,1,256,False,10,64,3,1,4,2,0.0019864148609997053,4.758614,True,1,64,32,4.759845170062944,1024
42,True,False,1,1024,16,2,5.830153876782898,False,RS,False,8,1,2048,True,10,16,1,28,16,4,0.0001792902674435663,5.830265,True,2048,1,2,5.830376123217102,8
43,True,True,32,2048,1,1,3.11511523976456,False,RS,True,11,1,512,True,10,2048,1,21,16,1,0.005228761229966472,3.118356,True,512,2,1,3.1215967602354397,2
44,False,False,1,1024,1,4,5.881764167360913,False,RS,True,4,1,1,False,10,256,16,1,4,32,0.0002530395226047905,5.881921,True,2048,4,128,5.882077832639087,64
45,False,False,32,1024,1,1,6.950426045180396,False,RS,True,30,1,1024,False,10,32,1,21,32,1,0.007534676104518321,6.955096,True,512,1,32,6.959765954819605,1
46,True,True,1,16,2,16,7.370992633468971,False,RS,False,3,1,64,True,10,1,7,1,1,8,0.00046848799344265026,7.371283000000001,True,4,512,16,7.371573366531031,1024
47,False,True,8,1,16,1,4.390567928570443,False,RS,False,8,1,1,True,10,2048,1,18,1,2,0.00010660206376982162,4.390634,True,64,8,32,4.390700071429558,16
48,True,False,1,256,2,32,7.891851983883361,False,RS,True,1,9,16,False,10,1,1,25,4,32,0.0027606160544343845,7.893563,True,8,4,4,7.895274016116639,8
49,False,False,1,128,16,2,9.503080126678357,False,RS,False,14,1,1024,False,10,512,1,4,4,2,0.007879820048706878,9.507964,True,1024,128,2,9.512847873321642,1024
50,False,False,8,8,4,4,5.8350158283968065,False,RS,False,24,1,1024,False,10,2048,1,2,2,4,9.869650449727146e-05,5.835077,True,512,4,4,5.835138171603194,512
51,False,True,256,32,4,8,4.458066329685,False,RS,False,21,1,1024,True,10,256,1,19,1,1,0.0001462908062730353,4.458157,True,512,4,1,4.458247670315,1
52,False,False,512,1024,8,16,4.406722601623816,False,RS,True,24,1,1024,True,10,2048,1,28,4,4,0.00021684326136649947,4.406857,True,256,1,512,4.406991398376183,2
53,False,True,256,32,8,1,4.827831981021239,False,RS,False,1,15,1,False,10,512,17,1,4,1,0.00030174326835913476,4.828018999999999,True,128,4,8,4.82820601897876,2048
54,True,False,4,1,16,8,8.718236682837501,False,RS,False,27,1,1,False,10,1,19,1,1,32,0.01538462986230071,8.727772,True,8,2,32,8.737307317162498,8
55,True,False,32,64,8,16,5.904740452872167,False,RS,True,1,2,8,True,10,128,8,1,2,1,0.00012995768542091291,5.904821,True,8,32,4,5.904901547127833,64
56,False,True,2,256,1,4,5.8677222416035315,False,RS,True,1,30,16,True,10,64,1,5,2,32,0.000428784328071819,5.867988,True,2,512,64,5.868253758396469,2048
57,False,True,16,256,4,32,4.473549042955763,False,RS,True,19,1,256,False,10,2048,1,24,16,1,0.0001402996792584355,4.473636000000001,True,16,1,256,4.473722957044239,4
