id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1024,2048,256,inf,32,False,64,1,DLMT,False,False,False,True,True,28,1,1,1,1,29,1,24,inf,False,inf,inf
2,1024,2048,256,0.19362461030655248,1,False,1,1,DLMT,False,True,False,False,False,15,32,256,35,1,29,1,1,0.00022799224834656583,True,0.19370014285714285,0.19377567540773322
3,2048,1,1024,0.2573456852468,1,False,1,512,DLMT,True,False,True,True,False,3,1,256,35,32,18,1,29,0.0003874858849305483,True,0.2574740571428571,0.25760242903891417
4,1,1,2048,0.2763770975211885,8,False,512,512,DLMT,False,True,True,False,False,18,8,1,35,1,1,2,30,0.00013501904325248311,True,0.27642182857142855,0.2764665596216686
5,256,2048,1,inf,1,False,16,1,DLMT,False,True,True,True,True,3,1,1,1,32,17,1,13,inf,False,inf,inf
6,512,1,512,0.2235422826902555,1,False,512,1,DLMT,False,False,True,False,True,2,1,512,35,1,27,29,1,0.00013765106432644784,True,0.22358788571428573,0.22363348873831596
7,512,512,128,0.26207565844542136,1,False,512,256,DLMT,True,False,True,False,True,6,1,128,35,32,29,26,1,0.00024130066603424453,True,0.26215560000000004,0.26223554155457873
8,512,1,256,0.10613339144812807,32,False,1,1,DLMT,True,False,True,True,False,14,1,128,35,1,1,1,2,2.9606755985753006e-05,True,0.10614320000000002,0.10615300855187197
9,1,2048,2048,0.22434905517278603,8,False,64,128,DLMT,False,False,False,False,False,5,8,256,35,1,18,29,1,3.217414350381269e-05,True,0.22435971428571433,0.22437037339864263
10,1,512,1,inf,32,False,1,16,DLMT,False,True,True,True,True,30,1,256,1,1,9,1,27,inf,False,inf,inf
11,512,1,1,inf,1,False,128,512,DLMT,True,False,True,True,False,3,32,64,1,1,3,16,1,inf,False,inf,inf
12,1024,1024,2048,0.12202168153578434,8,False,32,128,DLMT,True,False,False,True,False,19,1,128,35,8,28,12,1,0.00017982679648676883,True,0.12208125714285714,0.12214083274992994
13,1,512,128,0.12287853111290137,8,False,64,1,DLMT,True,True,False,False,True,10,8,64,35,1,1,13,13,4.893455854923149e-05,True,0.12289474285714286,0.12291095460138435
14,1024,1024,512,0.09757273860246408,1,False,128,32,DLMT,False,False,True,False,True,1,8,1,35,8,1,2,3,3.934773431747117e-05,True,0.0975857742857143,0.09759880996896451
15,2048,1,1,0.12016683496413019,1,False,64,1,DLMT,False,False,False,False,False,15,8,64,35,8,1,30,26,5.4571772624195447e-05,True,0.1201849142857143,0.12020299360729841
16,1024,1024,256,inf,1,False,512,32,DLMT,False,False,False,True,True,8,32,64,1,1,21,1,29,inf,False,inf,inf
17,1,1,512,0.1046092576847932,1,False,64,256,DLMT,True,False,False,False,True,30,1,512,35,8,1,24,28,4.4585382431135595e-05,True,0.10462402857142858,0.10463879945806395
18,256,1,1024,inf,32,False,512,128,DLMT,True,True,False,False,True,2,1,1,1,1,1,23,12,inf,False,inf,inf
19,2048,2048,512,0.16618956767293175,32,False,1,256,DLMT,False,False,True,False,False,2,1,16,35,1,24,12,1,0.00019422790316364519,True,0.16625391428571426,0.16631826089849677
20,2048,256,256,inf,1,False,32,64,DLMT,True,True,True,True,False,8,32,1,1,1,30,1,20,inf,False,inf,inf
21,256,1,512,0.18985612185855055,8,False,256,16,DLMT,True,False,True,False,True,28,1,64,35,1,7,1,3,7.319644242497984e-05,True,0.18988037142857145,0.18990462099859234
22,2048,2048,512,0.1160103623515926,1,False,32,512,DLMT,False,False,True,False,False,30,32,512,35,1,1,12,8,2.6072426595379556e-05,True,0.11601899999999998,0.11602763764840737
23,256,2048,1,0.15691790728730604,1,False,1,64,DLMT,True,False,False,False,False,25,8,512,35,1,1,4,26,0.00019096050238043313,True,0.15698117142857143,0.15704443556983683
24,2048,1,128,0.19098740140753223,1,False,512,256,DLMT,True,True,False,True,False,24,8,16,35,1,26,8,1,0.00026191214292629693,True,0.19107417142857144,0.19116094144961066
25,1,2048,1,0.19929114733098593,1,False,16,32,DLMT,True,False,True,False,True,12,1,512,35,1,8,14,1,6.846249680947862e-05,True,0.19931382857142857,0.1993365098118712
26,128,1,64,0.10777026490126779,1,False,1,128,DLMT,False,False,True,True,True,30,8,32,35,8,26,1,6,3.26622293251673e-05,True,0.10778108571428573,0.10779190652730367
27,1,256,256,0.24598044339923344,1,False,128,512,DLMT,False,False,False,True,True,17,1,32,35,32,30,1,1,0.0003576862905521826,True,0.24609894285714284,0.24621744231505224
28,1,256,2048,inf,32,False,256,1,DLMT,False,False,False,True,False,28,1,512,1,1,25,27,1,inf,False,inf,inf
29,2048,1024,1,0.09534684607699938,1,False,256,512,DLMT,False,False,True,False,False,12,1,32,35,1,4,1,4,6.149794328732862e-05,True,0.09536722,0.09538759392300063
30,512,128,512,0.10849922851063373,1,False,64,512,DLMT,False,True,False,False,True,11,1,1,35,8,14,2,1,8.417219473999085e-05,True,0.10852711428571428,0.10855500006079483
31,256,128,1,0.10969864518461898,8,False,1,256,DLMT,False,False,False,False,False,17,1,1,35,1,1,15,12,2.599488175681934e-05,True,0.10970725714285716,0.10971586910109533
32,2048,2048,2048,0.20222647007654568,1,False,1,512,DLMT,False,False,False,False,False,30,32,1,35,1,7,30,1,3.592379689945725e-05,True,0.2022383714285714,0.20225027278059712
33,1,2048,1,0.09298255788157712,8,False,512,32,DLMT,False,True,True,True,False,11,1,512,35,8,8,16,1,0.0001355699030472663,True,0.09302747142857141,0.0930723849755657
34,2048,512,2048,0.2316336797622612,8,False,512,512,DLMT,True,True,True,True,True,3,8,256,35,1,30,7,1,3.8309331734699445e-05,True,0.23164637142857145,0.23165906309488168
35,256,2048,128,0.09591594713351502,1,False,32,1,DLMT,True,True,True,True,False,21,8,1,35,8,25,16,1,0.0005819382339340538,True,0.09610874,0.09630153286648498
36,1,2048,128,0.11630844867360368,1,False,512,512,DLMT,True,False,False,True,False,8,1,32,35,8,1,26,15,9.230430595567491e-05,True,0.11633902857142857,0.11636960846925345
37,64,1,1,0.13298586282646507,8,False,32,32,DLMT,False,True,False,False,False,1,1,512,35,1,30,1,9,0.0001637560505191559,True,0.1330401142857143,0.13309436574496353
38,512,1,2048,0.09836721573392944,1,False,512,512,DLMT,True,False,False,True,True,19,8,512,35,8,21,1,14,7.850155261690886e-05,True,0.09839322285714287,0.09841922998035631
39,1024,64,256,0.0902267528142865,8,False,16,512,DLMT,True,True,True,False,False,24,1,128,35,8,21,1,18,3.501861825500557e-05,True,0.09023835428571429,0.09024995575714208
40,2048,2048,1,0.11763726530496119,8,False,128,256,DLMT,True,True,False,False,True,22,1,512,35,8,3,30,1,5.5946300784131776e-05,True,0.11765580000000002,0.11767433469503885
41,128,512,512,0.18146059792574487,8,False,32,128,DLMT,False,True,True,True,True,8,8,512,35,1,1,30,26,0.0002050892966291431,True,0.18152854285714287,0.18159648778854087
42,2048,1,1024,0.18360913638487053,1,False,1,128,DLMT,False,True,True,True,True,14,1,32,35,1,1,28,6,0.00019837571033012177,True,0.18367485714285714,0.18374057790084375
43,2048,64,128,0.12654632307770786,8,False,1,1,DLMT,False,False,False,True,True,1,1,1,35,8,12,30,1,9.682301969499636e-05,True,0.1265784,0.12661047692229216
44,1,1024,512,0.12481116058418017,1,False,512,16,DLMT,True,False,True,True,False,30,1,1,35,1,14,1,15,5.798723293686005e-05,True,0.12483037142857142,0.12484958227296268
45,1,256,1,0.2046165000771202,1,False,128,64,DLMT,True,False,True,False,True,17,32,32,35,1,15,29,1,0.00023996761686289608,True,0.20469600000000002,0.20477549992287983
46,2048,1,2048,0.2879659844846744,1,False,512,64,DLMT,False,True,True,False,False,21,1,64,35,32,1,21,12,0.00017356536379762948,True,0.28802348571428577,0.2880809869438971
47,512,512,2048,0.10749500429654289,1,False,32,16,DLMT,True,True,True,False,False,1,1,32,35,8,1,28,30,4.0261958548019373e-05,True,0.10750834285714286,0.10752168141774283
48,1,128,2048,0.30154148100007544,1,False,1,16,DLMT,True,True,False,False,False,30,1,64,35,32,1,17,3,0.0002482181726314411,True,0.30162371428571433,0.3017059475713532
49,1,64,2048,0.09179841955208339,8,False,1,1,DLMT,False,False,True,False,True,12,1,1,35,8,29,1,28,4.591649421304154e-05,True,0.09181363142857142,0.09182884330505946
50,1,1,1,0.17724712357163605,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,1,1,1,1,0.000575377359048931,True,0.17743774285714284,0.17762836214264963
51,256,1024,1,0.11471929207630208,8,False,64,1,DLMT,False,True,False,True,False,26,1,1,35,8,10,1,21,4.7586278248577745e-05,True,0.11473505714285712,0.11475082220941216
52,512,1,1,0.09616071901019892,1,False,64,512,DLMT,False,True,True,False,True,29,1,32,35,8,2,1,21,3.6397033518951114e-05,True,0.09617277714285714,0.09618483527551537
53,2048,1024,1,0.1351222030238164,8,False,64,16,DLMT,False,True,False,True,True,9,1,1,35,8,1,30,21,1.6290575715513658e-05,True,0.13512760000000001,0.13513299697618364
54,128,256,1,0.09265218430437684,8,False,64,64,DLMT,False,True,True,False,False,13,1,1,35,8,2,1,21,5.1956324986688367e-05,True,0.09266939714285713,0.09268660998133742
55,1,1024,1,0.10897736081576785,8,False,64,512,DLMT,False,False,True,False,True,18,1,128,35,8,30,1,21,3.539117842350176e-05,True,0.10898908571428573,0.1090008106128036
56,2048,2048,1,0.09502154817526097,8,False,64,128,DLMT,True,True,True,True,True,4,1,256,35,8,29,1,21,3.748188852428575e-05,True,0.09503396571428571,0.09504638325331045
57,512,1,1,0.09364023652270305,8,False,64,64,DLMT,True,False,True,False,False,22,1,64,35,8,1,30,21,2.804771008150774e-05,True,0.09364952857142857,0.09365882062015408
58,1024,1,1,0.09609592284340633,8,False,64,512,DLMT,True,True,True,True,True,30,1,1,35,8,28,1,21,3.7075397640538396e-05,True,0.09610820571428572,0.0961204885851651
59,1,1,1,0.1205494954696885,8,False,64,1,DLMT,True,False,False,True,True,19,1,1,35,8,1,17,21,3.7658226734888274e-05,True,0.12056197142857142,0.12057444738745433
60,256,256,1,0.09267587200992433,8,False,64,256,DLMT,True,False,True,True,False,29,1,512,35,8,19,1,21,3.6038699607335635e-05,True,0.09268781142857142,0.09269975084721851
61,1,128,1,0.11655390143500385,1,False,64,256,DLMT,False,True,True,True,True,12,1,512,35,8,1,30,21,0.0003536302300310826,True,0.11667105714285714,0.11678821285071042
