id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,256,1,64,2048,64,16,4.943262305360542,4,False,1024,RS,64,False,True,True,True,1,1,1,True,32,1,1,4,10,23,16,4.943383000000001,1,0.0001947331507475361,8,True,1,9,1,4.9435036946394595,1,14
2,2,64,8,1,8,1024,1.9977444764980352,2,False,128,RS,16,True,False,True,False,1,8,1,True,2,26,2048,8,10,16,4,1.99792,16,0.0002831960451701159,8,True,9,1,128,1.9980955235019646,1,11
3,2048,8,16,2048,8,1024,2.166298913215088,1,False,32,RS,128,True,False,False,False,8,1,6,True,8,25,32,4,10,1,2,2.166425,1,0.00020343303566531176,16,True,7,1,2048,2.166551086784912,1,15
4,2,8,64,1,32,2048,2.0284614225121222,16,False,8,RS,2048,False,True,True,True,2,1024,1,False,8,19,256,1,10,8,32,2.028861,4,0.0006446929501707885,8,True,24,1,512,2.029260577487878,8,1
5,64,16,16,256,256,32,2.804857981266254,1024,False,2048,RS,512,False,False,True,False,1,4,1,True,32,16,1024,8,10,19,16,2.8050720000000005,4,0.0003453056616969943,8,True,1,28,1,2.8052860187337467,23,1
6,2,256,1,2048,64,4,inf,8,False,256,RS,4,False,True,False,False,16,2,1,False,4,11,1024,16,1,29,8,inf,1,inf,8,False,8,1,2048,inf,1,18
7,16,4,2,64,1,512,2.296832810250798,16,False,8,RS,2048,True,True,True,True,4,4,1,True,16,5,2,1,10,21,16,2.296945,1,0.00018101104938652738,8,True,25,1,1,2.297057189749202,26,1
8,128,2,4,128,4,8,2.5672821606141554,8,False,2,RS,16,False,False,True,True,2,1,1,False,4,16,1,4,10,9,1,2.567393,4,0.0001788323237001891,1,True,6,1,32,2.5675038393858447,26,1
9,4,512,128,32,64,128,3.1814569768577154,256,False,2048,RS,128,True,True,True,True,32,16,23,False,4,17,1,32,10,1,2,3.1816880000000003,1,0.0003727411970791342,2,True,1,23,1024,3.181919023142285,1,23
10,2,16,4,512,2,1024,3.083706505056688,2,False,512,RS,512,False,False,False,True,32,1024,17,False,1,30,512,16,10,1,4,3.0841749999999997,1,0.0007558868963012577,2,True,7,1,2,3.0846434949433115,1,5
11,16,1024,8,64,32,128,2.586304666951375,4,False,1,RS,32,True,True,False,True,4,128,16,False,8,4,32,1,10,1,8,2.5864079999999996,2,0.0001667213243709145,16,True,1,28,32,2.586511333048624,5,1
12,256,2048,64,256,2048,1,5.380606229712577,1,False,2048,RS,2048,True,False,True,False,2,256,1,True,16,23,2048,4,10,28,32,5.380866,2,0.0004191228936720203,8,True,1,30,512,5.381125770287423,18,1
13,4,1,4,16,64,16,2.422480395472228,16,False,64,RS,2048,False,False,False,False,8,4,20,True,8,22,1024,1,10,1,2,2.4225450000000004,2,0.00010423531071567845,32,True,2,1,2048,2.4226096045277727,23,1
