id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,8,4,1,8,2.539514195455187,32,False,64,RS,256,False,True,True,False,4,1,True,1,1,8,10,18,2,2.577639,0.06151195565904249,True,True,2,4,16,2.615763804544813,28
2,16,512,64,1024,2.690130496693608,1024,False,2048,RS,1024,False,False,False,False,1,1,False,3,16,8,10,16,8,2.74316,0.08555974240260422,True,True,2,32,1024,2.796189503306392,6
3,1,4,4,1,27.866341562896974,64,False,8,RS,256,False,True,False,False,24,21,False,1,5,1,10,1,32,27.868870000000005,0.0040794730051807206,True,False,8,16,4,27.871398437103036,4
4,32,128,2,2,2.2762256909963208,32,False,128,RS,2048,True,False,True,True,24,1,True,1,18,4,10,20,4,2.319891,0.07045120842824487,True,True,2,4,2,2.3635563090036795,29
5,32,4,2,512,2.546027575102828,32,False,4,RS,32,False,True,False,True,1,1,True,16,9,1,10,25,2,2.571993,0.04189356729857227,True,True,8,8,1,2.597958424897172,14
6,8,128,2,1,5.457893740706224,32,False,2048,RS,8,False,False,False,True,1,20,True,12,10,8,10,1,8,5.458265000000001,0.0005990033388889955,True,False,8,2,512,5.458636259293778,9
7,16,32,2,16,7.777912094452143,32,False,1,RS,4,False,True,False,False,2,5,False,1,17,1,10,1,8,7.782240999999999,0.00698441472136352,True,False,16,4,128,7.786569905547855,17
8,1,4,256,1,15.557031272844355,32,False,32,RS,256,False,False,True,False,1,25,True,23,26,2,10,1,1,15.557759999999998,0.0011757550765356753,True,False,8,8,2,15.558488727155641,29
9,64,2,64,2,10.326631227110887,256,False,32,RS,1024,True,True,True,True,21,9,False,1,19,32,10,1,4,10.32742,0.0012726350615946303,True,False,4,32,1024,10.328208772889113,1
10,64,2,128,128,2.2378399947041108,1024,False,64,RS,2048,False,False,True,True,3,2,False,1,3,4,10,1,2,2.330373,0.14929613900231975,True,True,16,8,2048,2.422906005295889,17
11,2,256,16,4,1.9298283895136856,2048,False,1024,RS,256,False,False,True,False,12,1,False,1,15,4,10,16,32,2.199985,0.4358805676157174,True,True,2,8,1024,2.470141610486314,19
12,128,512,2,64,6.2556461774624035,1,False,1024,RS,2,True,False,True,True,1,19,True,7,7,8,10,1,8,6.2566429999999995,0.0016083099825593698,True,False,4,16,128,6.2576398225375955,1
13,64,32,8,32,5.403208181225362,1024,False,512,RS,32,False,False,True,False,6,1,True,1,11,2,10,29,1,5.403444,0.00038047864591856414,True,False,4,2,256,5.403679818774639,4
14,4,2048,1,2,2.3598906567973446,128,False,1,RS,2048,False,True,True,False,1,1,True,13,7,1,10,29,8,2.4251419999999997,0.10527890641529287,True,True,8,2,32,2.490393343202655,29
15,2,1,4,8,6.611490355147518,32,False,256,RS,256,False,True,False,False,1,1,False,9,21,8,10,22,4,6.611594000000001,0.00016722440013351936,True,False,8,16,32,6.611697644852484,30
16,64,2,1024,64,13.362707765345016,512,False,32,RS,1024,True,True,False,True,1,14,True,1,20,2,10,1,16,13.363129999999998,0.0006812488532100155,True,False,2,4,1024,13.36355223465498,20
