id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,512,2048,1,inf,1,512,256,64,DLMT,True,False,False,False,True,28,32,1,1,1,3,7,inf,False,inf,True,inf
2,1,128,512,inf,1,512,32,1,DLMT,False,False,False,True,False,9,1,1,32,25,29,1,inf,False,inf,False,inf
3,1,1,1,inf,1,1,512,512,DLMT,True,False,False,False,False,10,8,1,1,30,14,1,inf,False,inf,True,inf
4,2048,64,2048,inf,32,64,1,128,DLMT,True,False,False,True,True,8,1,1,1,27,8,1,inf,False,inf,True,inf
5,1,256,2048,inf,32,1,1,1,DLMT,True,True,False,False,True,7,1,1,1,1,19,18,inf,False,inf,False,inf
6,2048,256,1024,inf,1,16,32,1,DLMT,False,True,False,True,True,27,1,1,32,24,1,26,inf,False,inf,True,inf
7,1,2048,1,inf,1,1,16,1,DLMT,False,True,True,True,True,12,32,1,1,26,12,1,inf,False,inf,True,inf
8,2048,256,512,inf,1,256,256,32,DLMT,True,False,True,True,True,11,1,1,1,27,28,1,inf,False,inf,True,inf
9,128,1024,1024,inf,1,32,512,64,DLMT,False,False,False,True,True,28,1,1,1,1,27,30,inf,False,inf,True,inf
10,1,128,2048,inf,32,128,16,16,DLMT,True,False,True,True,False,27,1,1,1,17,1,25,inf,False,inf,False,inf
11,128,2048,1,inf,1,32,64,64,DLMT,True,True,False,True,False,16,32,1,1,29,1,24,inf,False,inf,True,inf
12,2048,2048,2048,inf,1,1,512,16,DLMT,True,False,True,False,False,15,1,1,1,9,1,8,inf,False,inf,False,inf
13,1024,1,1,inf,1,512,16,1,DLMT,True,False,True,False,False,30,1,1,32,8,1,22,inf,False,inf,True,inf
14,2048,2048,128,inf,32,128,32,16,DLMT,False,False,False,False,False,30,1,1,1,11,1,2,inf,False,inf,False,inf
15,1,1,1024,inf,1,64,256,1,DLMT,True,True,True,False,True,26,32,1,1,13,7,1,inf,False,inf,False,inf
16,1,1024,512,inf,1,1,1,512,DLMT,False,True,True,False,True,30,8,1,1,30,11,1,inf,False,inf,True,inf
17,128,1,128,inf,1,1,1,64,DLMT,True,True,True,True,False,19,1,1,1,2,28,1,inf,False,inf,True,inf
18,128,1,1,inf,32,16,512,128,DLMT,False,False,False,True,True,6,1,1,1,5,14,1,inf,False,inf,False,inf
19,256,2048,512,inf,32,128,64,256,DLMT,True,False,True,False,False,7,1,1,1,1,21,29,inf,False,inf,True,inf
20,512,1024,512,inf,1,256,32,1,DLMT,False,True,False,False,False,1,1,1,1,7,1,12,inf,False,inf,True,inf
21,1024,256,1,inf,8,512,256,256,DLMT,False,True,True,False,True,27,1,1,1,27,1,16,inf,False,inf,False,inf
22,1,512,2048,inf,1,512,64,256,DLMT,False,False,True,True,True,10,8,1,1,2,1,19,inf,False,inf,True,inf
23,2048,1,256,inf,1,1,128,16,DLMT,False,True,True,True,False,4,32,1,1,1,28,4,inf,False,inf,True,inf
24,1,1024,2048,inf,8,512,512,512,DLMT,True,True,False,True,False,17,1,1,8,1,3,4,inf,False,inf,False,inf
25,128,2048,1,inf,1,32,128,16,DLMT,True,True,True,False,True,4,1,1,32,3,16,1,inf,False,inf,False,inf
26,512,1,1,inf,1,64,1,512,DLMT,False,False,True,False,True,3,8,1,1,1,2,26,inf,False,inf,False,inf
27,2048,64,2048,inf,1,512,1,256,DLMT,False,False,False,False,False,27,32,1,1,1,28,6,inf,False,inf,False,inf
28,2048,2048,1024,inf,1,16,128,512,DLMT,False,False,True,False,False,18,1,1,32,29,26,1,inf,False,inf,True,inf
