id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,2,1,256,16,1,inf,10,1,DLMT,inf,False,True,True,inf,True,inf,False
2,8,1,16,32,2,inf,5,1,DLMT,inf,False,True,False,inf,False,inf,False
3,256,1,16,1,32,inf,1,23,DLMT,inf,False,True,False,inf,True,inf,False
4,2048,10,128,32,32,1.038245,1,24,DLMT,1.0381500175487768,True,False,True,0.00015324816475249098,False,1.0383399824512234,False
5,2048,1,4,32,1,inf,30,1,DLMT,inf,False,True,True,inf,True,inf,False
6,16,10,2048,2,1,0.7448784,1,21,DLMT,0.7448175853779092,True,False,True,9.812053811512616e-05,True,0.7449392146220909,False
7,8,1,1,1,16,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
8,2048,1,64,2,8,inf,15,1,DLMT,inf,False,True,True,inf,True,inf,False
9,1,10,64,16,2,0.2031647,1,30,DLMT,0.20313007785893583,True,False,True,5.586063014324069e-05,True,0.20319932214106418,False
10,2048,1,1024,8,32,inf,21,1,DLMT,inf,False,True,False,inf,True,inf,False
11,256,1,1,32,2,inf,24,1,DLMT,inf,False,True,True,inf,True,inf,False
12,256,10,1,2,32,0.7892703000000001,9,1,DLMT,0.7876202678394509,True,False,True,0.002662222306645319,True,0.7909203321605492,False
13,1,1,2048,32,16,inf,1,18,DLMT,inf,False,True,True,inf,True,inf,False
14,16,1,8,1,32,inf,1,7,DLMT,inf,False,True,True,inf,False,inf,False
15,4,10,1,32,16,0.7833608,1,3,DLMT,0.7833231046388538,True,False,False,6.0819075954840346e-05,True,0.7833984953611461,False
16,1,10,512,2,2,0.19194960000000003,30,1,DLMT,0.19186187668876634,True,False,False,0.00014153600248699894,False,0.19203732331123372,False
17,16,10,16,16,16,1.082913,23,1,DLMT,1.081007554000541,True,False,True,0.0030743163467672192,True,1.084818445999459,False
18,32,1,1,4,1,inf,1,30,DLMT,inf,False,True,False,inf,False,inf,False
