id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,512,1024,128,0.11815337039481986,1,16,32,16,RS,True,True,False,True,False,25,8,35,0.11819788674803729,6.718549406118004e-05,0.11817562857142858,28,5,True,1,8
2,512,1024,128,0.12325619318377219,1,32,16,512,RS,False,True,True,False,True,30,1,35,0.12328432110194205,4.24515474105604e-05,0.12327025714285712,1,8,True,12,1
3,256,2048,256,0.1378530488362373,1,1,512,64,RS,True,True,False,True,True,25,8,35,0.13801649402090552,0.0002466766635223758,0.1379347714285714,13,12,True,1,1
4,1,128,64,0.175002776616979,8,16,32,1,RS,True,False,False,True,False,9,8,35,0.17505025195444962,7.165128706991344e-05,0.1750265142857143,14,20,True,1,1
5,2048,128,1,0.1474644165027524,1,256,128,64,RS,True,False,False,False,False,9,8,35,0.14753666921153333,0.00010904608275066691,0.14750054285714287,1,24,True,29,1
6,1,512,512,0.2543686767565167,8,512,256,64,RS,False,True,False,True,True,30,1,35,0.25451223752919766,0.00021666647744627922,0.2544404571428572,23,1,True,22,1
7,512,1,1,0.16956420009330325,32,16,32,1,RS,True,True,False,True,False,7,1,35,0.1695920856209825,4.2085723984094254e-05,0.16957814285714287,1,2,True,8,1
8,64,256,512,0.12237420026758547,8,512,64,16,RS,True,True,False,True,True,8,1,35,0.12240831401812885,5.148555573148205e-05,0.12239125714285716,15,15,True,1,8
9,64,1024,128,0.15908503832170356,8,64,512,32,RS,True,False,False,False,False,3,1,35,0.15914141882115357,8.50912403463111e-05,0.15911322857142857,1,26,True,22,1
10,1024,512,128,0.24046911791640135,8,32,256,16,RS,True,True,True,True,True,30,8,35,0.24052653922645573,8.666206476531482e-05,0.24049782857142854,1,11,True,2,1
11,512,1,2048,inf,32,64,1,64,RS,True,False,True,False,True,12,1,1,inf,inf,inf,16,3,False,1,1
12,64,2048,128,inf,32,32,32,16,RS,True,False,True,True,True,22,1,1,inf,inf,inf,20,21,False,1,1
13,512,1,512,0.3039606680033803,1,32,32,16,RS,True,True,True,False,True,1,32,35,0.30432624628233385,0.0005517423489200706,0.30414345714285707,25,1,True,3,1
14,512,1024,64,inf,1,32,16,64,RS,False,True,True,True,True,13,32,1,inf,inf,inf,14,9,False,1,1
15,2048,128,512,0.15747633047255805,1,64,64,32,RS,False,False,True,False,False,7,32,35,0.1575127552417277,5.4973418437402664e-05,0.15749454285714287,8,23,True,1,1
16,128,1024,1024,0.23509060105357377,8,16,32,16,RS,False,False,False,True,False,5,1,35,0.23520631323214058,0.00017463649477163408,0.23514845714285718,14,26,True,1,1
17,2048,1,1,0.19369471546572395,1,32,1,512,RS,False,True,True,True,True,21,1,35,0.19373282739141892,5.751972864742483e-05,0.19371377142857144,18,15,True,1,1
18,512,1,256,0.10743877289701599,1,64,32,32,RS,False,True,True,True,False,15,8,35,0.10746299853155546,3.6562097023769214e-05,0.10745088571428572,1,14,True,19,8
19,512,512,64,0.0941481309700429,1,16,16,64,RS,True,False,True,False,False,9,1,35,0.0941757890299571,4.174242240900102e-05,0.09416196,10,1,True,3,8
20,512,2048,512,0.09275400893225039,8,32,32,512,RS,True,True,True,False,True,3,1,35,0.09279023678203532,5.467622144805488e-05,0.09277212285714286,29,24,True,1,8
21,1,512,1024,0.14280946311825538,1,1,256,256,RS,True,True,False,False,False,3,32,35,0.1428980225960303,0.00013365677639966945,0.14285374285714283,1,5,True,18,1
22,1024,512,1024,0.2055683041247135,8,16,128,1,RS,True,False,False,True,False,14,8,35,0.2057278673038579,0.00024081781749797846,0.2056480857142857,15,29,True,1,1
23,512,512,128,0.25248958172531,8,128,1,1,RS,False,False,False,False,False,6,8,35,0.2528333325604043,0.0005187996774344823,0.25266145714285715,29,29,True,1,1
24,128,64,1024,0.2974708493085801,1,1,64,16,RS,False,True,True,True,True,21,1,35,0.2975306935485627,9.031882756238914e-05,0.2975007714285714,27,1,True,14,1
25,1,64,1024,0.10194507395003127,1,512,64,64,RS,False,False,True,True,False,23,8,35,0.102073440335683,0.00019373462598648345,0.10200925714285713,19,6,True,1,8
26,128,128,512,0.2680448932724602,1,16,64,128,RS,False,False,False,True,True,20,8,35,0.2680617352989683,2.541852128842109e-05,0.2680533142857143,19,1,True,1,1
27,1,512,128,0.21036997637032076,1,128,1,512,RS,False,False,False,True,True,22,1,35,0.2104932807725364,0.0001860949198223129,0.21043162857142858,6,1,True,1,32
28,1024,512,256,0.19820573645194292,32,16,32,64,RS,True,True,False,True,False,5,1,35,0.19835466354805706,0.00022476550319960507,0.1982802,1,24,True,30,1
29,1024,512,128,0.10512635203481255,1,32,256,16,RS,True,False,True,False,True,19,1,35,0.10515016225090176,3.5935134305454176e-05,0.10513825714285716,1,15,True,21,8
30,1024,128,256,inf,1,256,16,128,RS,True,True,True,True,True,21,32,1,inf,inf,inf,15,8,False,1,1
31,512,1,2048,0.29012929484425815,1,128,64,128,RS,True,False,False,False,False,11,1,35,0.29061310515574196,0.0007301818873208467,0.29037120000000005,24,2,True,1,32
32,512,1,256,0.25172659426647137,1,256,32,256,RS,True,True,False,True,True,22,1,35,0.2518013485906716,0.00011282160018980489,0.2517639714285715,24,5,True,1,32
33,1024,256,128,0.10309637551154015,1,1,32,32,RS,False,True,True,False,False,22,1,35,0.10312596734560268,4.466093576800093e-05,0.10311117142857142,9,19,True,1,8
34,64,128,1024,0.09900130984234845,1,32,128,32,RS,True,True,False,True,True,17,1,35,0.09903029015765158,4.3738012235190576e-05,0.09901580000000001,12,1,True,3,8
35,2048,2048,2048,0.09029502623811148,8,128,256,512,RS,False,True,True,True,False,25,1,35,0.09031840804760283,3.5288569462275876e-05,0.09030671714285715,17,1,True,29,8
36,64,256,1,0.12381664424689284,1,256,128,32,RS,False,False,False,True,False,16,1,35,0.12388267003882142,9.964822207779339e-05,0.12384965714285713,1,2,True,23,8
