id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
89,1024,1024,256,2.436170081399398,8,False,1,8,DLMT,True,False,False,True,True,28,4,256,10,8,1,22,2,0.00022090948372579052,True,2.4363070000000002,2.4364439186006024
90,2048,16,1,3.450402398950354,1,False,1,1024,DLMT,False,False,False,True,False,29,1,2,10,64,6,1,27,0.003427909129484028,True,3.452527,3.4546516010496457
91,2048,2,32,1.5383487070276771,8,False,2,64,DLMT,True,True,True,True,False,8,2,1,10,8,18,22,1,0.0006168054798718971,True,1.5387309999999998,1.5391132929723226
92,2048,256,4,6.658449273480708,2,False,2,16,DLMT,True,True,True,False,True,23,32,4,10,1,1,8,27,0.00020769207977191953,True,6.658578,6.658706726519292
93,1,256,512,5.0642351964576555,1,False,4,64,DLMT,True,False,True,False,False,17,1,256,10,64,20,7,1,0.0004466049708635213,True,5.064512,5.064788803542344
94,1,1,2048,1.5602759925275729,1,False,1,1,DLMT,True,False,True,True,False,3,16,4,10,4,29,1,11,0.0002291200558659173,True,1.5604179999999999,1.5605600074724268
95,2048,1024,2048,1.9747666550696696,4,False,8,2048,DLMT,True,False,False,False,True,1,1,2048,10,4,29,22,1,0.000962164746807964,True,1.9753629999999998,1.9759593449303299
96,128,2048,1,1.8371051338274267,4,False,2048,64,DLMT,False,False,True,False,False,11,2,128,10,2,1,6,21,0.0004241179081340871,True,1.8373679999999997,1.8376308661725727
97,256,256,4,3.956000410652349,2,False,256,1,DLMT,True,False,False,True,True,17,1,1,10,8,23,1,18,0.00040915033911759213,True,3.956254,3.956507589347651
98,1,64,128,2.6106864676944768,2,False,4,256,DLMT,True,True,False,False,True,5,1,1,10,2,2,1,1,0.00014929500996350818,True,2.610779,2.610871532305523
99,16,16,64,1.822975346294938,1,False,1,16,DLMT,False,False,True,False,False,22,8,32,10,8,1,30,30,0.00018498648599290062,True,1.8230899999999999,1.8232046537050617
100,512,8,1,2.2180023167673966,64,False,8,1,DLMT,True,True,True,False,False,20,1,1024,10,1,14,1,12,0.0010643570829377861,True,2.2186619999999997,2.219321683232603
101,1,4,1,1.8695925224506336,1,False,4,512,DLMT,False,False,True,True,True,25,1,2048,10,16,6,10,1,0.00016211415730897998,True,1.8696929999999998,1.869793477549366
102,1,256,128,3.0081641105366006,1,False,1,2048,DLMT,False,False,True,False,False,4,64,8,10,1,8,1,21,0.00012728314892402958,True,3.008243,3.008321889463399
103,1,2048,4,3.672125132058828,16,False,1,1,DLMT,False,True,False,True,False,20,1,2,10,4,15,29,1,0.0002353486774978576,True,3.6722710000000007,3.6724168679411733
104,4,2048,1024,2.987395069033895,2,False,128,4,DLMT,False,True,True,True,False,25,2,4,10,2,29,20,1,0.003776943737997653,True,2.9897359999999997,2.9920769309661046
105,1024,2048,512,3.5296692852249274,1,False,2,256,DLMT,False,True,False,False,True,1,1,1,10,32,12,1,19,0.002618147436642996,True,3.5312919999999997,3.532914714775072
106,2048,1024,1,1.892739769234651,4,False,256,32,DLMT,False,True,False,False,False,3,8,4,10,4,1,15,14,0.00016655629678877587,True,1.8928429999999998,1.8929462307653486
107,128,1024,1024,3.7105144732469326,16,False,16,64,DLMT,False,False,False,False,False,30,1,8,10,1,23,10,1,0.00019768914992987534,True,3.7106369999999997,3.710759526753067
108,64,2,2048,3.4632302309511376,4,False,1,64,DLMT,True,True,True,False,True,19,8,2,10,2,14,25,1,0.0002238950647066154,True,3.463369,3.4635077690488627
109,256,1,16,2.585713138246099,1,False,8,128,DLMT,False,True,True,True,False,7,1,16,10,64,1,1,11,0.00022404463840946948,True,2.585852,2.585990861753901
110,1,1,1,2.7341457199712114,1,False,256,2048,DLMT,False,False,False,False,True,1,16,32,10,2,1,16,30,0.00015856859714339155,True,2.7342440000000003,2.7343422800287893
111,1,64,1,2.0924565167313265,1,False,64,8,DLMT,False,True,False,False,False,18,8,256,10,8,27,1,6,0.0006058184546546194,True,2.092832,2.0932074832686736
112,256,256,2048,1.5371464906914207,4,False,1,32,DLMT,True,False,True,False,False,8,1,1024,10,1,1,23,10,0.0001089219904335319,True,1.537214,1.5372815093085794
113,2048,256,512,3.683068106677808,4,False,4,1,DLMT,True,True,True,False,True,27,16,2,10,4,29,1,29,0.004606189422939569,True,3.685923,3.6887778933221917
114,1,2048,2048,2.2603552853284,32,False,1024,1024,DLMT,True,False,True,True,True,5,1,2048,10,2,8,1,25,0.00086272823067288,True,2.2608900000000003,2.2614247146716004
115,1024,8,2048,2.293700634309826,2,False,4,1,DLMT,True,False,True,False,True,1,2,64,10,2,1,1,8,0.00012321120078959106,True,2.2937769999999995,2.293853365690173
116,2048,1,1,1.970522010063889,1,False,1024,1,DLMT,False,False,False,False,False,16,2,2048,10,4,26,19,1,0.0001855289734785738,True,1.9706369999999995,1.9707519899361101
117,2048,4,256,8.065848862873128,1,False,2,2,DLMT,False,False,True,False,True,27,64,4,10,1,7,1,6,0.0021993353541470235,True,8.067212000000001,8.068575137126874
118,1,256,64,3.3731592379717554,4,False,8,128,DLMT,False,True,True,False,True,11,1,64,10,1,29,27,1,0.004799589982488077,True,3.3761340000000004,3.3791087620282454
119,2048,16,2048,1.4653302757957773,4,False,16,64,DLMT,False,False,True,False,True,8,2,256,10,8,1,10,10,0.00028513330215885845,True,1.4655070000000001,1.4656837242042229
120,1,256,64,2.6666322488340226,4,False,8,4,DLMT,True,False,False,False,True,29,2,64,10,8,1,16,16,0.0005643013379392243,True,2.666982,2.6673317511659773
121,1,1,2048,2.8350343997084835,16,False,1,1024,DLMT,True,False,True,True,True,28,2,64,10,2,23,27,1,0.00010906878563555011,True,2.835102,2.8351696002915165
122,1024,2048,8,2.5568975089933548,4,False,16,4,DLMT,True,False,True,False,True,30,1,8,10,2,1,30,29,6.855654600407739e-05,True,2.55694,2.556982491006645
